Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Publication Year_clean,Author_clean,Title_clean,Publication Title_clean
518,1990,"Jacob, Bernhard; Huckenbeck, Wolfgang; Barz, Jürgen; Bonte, Wolfgang","Death, After Swallowing and Aspiration of a High Number of Foreign Bodies, in a Schizophrenic Woman:",The American Journal of Forensic Medicine and Pathology,Bibliography Search,1,11,,1,1,,14/04/2025 13:31,"Co-existing mechanism of death - ""death was attributed to cardiorespiratory arrest in delayed shock accompanying peritonitis and mechanical obstruction of the airways""",Case Report,,,,10.1097/00000433-199012000-00014,N,N,1990,"jacob, bernhard; huckenbeck, wolfgang; barz, j√ºrgen; bonte, wolfgang","death, after swallowing and aspiration of a high number of foreign bodies, in a schizophrenic woman:",the american journal of forensic medicine and pathology
519,1990,"Ohri, S. K.; Hutton, K. A.; Walsh, R.; Desa, L. A.; Wood, C. B.",Foreign body perforation of the ileum,The British Journal of Clinical Practice,Bibliography Search,,,,,,,,,,,,,,,,,,,
520,1990,"Paulson, E. K.; Jaffe, R. B.",Metallic foreign bodies in the stomach: fluoroscopic removal with a magnetic orogastric tube,Radiology,Bibliography Search,1,9,,0,0,,15/04/2025 14:23,Intention not reported. Likely mixed cohort. Exclude.,Retrospective Chart Review,,,,10.1148/radiology.174.1.2294547,N,N,1990,"paulson, e. k.; jaffe, r. b.",metallic foreign bodies in the stomach: fluoroscopic removal with a magnetic orogastric tube,radiology
521,1990,"Soong, C. V.; Harvey, C.; Doherty, M.",Self-mutilating behaviour and deliberate ingestion of foreign bodies,The Ulster Medical Journal,Bibliography Search,,,,,,,,,,,,,,,,,,,
522,1991,"Barros, J. L.; Caballero, A.; Rueda, J. C.; Monturiol, J. M.",Foreign body ingestion: management of 167 cases,World Journal of Surgery,Bibliography Search,0,,,1,1,,15/04/2025 14:28,,Retrospective Chart Review,Mixed population,The Gregorio Marafirn Memorial Hospital,"Madrid, Spain",10.1007/BF01665320,Y,N,1991,"barros, j. l.; caballero, a.; rueda, j. c.; monturiol, j. m.",foreign body ingestion: management of 167 cases,world journal of surgery
523,1991,"Karp, J. G.; Whitman, L.; Convit, A.",Intentional ingestion of foreign objects by male prison inmates,Hospital & Community Psychiatry,Bibliography Search,0,,,1,1,,15/04/2025 15:15,,Retrospective Chart Review,"all patients (N= 19) admitted to a medical prison ward for men in a New York City public general hospital for delib erately swallowing objects between September 1, 1985, and October 15,",New York City Public General Hospital,"New York, USA",10.1176/ps.42.5.533,Y,N,1991,"karp, j. g.; whitman, l.; convit, a.",intentional ingestion of foreign objects by male prison inmates,hospital & community psychiatry
524,1993,"Lyons, LTC Michael F.; Tsuchida, LTC Amy M.",Foreign bodies of the gastrointestinal tract,Medical Clinics of North America,Bibliography Search,1,5,,,,,14/04/2025 12:58,"Review, no empirical evidence",Review,,,,10.1016/S0025-7125(16)30212-7,N,N,1993,"lyons, ltc michael f.; tsuchida, ltc amy m.",foreign bodies of the gastrointestinal tract,medical clinics of north america
525,1995,"Panieri, E.; Bass, D. H.",The management of ingested foreign bodies in children--a review of 663 cases,European Journal of Emergency Medicine: Official Journal of the European Society for Emergency Medicine,Bibliography Search,1,9,1,0,0,,15/04/2024 15:51,No mention of intention,Retrospective Chart Review,,,,10.1097/00063110-199506000-00005,N,N,1995,"panieri, e.; bass, d. h.",the management of ingested foreign bodies in children--a review of 663 cases,european journal of emergency medicine: official journal of the european society for emergency medicine
526,1995,"Webb, W. A.",Management of foreign bodies of the upper gastrointestinal tract: update,Gastrointestinal Endoscopy,Bibliography Search,1,9,,,,,15/04/2025 15:55,No mention of intention,Retrospective Chart Review,,,,10.1097/00063110-199506000-00005,N,N,1995,"webb, w. a.",management of foreign bodies of the upper gastrointestinal tract: update,gastrointestinal endoscopy
527,1995,"Zeitlin, S. B.; Polivy, J.",Coprophagia as a manifestation of obsessive-compulsive disorder: a case report,Journal of Behavior Therapy and Experimental Psychiatry,Bibliography Search,1,7,,1,1,,15/04/2025 15:58,COPROPHAGIA  = eatings ones own faeces. Exclude.,,,,,10.1016/0005-7916(94)00065-t,N,N,1995,"zeitlin, s. b.; polivy, j.",coprophagia as a manifestation of obsessive-compulsive disorder: a case report,journal of behavior therapy and experimental psychiatry
528,1996,"Kürkciyan, I.; Frossard, M.; Kettenbach, J.; Meron, G.; Sterz, F.; Röggla, M.; Laggner, A. N.",Conservative management of foreign bodies in the gastrointestinal tract,Zeitschrift Fur Gastroenterologie,Bibliography Search,,,,,,,,,,,,,,,,,,,
529,1996,"Stein, D. J.; Bouwer, C.; van Heerden, B.",Pica and the obsessive-compulsive spectrum disorders,South African Medical Journal = Suid-Afrikaanse Tydskrif Vir Geneeskunde,Bibliography Search,,,,,,,,,,,,,,,,,,,
530,1996,"Velitchkov, Nadko G.; Grigorov, Georgi I.; Losanoff, Julian E.; Kjossev, Kirien T.",Ingested Foreign Bodies of the Gastrointestinal Tract: Retrospective Analysis of 542 Cases,World Journal of Surgery,Bibliography Search,1,9,,0,,,14/04/2025 12:57,No mention of intention,Retrospective Chart Review,,,,10.1007/s002689900152,N,N,1996,"velitchkov, nadko g.; grigorov, georgi i.; losanoff, julian e.; kjossev, kirien t.",ingested foreign bodies of the gastrointestinal tract: retrospective analysis of 542 cases,world journal of surgery
531,1997,"Bennett, Daniel R.; Baird, Curtis J.; Chan, Kwok-Ming; Crookes, Peter F.; Bremner, Cedric G.; Gottlieb, Michael M.; Naritoku, Wesley Y.",Zinc Toxicity Following Massive Coin Ingestion,The American Journal of Forensic Medicine and Pathology,Bibliography Search,,,,,,,14/04/2025 13:17,,,,,,,,,,,,
532,1997,"Tsui, B. C.; Mossey, J.",Occult liver abscess following clinically unsuspected ingestion of foreign bodies,Canadian Journal of Gastroenterology = Journal Canadien De Gastroenterologie,Bibliography Search,0,,,1,1,,15/04/2025 16:13,"One intentional, one unitentional",Case Series,Patients with occult liver abscess,Royal Alexandra Hospital,"Edmonton, Alberta, Canada",10.1155/1997/815876,Y,N,1997,"tsui, b. c.; mossey, j.",occult liver abscess following clinically unsuspected ingestion of foreign bodies,canadian journal of gastroenterology = journal canadien de gastroenterologie
533,1997,"Wishner, J. D.; Rogers, A. M.",Laparoscopic removal of a swallowed toothbrush,Surgical Endoscopy,Bibliography Search,1,2,,,,,15/04/2025 16:16,"Accidental - ""A 20-year-old Asian female presented to the emergency room complaining of having swallowed her toothbrush. She stated that she had been attempting to scratch her pharynx with the handle of her toothbrush when a spontaneous gag reflex caused her to swallow the toothbrush""",Case Report,,,,10.1007/s004649900393,,N,1997,"wishner, j. d.; rogers, a. m.",laparoscopic removal of a swallowed toothbrush,surgical endoscopy
534,1998,"Al-Qudah, A.; Daradkeh, S.; Abu-Khalaf, M.",Esophageal foreign bodies,European Journal of Cardio-Thoracic Surgery: Official Journal of the European Association for Cardio-Thoracic Surgery,Bibliography Search,,,,,,,,,,,,,,,N,1998,"al-qudah, a.; daradkeh, s.; abu-khalaf, m.",esophageal foreign bodies,european journal of cardio-thoracic surgery: official journal of the european association for cardio-thoracic surgery
535,1998,"Beecroft, N.; Bach, L.; Tunstall, N.; Howard, R.",An unusual case of pica,International Journal of Geriatric Psychiatry,Bibliography Search,,,,,,,,,,,,,,,N,1998,"beecroft, n.; bach, l.; tunstall, n.; howard, r.",an unusual case of pica,international journal of geriatric psychiatry
536,1998,"Blaho, Kari E.; Merigian, Kevin S.; Winbery, Stephen L.; Park, Lynda J.; Cockrell, Mike",Foreign Body Ingestions in the Emergency Department: Case Reports and Review of Treatment,Journal of Emergency Medicine,Bibliography Search,,,,,,,14/04/2025 14:34,,,,,,,,N,1998,"blaho, kari e.; merigian, kevin s.; winbery, stephen l.; park, lynda j.; cockrell, mike",foreign body ingestions in the emergency department: case reports and review of treatment,journal of emergency medicine
537,1998,"Goldstein, M.",Adult pica. A clinical nexus of physiology and psychodynamics,Psychosomatics,Bibliography Search,,,,,,,,,,,,,,,N,1998,"goldstein, m.",adult pica. a clinical nexus of physiology and psychodynamics,psychosomatics
538,1998,"Murshid, K. R.; Khairy, G. E.",Laparoscopic removal of a foreign body from the intestine,Journal of the Royal College of Surgeons of Edinburgh,Bibliography Search,,,,,,,,,,,,,,,,,,,
539,1999,"Hindley, Nick; Gordon, Harvey; Newrith, Chris; Mohan, Damian",The management of cylindrical battery ingestion in psychiatric settings,Psychiatric Bulletin,Bibliography Search,,,,,,,14/04/2025 16:29,,,,,,,,N,1999,"hindley, nick; gordon, harvey; newrith, chris; mohan, damian",the management of cylindrical battery ingestion in psychiatric settings,psychiatric bulletin
540,1999,"Kamal, I.; Thompson, J.; Paquette, D. M.",The hazards of vinyl glove ingestion in the mentally retarded patient with pica: new implications for surgical management,Canadian Journal of Surgery. Journal Canadien De Chirurgie,Bibliography Search,,,,,,,,,,,,,,,,,,,
541,1999,"Klingler, Paul; Seelig, Matthias; DeVault, Kenneth; Wetscher, Gerold; Floch, Neil; Branton, Susan; Hinder, Ronald",Ingested Foreign Bodies within the Appendix: A 100-Year Review of the Literature,Digestive Diseases,Bibliography Search,,,,,,,14/04/2025 16:06,,,,,,,,N,1999,"klingler, paul; seelig, matthias; devault, kenneth; wetscher, gerold; floch, neil; branton, susan; hinder, ronald",ingested foreign bodies within the appendix: a 100-year review of the literature,digestive diseases
542,2000,"Stiles, B. M.; Wilson, W. H.; Bridges, M. A.; Choudhury, A.; Rivera-Arias, J.; Nguyen, D. B.; Edlich, R. F.",Denture esophageal impaction refractory to endoscopic removal in a psychiatric patient,The Journal of Emergency Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2000,"stiles, b. m.; wilson, w. h.; bridges, m. a.; choudhury, a.; rivera-arias, j.; nguyen, d. b.; edlich, r. f.",denture esophageal impaction refractory to endoscopic removal in a psychiatric patient,the journal of emergency medicine
543,2001,"Kumar, A.; Jazieh, A. R.",Case report of sideroblastic anemia caused by ingestion of coins,American Journal of Hematology,Bibliography Search,,,,,,,,,,,,,,,N,2001,"kumar, a.; jazieh, a. r.",case report of sideroblastic anemia caused by ingestion of coins,american journal of hematology
544,2001,"Lam, H. C.; Woo, J. K.; van Hasselt, C. A.",Management of ingested foreign bodies: a retrospective review of 5240 patients,The Journal of Laryngology and Otology,Bibliography Search,,,,,,,,,,,,,,,N,2001,"lam, h. c.; woo, j. k.; van hasselt, c. a.",management of ingested foreign bodies: a retrospective review of 5240 patients,the journal of laryngology and otology
545,2001,"McNutt, T. K.; Chambers-Emerson, J.; Dethlefsen, M.; Shah, R.",Bite the bullet: lead poisoning after ingestion of 206 lead bullets,Veterinary and Human Toxicology,Bibliography Search,,,,,,,,,,,,,,,,,,,
546,2001,"Mosca, S.; Manes, G.; Martino, R.; Amitrano, L.; Bottino, V.; Bove, A.; Camera, A.; De Nucci, C.; Di Costanzo, G.; Guardascione, M.; Lampasi, F.; Picascia, S.; Picciotto, F. P.; Riccio, E.; Rocco, V. P.; Uomo, G.; Balzano, A.",Endoscopic management of foreign bodies in the upper gastrointestinal tract: report on a series of 414 adult patients,Endoscopy,Bibliography Search,,,,,,,,,,,,,,,N,2001,"mosca, s.; manes, g.; martino, r.; amitrano, l.; bottino, v.; bove, a.; camera, a.; de nucci, c.; di costanzo, g.; guardascione, m.; lampasi, f.; picascia, s.; picciotto, f. p.; riccio, e.; rocco, v. p.; uomo, g.; balzano, a.",endoscopic management of foreign bodies in the upper gastrointestinal tract: report on a series of 414 adult patients,endoscopy
547,2002,"Athanassiadi, Kalliopi; Gerazounis, M.; Metaxas, E.; Kalantzi, Nikolitsa",Management of esophageal foreign bodies: a retrospective review of 400 cases,European Journal of Cardio-Thoracic Surgery: Official Journal of the European Association for Cardio-Thoracic Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2002,"athanassiadi, kalliopi; gerazounis, m.; metaxas, e.; kalantzi, nikolitsa",management of esophageal foreign bodies: a retrospective review of 400 cases,european journal of cardio-thoracic surgery: official journal of the european association for cardio-thoracic surgery
548,2002,"Cauchi, J. A.; Shawis, R. N.",Multiple magnet ingestion and gastrointestinal morbidity,Archives of Disease in Childhood,Bibliography Search,,,,,,,,,,,,,,,N,2002,"cauchi, j. a.; shawis, r. n.",multiple magnet ingestion and gastrointestinal morbidity,archives of disease in childhood
549,2002,"Mahafza, Tareq; Batieha, Anwar; Suboh, Munther; Khrais, Tareq",Esophageal foreign bodies: a Jordanian experience,International Journal of Pediatric Otorhinolaryngology,Bibliography Search,,,,,,,,,,,,,,,N,2002,"mahafza, tareq; batieha, anwar; suboh, munther; khrais, tareq",esophageal foreign bodies: a jordanian experience,international journal of pediatric otorhinolaryngology
550,2002,"McCormick, S.; Brennan, P.; Yassa, J.; Shawis, R.",Children and mini-magnets: an almost fatal attraction,Emergency medicine journal: EMJ,Bibliography Search,,,,,,,,,,,,,,,N,2002,"mccormick, s.; brennan, p.; yassa, j.; shawis, r.",children and mini-magnets: an almost fatal attraction,emergency medicine journal: emj
551,2002,"Mihmanli, Ismail; Kurugoglu, Sebuh; Kantarci, Fatih; Atakir, Kadir; Akman, Canan",Intracardiac needle in a 12-year-old girl with self-injurious behaviour,Pediatric Radiology,Bibliography Search,,,,,,,,,,,,,,,N,2002,"mihmanli, ismail; kurugoglu, sebuh; kantarci, fatih; atakir, kadir; akman, canan",intracardiac needle in a 12-year-old girl with self-injurious behaviour,pediatric radiology
552,2002,"Omejc, M.",Laparoscopic removal of an ingested pin migrating into the liver,Surgical Endoscopy,Bibliography Search,,,,,,,,,,,,,,,N,2002,"omejc, m.",laparoscopic removal of an ingested pin migrating into the liver,surgical endoscopy
553,2002,"Weiland, Steven T; Schurr, Michael J",Conservative Management of Ingested Foreign Bodies,Journal of Gastrointestinal Surgery,Bibliography Search,,,,,,,14/04/2025 12:59,,,,,,,,N,2002,"weiland, steven t; schurr, michael j",conservative management of ingested foreign bodies,journal of gastrointestinal surgery
554,2003,"Dumaguing, Noel I.; Singh, Indra; Sethi, Mohammad; Devanand, D. P.",Pica in the geriatric mentally ill: unrelenting and potentially fatal,Journal of Geriatric Psychiatry and Neurology,Bibliography Search,,,,,,,,,,,,,,,N,2003,"dumaguing, noel i.; singh, indra; sethi, mohammad; devanand, d. p.",pica in the geriatric mentally ill: unrelenting and potentially fatal,journal of geriatric psychiatry and neurology
555,2003,"Gundogar, Duru; Demir, Serap Baspinar; Eren, Ibrahim",Is pica in the spectrum of obsessive-compulsive disorders?,General Hospital Psychiatry,Bibliography Search,,,,,,,,,,,,,,,N,2003,"gundogar, duru; demir, serap baspinar; eren, ibrahim",is pica in the spectrum of obsessive-compulsive disorders?,general hospital psychiatry
556,2004,"Oestreich, Alan E.",Multiple magnet ingestion alert,Radiology,Bibliography Search,,,,,,,,,,,,,,,N,2004,"oestreich, alan e.",multiple magnet ingestion alert,radiology
557,2004,"Sica, Giuseppe S.; Djapardy, Veronica; Westaby, Stephen; Maynard, Nicholas D.",Diagnosis and management of aortoesophageal fistula caused by a foreign body,The Annals of Thoracic Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2004,"sica, giuseppe s.; djapardy, veronica; westaby, stephen; maynard, nicholas d.",diagnosis and management of aortoesophageal fistula caused by a foreign body,the annals of thoracic surgery
558,2004,"Tay, Ee Tein; Weinberg, Gerard; Levin, Terry L.",Ingested magnets: the force within,Pediatric Emergency Care,Bibliography Search,,,,,,,,,,,,,,,N,2004,"tay, ee tein; weinberg, gerard; levin, terry l.",ingested magnets: the force within,pediatric emergency care
559,2004,"Vesna, Djokić; Tatjana, Atanasijević; Slobodan, Savić; Slobodan, Nikolić",Cardiac tamponade caused by migration of a swallowed sewing needle,Forensic Science International,Bibliography Search,,,,,,,,,,,,,,,N,2004,"vesna, djokiƒá; tatjana, atanasijeviƒá; slobodan, saviƒá; slobodan, nikoliƒá",cardiac tamponade caused by migration of a swallowed sewing needle,forensic science international
560,2004,"Williams, Christina; McHenry, Christopher R.",Unrecognized foreign body ingestion: an unusual cause for abdominal pain in a healthy adult,The American Surgeon,Bibliography Search,,,,,,,,,,,,,,,,,,,
561,2005,"Ali, Fawzi E.; Al-Busairi, Waleed A.; Esbaita, Emad Y.; Al-Bustan, Mahmoud A.",Chronic perforation of the sigmoid colon by foreign body,Current Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2005,"ali, fawzi e.; al-busairi, waleed a.; esbaita, emad y.; al-bustan, mahmoud a.",chronic perforation of the sigmoid colon by foreign body,current surgery
562,2005,"Clarke, D. L.; Buccimazza, I.; Anderson, F. A.; Thomson, S. R.",Colorectal foreign bodies,Colorectal Disease: The Official Journal of the Association of Coloproctology of Great Britain and Ireland,Bibliography Search,,,,,,,,,,,,,,,N,2005,"clarke, d. l.; buccimazza, i.; anderson, f. a.; thomson, s. r.",colorectal foreign bodies,colorectal disease: the official journal of the association of coloproctology of great britain and ireland
563,2005,"Encinas, J. L.; García-Bermejo, C.; Andrés, A. M.; Burgos, L.; Hernández, P.; Tovar, J. A.",[Multiple intestinal perforations due to ingestion of magnetized pieces of a toy],"Anales De Pediatria (Barcelona, Spain: 2003)",Bibliography Search,,,,,,,,,,,,,,,N,2005,"encinas, j. l.; garc√≠a-bermejo, c.; andr√©s, a. m.; burgos, l.; hern√°ndez, p.; tovar, j. a.",[multiple intestinal perforations due to ingestion of magnetized pieces of a toy],"anales de pediatria (barcelona, spain: 2003)"
564,2005,"Hsieh, Chi-Hsun; Wang, Yu-Chun; Chen, Ray-Jade; Fang, Jen-Feng; Lin, Being-Chuan; Hsu, Yu-Pao; Kao, Jung-Liang; Kao, Yi-Chin; Yu, Po-Chin; Kang, Shih-Ching",Comparison of the clinical presentations of ingested foreign bodies requiring operative and nonoperative management,International Surgery,Bibliography Search,,,,,,,,,,,,,,,,,,,
565,2005,"Liu, Steven; de Blacam, Catherine; Lim, Foong-Yen; Mattei, Peter; Mamula, Petar",Magnetic foreign body ingestions leading to duodenocolonic fistula,Journal of Pediatric Gastroenterology and Nutrition,Bibliography Search,,,,,,,,,,,,,,,N,2005,"liu, steven; de blacam, catherine; lim, foong-yen; mattei, peter; mamula, petar",magnetic foreign body ingestions leading to duodenocolonic fistula,journal of pediatric gastroenterology and nutrition
