Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1998,"Snyder…, S.","SE Morrow, SW Bickler, AP Kennedy, CL Snyder…","SE Morrow, SW Bickler, AP Kennedy, CL Snyder… - Journal of pediatric …, 1998 - Elsevier",Journal of pediatric …,Balloon extraction of esophageal foreign bodies in children,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a …",https://www.sciencedirect.com/science/article/pii/S0022346898904444,Google Scholar,,,
1998,"Mahadevan…, N.","NHA Kasim, BJJ Abdullah, J Mahadevan…","NHA Kasim, BJJ Abdullah, J Mahadevan… - Annals of Dentistry …, 1998 - mojes.um.edu.my",Annals of Dentistry …,The radiopacity of dental prostheses (fixed and removable) on plain radiographs-an experimental study,The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the …,https://mojes.um.edu.my/index.php/adum/article/view/7078,Google Scholar,,,
1998,"Messner, A.",AH Messner,"AH Messner - Clinical pediatrics, 1998 - journals.sagepub.com",Clinical pediatrics,Pitfalls in the diagnosis of aerodigestive tract foreign bodies,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can …",https://journals.sagepub.com/doi/abs/10.1177/000992289803700605,Google Scholar,,,
2000,"Quesenberry, A.","A Adamcak, LR Hess, KE Quesenberry","A Adamcak, LR Hess, KE Quesenberry - Journal of Avian Medicine and …, 2000 - BioOne",Journal of Avian Medicine and …,Intestinal string foreign body in an adult umbrella cockatoo (Cacatua alba),"Gastrointestinal foreign bodies are reported in zoo birds, ratites, and juvenile psittacine birds; however, foreign body ingestion by adult psittacine birds is uncommon. We examined an …",https://bioone.org/journals/journal-of-avian-medicine-and-surgery/volume-14/issue-4/1082-6742_2000_014_0257_ISFBIA_2.0.CO_2/Intestinal-String-Foreign-Body-in-an-Adult-Umbrella-Cockatoo-Cacatua/10.1647/1082-6742(2000)014[0257:ISFBIA]2.0.CO;2.short,Google Scholar,,,
2000,"Pappas…, E.","EG Chekan, TN Pappas…","EG Chekan, TN Pappas… - Surgery: Basic Science …, 2000 - books.google.com",Surgery: Basic Science …,General principles,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first …",https://books.google.com/books?hl=en&lr=&id=vHWr9U09CWIC&oi=fnd&pg=PA429&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=now0ybvANT&sig=2qCYl8OqwXBE_vPqXG16AwcwkDM,Google Scholar,,,
2002,"EL-ZOMOR, E.","E SHETA, S EL-ZOMOR","E SHETA, S EL-ZOMOR - Veterinary Medical Journal (Giza), 2002 - journals.ekb.eg",Veterinary Medical Journal (Giza),Alimentary tract foreign bodies in dogs and cats,"Twelve cats and nine dogs suffering incidental swallowing of foreign bodies were included in this study. Various foreign bodies were detected in their mouth, oesophagus, stomach and …",https://journals.ekb.eg/article_369369.html,Google Scholar,,,
2006,"Canadian, F.",FRY Canadian,"FRY Canadian - Otolaryngology-Head and Neck Surgery, 2006",Otolaryngology-Head and Neck Surgery,"Wednesday, September 20, 2006",,,Google Scholar,,,
2007,"Forter, G.",G Forter,"G Forter - Narrative, 2007 - JSTOR",Narrative,"Freud, Faulkner, Caruth: Trauma and the politics of literary form","For the growing number of cri forces, psychic experience, and since the publication of Cathy C portant opportunity for reflectio influential. It brings sophisticat processes, developing …",https://www.jstor.org/stable/30219258,Google Scholar,,,
2008,"Al-Ani, A.","A Qureshi, F Al-Ani","A Qureshi, F Al-Ani - … and Diseases. Amman, Jordan. Dar Ammar …, 2008 - researchgate.net",… and Diseases. Amman,The Digestive System,"Diseases of the digestive system are of great concern, especially for camels used for racing or draught purposes. These camels do not get enough grazing and bruising time and are fed …",https://www.researchgate.net/profile/Falah-Al-Ani/publication/256292415_The_Digestive_System/links/57831d2008ae01f736e8f532/The-Digestive-System.pdf,Google Scholar,,,
2008,"Ahmad, E.",ET Ahmad,"ET Ahmad - Laser Therapy, 2008 - jstage.jst.go.jp",Laser Therapy,Hyperbaric oxygen therapy versus laser therapy on the acceleration of venous leg ulcer healing,"Venous leg ulcers represent a significant medical, economic and social problem (2). Many ulcers are chronic, having demonstrated poor responses to the conventional therapeutic …",https://www.jstage.jst.go.jp/article/islsm/17/2/17_2_75/_article/-char/ja/,Google Scholar,,,
2008,"PATHARE, S.",SS PATHARE,"SS PATHARE - Pediatric Hospital Medicine: Textbook of Inpatient …, 2008 - books.google.com",Pediatric Hospital Medicine: Textbook of Inpatient …,B FOREIGN BODY INGESTION,Foreign body ingestion is a very common pediatric problem. Most ingestions occur in children under the age of 4 years. The majority of ingested foreign bodies (up to 80% to 90%) are …,https://books.google.com/books?hl=en&lr=&id=sV6-ifUGoMYC&oi=fnd&pg=PA238&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=27NVLv_IaZ&sig=HVEw7oFA7EJ4hUMrw1aDCoy1mEI,Google Scholar,,,
2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić","P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Acta medico-biotechnica,The role of emergency endoscopy in upper git foreign body extraction,Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in …,https://journals.um.si/index.php/amb/article/view/1293,Google Scholar,,,
2008,"Fathi, N.","N Hatim, B Fathi","N Hatim, B Fathi - Al-Rafidain Dental Journal, 2008 - rden.mosuljournals.com",Al-Rafidain Dental Journal,Gag Reflex Reduction in A Patient with Maxillofacial Prosthesis.(A Clinical Report),Aim: the study was dedicated to demonstrate the importance of binding the old concepts of preventingthe gag reflex during the prosthodontic work together with the new advance in the …,https://rden.mosuljournals.com/index.php/rden/article/view/206,Google Scholar,,,
2009,"Lobectomy, S.",S Lobectomy,"S Lobectomy - Medical Management of the Thoracic Surgery …, 2009 - books.google.com",Medical Management of the Thoracic Surgery …,Wedge Resection,"Therapeutic bronchoscopy consists of airway interventions performed to restore or maintain airway patency, either for palliation or cure of malignant and benign lesions of the upper and …",https://books.google.com/books?hl=en&lr=&id=A22RbfxQKqcC&oi=fnd&pg=PA105&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=qfnvmhSy1S&sig=78Rr8sLuM9gzX8lNljRTMD6JlF8,Google Scholar,,,
2010,"Kleiman…, B.","B Joseph, J Antrim, DG Kleiman…","B Joseph, J Antrim, DG Kleiman… - Wild mammals in …, 2010 - books.google.com",Wild mammals in …,Special considerations for the maintenance of marine mammals in captivity,"Marine mammals are a unique group of warm-blooded animals that, with the exception of a few freshwater species, make their living from the sea. However, marine mammals did not …",https://books.google.com/books?hl=en&lr=&id=a1vev5hf7o8C&oi=fnd&pg=PA181&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=OCak7hnGXU&sig=gmnwD8hM9WdHiuHWmL6jKW5X5Ds,Google Scholar,,,
2011,"King, J.","JKS Woo, WWK King","JKS Woo, WWK King - Fundamentals of Surgical Practice, 2011 - books.google.com",Fundamentals of Surgical Practice,Fundamentals of head and neck surgery,"Preauricular sinus is a common congenital condition; there is no requirement for treatment unless it becomes infected (Figure 18.1). It may then present with pain, swelling and discharge…",https://books.google.com/books?hl=en&lr=&id=3wcyaNS3z_gC&oi=fnd&pg=PA306&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=0Vc05eaL97&sig=Z3lFoQTRwbc7Suz0Ls3LDfdlHjE,Google Scholar,,,
2011,"Hsu…, M.","MD Catherine Lewis, HK Hsu…","MD Catherine Lewis, HK Hsu… - Journal of the National …, 2011 - search.proquest.com",Journal of the National …,Aspiration of foreign bodies in adults with personality disorders: impact on diagnosis and recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological …",https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Google Scholar,,,
2012,"Marwat, K.","K Iqbal, MI Khan, M Marwat","K Iqbal, MI Khan, M Marwat - Gomal Journal of Medical Sciences, 2012 - gjms.com.pk",Gomal Journal of Medical Sciences,Esophageal Foreign Bodies: Experience with Rigid Esophagoscopy at Dera Ismail Khan,Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The …,http://gjms.com.pk/index.php/journal/article/view/257,Google Scholar,,,
2012,"Nawras, M.","M Niazi, E Rafiq, A Nawras","M Niazi, E Rafiq, A Nawras - … journal of the American College of …, 2012 - journals.lww.com",… journal of the American College of …,EUS-guided FNA for Metastatic Renal Cell Carcinoma of Native Kidney in a Renal Transplant Patient: 1388,"Purpose: Adults are usually able to recall the type and amount of foreign bodies ingested, but might not be reliable in the setting of possible intoxication. A 23 year old female without …",https://journals.lww.com/ajg/fulltext/2012/10001/eus_guided_fna_for_metastatic_renal_cell_carcinoma.1388.aspx,Google Scholar,,,
2012,"Yung, K.","KC Huoh, KC Yung","KC Huoh, KC Yung - Otolaryngology, 2012",Otolaryngology,Retained denture in oropharynx,,,Google Scholar,,,
2012,"Kurtz…, N.","N Sonpal, R Taunk, A Randhawa, L Kurtz…","N Sonpal, R Taunk, A Randhawa, L Kurtz… - Official journal of the …, 2012 - journals.lww.com",Official journal of the …,Diagnosis of Retroperitoneal Metastatic Malignant Melanoma by EUS-Guided FNA: A Rare Finding Diagnosed by a Novel Modality: 1386,"Purpose: Malignant melanoma is a neoplasm which originates from melanocytes. Thought it is a rare form of skin cancer there are about 160,000 new cases of melanoma yearly …",https://journals.lww.com/ajg/fulltext/2012/10001/diagnosis_of_retroperitoneal_metastatic_malignant.1386.aspx,Google Scholar,,,
2012,"Pappas…, E.","EG Chekan, TN Pappas…","EG Chekan, TN Pappas… - Surgery: Basic Science …, 2012 - books.google.com",Surgery: Basic Science …,of Minimally,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first …",https://books.google.com/books?hl=en&lr=&id=p9MGCAAAQBAJ&oi=fnd&pg=PA429&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=A-CAx8Iiv6&sig=QBPHan3qGxk25sVZgXh6Es26QzM,Google Scholar,,,
2012,"Huston, A.","A Chiao, M Huston","A Chiao, M Huston - An Introduction to Clinical Emergency …, 2012 - books.google.com",An Introduction to Clinical Emergency …,24C THROAT PAIN,"Throat pain is one of the most common complaints seen by all health care providers, with pharyngitis being the most common cause of throat pain. Viruses are the most common cause …",https://books.google.com/books?hl=en&lr=&id=pyAlcOfBhjIC&oi=fnd&pg=PA321&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=HD13mF6NRi&sig=nyxW337jpAX0EnK8ies1cmWLkjQ,Google Scholar,,,
2014,"Jeon…, S.","S Park, DS Choi, HS Shin, JM Cho, KN Jeon…","S Park, DS Choi, HS Shin, JM Cho, KN Jeon… - Acta …, 2014 - journals.sagepub.com",Acta …,Fish bone foreign bodies in the pharynx and upper esophagus: evaluation with 64-slice MDCT,Background Fish bone (FB) is one of the common causes of foreign body impaction in the pharynx and esophagus. Purpose To investigate the efficacy of 64-slice multidetector …,https://journals.sagepub.com/doi/abs/10.1177/0284185113493087,Google Scholar,,,
