,Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason,Abstract2
10,1976,"Kottmeier, P.",PK Kottmeier,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Current Problems In Pediatrics,What The Pediatrician Should Know About Pediatric Trauma,"To study incidence and cause-and-effect relationship in pediatric trauma, we reviewed all accidental deaths which occurred in children under the age of 13 years from 1968 to 1972 in ...",https://www.sciencedirect.com/science/article/pii/s0045938076800047,Google Scholar,FALSE,,,"Peter K. Kottmeier is Professor and Chief of Pediatric Surgery at Kings County-Downstate Medical Center, State University of New York. Doctor Kottmeier received his M.D. degree from the Medical University of Munich. After a four-year residency in pathology he obtained training in general and thoracic surgery at Downstate Medical Center and in pediatric surgery at Childrens Hospital (Ohio State University, Columbus), where he also received a Masters Degree in Medical Science. A founding member"
11,1977,"Chasin, W.",WD Chasin,"WD Chasin - Hospital Practice, 1977 - Taylor & Francis",Hospital Practice,Pediatric Otolaryngologic Crises,"In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of ...",https://www.tandfonline.com/doi/abs/10.1080/21548331.1977.11707097,Google Scholar,FALSE,,,"In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of parents in preventing emergencies is recommended."
12,1979,"Kruter, J.",JS Kruter,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Issues In Comprehensive Pediatric Nursing,A Comprehensive Nursing Approach To Pediatric Facial Injuries,"E. Sunburn It is important to remember that often these categories overlap. For example, an injury resulting from a purposeful push is an intended injury. A flame burn to a child who was ...",https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,Google Scholar,FALSE,,,
13,1982,"Putman, G.","GE Newman, EL Effman, CE Putman","GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic ..., 1982 - Elsevier",Current Problems In Diagnostic ...,Pulmonary Aspiration Complexes In Adults,The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever...,https://www.sciencedirect.com/science/article/pii/0363018882900287,Google Scholar,FALSE,,,"The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever-threatening clinical problem even though knowledge of lung defense mechanisms and predisposing factors of aspiration has been advanced to a point which allows identification of patients at risk of suffering pulmonary aspiration. The identification of patients at risk however has not permitted adequate preventive measures from being exercised. This problem persists in part because few of the predisposing factors are reversible or controllable to a degree which would preclude pulmonary aspiration. In addition, the clinical diagnosis of pulmonary aspiration is more often tentative than absolute and based on the clinical setting and changes demonstrated on serial chest radiographs. This situation emphasizes the role of the radiologist and his knowledge of radiographic findings in pulmonary aspiration in suggesting the diagnosis of pulmonary aspiration. The diagnosis may then be confirmed by additional chest radiographs or by bronchoscopy and the retrieval of the aspirated material.
An understanding of the pathophysiology of the types of pulmonary aspiration serves to increase the awareness of certain pulmonary complications from aspiration, to select appropriate diagnostic studies, and to institute specific therapy. However, the nature of the material aspirated by a patient may not be obvious initially unless the episode is witnessed and may only be determined in retrospect in some cases. Thus, radiologists play a primary role in the diagnosis of pulmonary aspiration. Frequently, radiologists must integrate the chest radiographic findings of pulmonary aspirationthe distribution, types of parenchymal opacities, and the expected temporal changes in these opacities, with the patient's clinical situation to establish a diagnosis of pulmonary aspiration (Tables 5, 6).
Until recently, therapy of pulmonary aspiration was standardized, pragmatic, and frequently lacked an understanding of the distinct types of pulmonary aspiration. Controversy still surrounds some aspects of therapy. Perhaps, with additional efforts."
14,1983,"Teplick, L.","LR Goodman, SK Teplick","LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Radiologic Clinics Of North America,Computed Tomography In Acute Cardiopulmonary Disease,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging ...",https://www.sciencedirect.com/science/article/pii/s003383892201123x,Google Scholar,FALSE,,,"With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging examination most likely to give a definitive answer with a minimum of patient trauma. We anticipate that over the next few years the role of CT will expand in the diagnosis of specific acute mediastinal, parenchymal, and pleural diseases and will decrease in the evaluation of suspected vascular abnormalities, as digital angiography becomes more widely available."
15,1984,"Weher, A.",AL Weher,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Otolaryngologic Clinics Of North America,Radiology Of The Larynx,Diseases of the larynx cover a wide spectrum of different entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations ...,https://www.sciencedirect.com/science/article/pii/s0030666520319897,Google Scholar,FALSE,,,
16,1986,"Wetli, R.","R Beerman, D Nunez, CV Wetli","R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Gastrointestinal Radiology,Radiographic Evaluation Of The Cocaine Smuggler,A retrospective analysis of the plain abdominal films of 53 “ body packer ” drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and ...,https://link.springer.com/article/10.1007/bf02035108,Google Scholar,TRUE,7,,"A retrospective analysis of the plain abdominal films of 53  body packer  drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and management of these patients. Eighty-nine percent had studies diagnostic for foreign body ingestion. Multiple, well-defined, homogeneous oval or oblong densities, especially if surrounded by a crescent of air (double-condom sign), are key findings. If these densities were found in the proximal ascending colon or upper gastrointestinal tract, the diagnosis was almost assured.

Six percent of patients exhibited complications suggested on serial radiographs, proving the necessity for follow-up studies until complete expulsion or removal of the foreign body.

Radiologic evaluation is essential in the diagnosis and management of the cocaine smuggler."
17,1986,"Wagner, P.","PJ Mariani, DK Wagner","PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",The Journal Of Emergency Medicine,Foley Catheter Extraction Of Blunt Esophageal Foreign Bodies,The case is reported of a successful Foley catheter extraction of two superimposed coins from the esophagus of an 8-year-old girl. The presence of the second coin was suspected only ...,https://www.sciencedirect.com/science/article/pii/0736467986900065,Google Scholar,TRUE,3,,"Abstract-The case is reported of a success-
ful Foley catheter extraction of two superim-
posed coins from the esophagus of an &year-
old girl. The presence of the second coin was
suspected only on review of the lateral cervical
radiograph. In a previous report, failure to ini-
tially diagnose the presence of an additional coin
resulted in an endoscopic failure to clear the
esophagus. The technical aspects of Foley ex-
traction are reviewed along with the controver-
sy surrounding the procedure. Series totaling
294 cases document a cumulative success rate
of 85% without significant complications. The
technique, when performed by airway experts,
is concluded to be a viable alternative to endo-
scopic removal. Lateral films, fluoroscopic ex-
traction, and barium studies in select cases are
recommended as safeguards against missing non-
obvious foreign bodies of the esophagus."
18,1986,"Johnston, J.",JFW Johnston,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Journal Of Psychoactive Drugs,The Narcotics We Indulge In. Part Ii,"In a previous number we treated of tobacco and the hop, the two narcotics of the most general and acknowledged use among our British population. But there are many others in ...",https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,Google Scholar,TRUE,2,,
19,1988,"Kozarek, R.",RA Kozarek,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",The Esophagus. Philadelphia: Wb Saunders,Esophageal Foreign Bodies And Food Impaction,,,Google Scholar,TRUE,1,,
20,1988,"Strife, J.",JL Strife,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Radiologic Clinics Of North America,Upper Airway And Tracheal Obstruction In Infants And Children,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and ...",https://www.sciencedirect.com/science/article/pii/s0033838922009873,Google Scholar,FALSE,,,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and MRI give excellent anatomic detail in defining the airway, associated soft tissues, and vascular relationships."
21,1989,"Cristol, M.","MK Mountford, RE Cristol","MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Food,The Enteral Formula Market In The United States,The role of nutrition in the maintenance of optimal health has recognized for centuries. An understanding of the unique nutritiona quirements for certain medical conditions and diseases...,https://www.jstor.org/stable/26659397,Google Scholar,TRUE,2,,"The role of nutrition in the maintenance of optimal health has been recognized for centuries. An understanding of the unique nutritional requirements for certain medical conditions and diseases, however, has occurred primarily in the last twenty-five years. This knowledge has contributed to the development of a wide array of commercial enteral formulas. Health professionals increasingly utilize these products for nutrition support of malnourished patients."
22,1989,"Garlick, D.","D Dayan, A Buchner, J Garlick","D Dayan, A Buchner, J Garlick - Journal of endodontics, 1989 - jendodon.com",Journal Of Endodontics,Touton-Like Giant Cells In Periapical Granulomas,"Two types of multinucleated giant cells were observed in periapical granulomas—th foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, ...",https://www.jendodon.com/article/s0099-2399(89)80237-7/abstract,Google Scholar,TRUE,2,,"Two types of multinucleated giant cells were observed in periapical granulomasth foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, surrounded by foamy cytoplasm. Both types of giant cells reacted positively to lysozyme, _1-antitrypsin and _1-antichymotrypsin, indicating their histiocytic origin."
23,1989,"Bolte, J.","JE Schunk, H Corneli, R Bolte","JE Schunk, H Corneli, R Bolte - American Journal of Diseases of ..., 1989 - jamanetwork.com",American Journal Of Diseases Of ...,Pediatric Coin Ingestions: A Prospective Study Of Coin Location And Symptoms,• Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of ...,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Google Scholar,FALSE,,," Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of asymptomatic esophageal coins and the rate of spontaneous passage. All patients had a roentgenogram; coins were removed from the esophagus if the patient was symptomatic. Children with asymptomatic esophageal coins were allowed less than 24 hours to pass the coin to the stomach. Thirty children had esophageal coins; of these, 9 (30%) were asymptomatic. The presence of symptoms was significantly associated with esophageal coins, but the absence of symptoms did not reliably exclude the possibility of an esophageal coin. All children who swallow coins should undergo roentgenographic evaluation."
24,1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate Medicine,"Gastrointestinal Foreign Bodies: When To Remove Them, When To Watch And Wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest ...",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,FALSE,,,"Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest risk, and how can they be safely removed? What is the appropriate way to handle sharp objects? Button batteries? Packets of cocaine? Dr Clarkston addresses these and other questions in this article."
25,1993,"Tomoo..., T.","T Ken, Y Sunichi, U Toshiro, T Tomoo...","T Ken, Y Sunichi, U Toshiro, T Tomoo... - Chinese Medical ..., 1993 - mednexus.org",Chinese Medical ...,Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,"Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of ...",https://mednexus.org/doi/abs/10.5555/cmj.0366-6999.106.10.p788.01,Google Scholar,FALSE,,,"Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of obstruction, bleeding and perforation of the intestine, or furthermore, they sometimes lead to death unfortunately. On the other hand, it is very difficult to diagnose and treat foreign bodies in the handicapped because of disability of complaining the symptoms. This paper reports a 31-year-old severe handicapped man suffering from foreign bodies in the esophagus and the small intestine, and was successful removed by endoscope."
26,1993,"Towbin, R.","RD Kaye, RG Grifka, R Towbin","RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Radiologic Clinics Of North America,Intervention In The Thorax In Children,"The techniques and tools of interventional radiology have had a significant effect on the management of adult patients. The 1970s and 1980s have been a period of active development, ...",https://www.sciencedirect.com/science/article/pii/s0033838922026148,Google Scholar,FALSE,,,"The techniques and tools of interventional ra-
diology have had a significant effect on the man-
agement of adult patients. The 1970s and 1980s
have been a period of active development,
growth, and acceptance of these techniques in
children."" The increasing number of skilled prac-
titioners involved in pediatric interventional radi-
ology have successfully applied the advances in
diagnostic and therapeutic interventional proce-
dures to the pediatric population. Diagnostic and
therapeutic procedures are now routinely per-
formed in pediatric patients in all areas of the
body."" Our goal is to present an overview of
interventional procedures in the thorax in chil-
dren. The indications for procedures, patient
preparation, sedation, monitoring, and equipment
selection and review of selected procedures are
discussed."
27,1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-Asphyxiating Tracheobronchial Foreign Bodies In Adults,,,Google Scholar,FALSE,,,"BSTRACT: The presentations of 47 adult patients with a non-asphyxiating tra-
cheobronchial foreign body were reviewed. The duration of residence of the for-
eign body was 1 week or less in nine (""acute group""); 1 month or more in 29
(""chronic group""), uncertain in four (""uncertain group""); and the foreign body was
a broncholith in five patients (""broncholith group""). In the chronic and uncertain
groups, no precipitating factor was found and bone was the most common foreign
body. In the chronic group, a choking history was obtained before bronchoscopy
in only 15 patient.
Clinical manifestations and roentgenograms were nonspecific in most cases, except
in the acute group. In the chronic group, the mean duration of residence of the
foreign body was 25.8 months. The diagnosis was delayed due to absence of a
choking history and invisibility of the foreign body on chest films in 12, due to
patient's ignorance in 14, due to physician's ignorance in 1, and due to previous
unsuccessful retrieval attempts in 2 patients.
The main indication for bronchoscopy in the acute group was a choking history
or a visible foreign body on the chest film. In the chronic group, a choking histo-
ry or conditions leading to ""suspicion of an endobronchial lesion"" were the main
indications. The foreign body was removed with a fibreoptic bronchoscope in over
90% of patients. It is concluded that the most important diagnostic factor is a high
clinical index of suspicion and that flexible fibreoptic bronchoscopy provides a valu-
able therapeutic option in selected conditions."
28,1995,"Mäurer..., J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer...","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer... - Abdominal ..., 1995 - Springer",Abdominal ...,Drug Smuggling By Ingested Cocaine-Filled Packages: Conventional X-Ray And Ultrasound,Purpose To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in “...,https://link.springer.com/article/10.1007/bf00203366,Google Scholar,TRUE,7,,To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in body packers.
29,1996,"Loughlin, M.","MA Lefton-Greif, GM Loughlin","MA Lefton-Greif, GM Loughlin - Seminars in Speech and ..., 1996 - thieme-connect.com",Seminars In Speech And ...,Specialized Studies In Pediatric Dysphagia,The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing ...,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2008-1064106,Google Scholar,TRUE,2,,"The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing function; to judge the consequences of the swallowing dysfunction; and to assess factors that may be contributing to swallowing dysfunction. Instrumental assessment of swallowing function may include upper gastrointestinal studies, videofluoroscopy or videofluoroscopic swallow studies, ultrasonography, radionuctide imaging, fiberoptic endoscopy of swallowing, and cervical auscultation. Procedures that assess the consequences and/or identify factors contributing to swallowing dysfunction may include pulse oximetry, chest x-rays, laryngoscopy and/or bronchoscopy, and pulmonary function tests. The use of such specialized procedures to evaluate children with dysphagia is the focus of this article."
30,1996,"Darrow..., P.","PS Lemberg, DH Darrow...","PS Lemberg, DH Darrow... - Annals of Otology ..., 1996 - journals.sagepub.com",Annals Of Otology ...,Aerodigestive Tract Foreign Bodies In The Older Child And Adolescent,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances ...",https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Google Scholar,FALSE,,,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances surrounding these events. A review of patients treated over a 5-year period identified 367 children from whom aerodigestive tract foreign bodies were removed. Seventeen percent of these patients were 5 years of age or older. Among these children, 88% aspirated nonfood items, half of which were school supplies; 78% of the group 5 years old and under aspirated food items. Among older children with esophageal foreign bodies, 31 % had food impactions, compared with 7% in the younger group; 70% of these children had a history of some anatomic abnormality of the esophagus. These data suggest that older children and adolescents represent a distinct group of patients at risk for foreign body accidents. Pediatricians and parents of children in this age group should discourage the practice of using the oral cavity as a repository for school supplies, and should stress the need for adequate preparation and mastication of food, particularly among children with esophageal abnormalities."
31,1996,"Armstrong, M.",M Armstrong,"M Armstrong - The Journal of Aesthetics and Art Criticism, 1996 - JSTOR",The Journal Of Aesthetics And Art Criticism,""" The Effects Of Blackness"": Gender, Race, And The Sublime In Aesthetic Theories Of Burke And Kant","Stereotypes, however inaccurate, are one form of representation. Like fictions, they are created to serve as substitutions, standing in for what is real. They are there not to tell it like it is ...",https://www.jstor.org/stable/431624,Google Scholar,TRUE,2,,
32,1997,"Ozanne-Smith, A.","AE Altmann, J Ozanne-Smith","AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Injury Prevention,Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify ...",https://injuryprevention.bmj.com/content/3/3/176.short,Google Scholar,FALSE,,,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify possible areas for prevention. METHODS: For children under 15 years, all Victorian public hospital admissions, July 1987 to June 1995, due to asphyxiation or 'foreign body entering through other orifice' (which includes ingestions), were reviewed. Emergency department presentations due to asphyxiation and foreign body ingestion provided information on circumstances of, and the type of foreign bodies involved in the injuries. RESULTS: The childhood average annual admission rate for asphyxiation was 15.1 per 100,000. Food related asphyxiation peaked in infants under 1 year, and declined to low levels by 3 years. The main foods involved were nuts, carrot, apple, and candy. The rate of non-food related asphyxiation was relatively constant to 3 years of age and then declined by 6 years. Mechanical suffocation was less common. The annual admission rate for 'foreign body entering through other orifice' was 31.7 per 100,000. These injuries peaked in 2-3 year olds then gradually declined. About 80% of these foreign body admissions were ingestions, with coins being the major object ingested. Admission rates for these causes remained constant over the eight years. Asphyxiation resulted in a higher proportion admitted and longer hospital stays. CONCLUSIONS: Prevention of suffocation and strangulation needs to focus on a safe sleeping environment and avoidance of ropes and cords, while foreign body asphyxiation and ingestion needs a focus on education of parents and child carers regarding age, appropriate food, risk of play with coins, and other small items. Legislation for toy small parts could be extended to those used by children up to the age of 5 years, and to other products marketed for children. Design changes and warning labels also have a place in prevention."
33,1997,"Coren..., B.","BF Gilchrist, EP Valerie, M Nguyen, C Coren...","BF Gilchrist, EP Valerie, M Nguyen, C Coren... - Journal of pediatric ..., 1997 - Elsevier",Journal Of Pediatric ...,"Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children",Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks ...,https://www.sciencedirect.com/science/article/pii/s0022346897905546,Google Scholar,FALSE,,,"Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks to years and present significant problems for retrieval. The purpose of this study was to describe the diagnostic and therapeutic strategies needed to care for children who have chronic esophageal FBs.
Methods: Five children were identified as having retained esophageal FBs 2 months to 2 years after ingestion. During the same 3-year period, 100 children who had acute FBs were identified and had their foreign bodies removed endoscopically. The average age of the children was 3 years (range, 2.4 to 3.5).
Results: The average age of the five children identified in this study was 3 years. The items ingested included coins, a heart pendant, a clothespin spring, and a toy soldier. Complications from chronically retained foreign bodies were bronchoesophageal fistula, mediastinitis, esophageal diverticulum, and lobar atelectasis. One patient died from an aortoesophageal fistula. In all children, endoscopic removal was attempted. Barium esophagram was then performed, and foreign bodies were eventually removed via right thoracotomy.
Conclusions: Long-retained esophageal FBs are extremely morbid and life threatening. History most often identifies excess salivation, new onset asthma, and/or recurrent upper respiratory infections. Three diagnostic adjuncts are helpful in identifying the presence of a long retained FB: (1) Chest x-ray (PA and lateral), (2) barium swallow, and (3) esophagoscopy. Indications for thoracotomy for removal of foreign body include (1) Poor endoscopic visualization of FB because of inflammatory tissue and (2) Herald bleeding during endoscopy."
34,1998,"Messner, A.",AH Messner,"AH Messner - Clinical pediatrics, 1998 - journals.sagepub.com",Clinical Pediatrics,Pitfalls In The Diagnosis Of Aerodigestive Tract Foreign Bodies,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can ...",https://journals.sagepub.com/doi/abs/10.1177/000992289803700605,Google Scholar,FALSE,,,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can decrease morbidity and length of hospital stay in these children. Three cases of delayed diagnosis in children with bronchial (2) and esophageal (1) foreign bodies are presented. In dealing with young children it is important to maintain a high clinical suspicion of a foreign body and to perform a detailed history and physical examination. Options in radiographic analysis of the patient with a suspected foreign body, probable locations of the foreign body, and the likelihood of definitive radiographic findings are discussed. Importantly, a negative radiographic analysis does not rule out the presence of an aerodigestive tract foreign body. Two flow charts for the evaluation of patients who have possibly ingested or inhaled a foreign body are presented to aid the primary care physician in diagnosis."
