,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
10,1915,"Kerley, C.",Cg Kerley,,CG Kerley - 1915 - books.google.com,Google Scholar,,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&inst=7421307413561760588&q=What+Every+Mother+Should+Know+About+Her+Infants+And+Young+Children+ck+kerley+1915&btnG=,What Every Mother Should Know About Her Infants And Young Children,"This Pamphlet Was Prepared At The Suggestion Of A Child'S Welfare Organization. Its Purpose Is To Place In The Hands Of The Mother Of Moderate Means, Concise, Readily Understood And ...",Abstract not available,,
11,1917,"Benedetto, M.",M Di Benedetto,Rehabilitation Of The Injured ...,"M DI BENEDETTO - REHABILITATION OF THE INJURED ..., 1917 - upload.wikimedia.org",Google Scholar,,https://upload.wikimedia.org/wikipedia/commons/8/8d/rehabilitation_of_the_injured_combatant_volume_1_%28ia_rehabilitationoftheinjuredcombatantvolume1%29.pdf#page=287,Cranial Neuropathies: Electro-Diagnosis And Management,"Conclusion * Colonel Medical Corps, Us Army (Ret); Formerly, Assistant To The Deputy Commanding General, Us Army Training Command, Fort Monroe, Virginia; Currently, Professor...",Abstract not available,,
12,1917,"Davis, E.",Ep Davis,,EP Davis - 1917 - books.google.com,Google Scholar,,"https://scholar.google.com/scholar?cluster=15663561698211163996&hl=en&as_sdt=0,5&inst=7421307413561760588",Obstetric And Gynecologic Nursing,"Chapter I Definition Of Pregnancy; The Growth Of The Ovum... The Fetus, 14-Physiology Of Pregnancy, 16-The Placenta, 19-Anatomy Of Pregnancy, 20-Medical Care ...",Abstract not available,,
13,1917,"Ritter, T.",Tj Ritter,Nursing,"TJ Ritter - Nursing, 1917 - uk.i-scream.org",Google Scholar,,ftp://ftp.uk.i-scream.org/sites/gutenberg.org/1/7/4/3/17439/17439-doc.doc,Mother'S Remedies,╨╧*Αí▒*Ss>*■ *¡Zv*|V*╠U*═U╬U╧U╨U╤U╥U╙U╘U╒U╓U╫U╪U┘U┌U█U▄U▌U▐U▀Uαußuγuπuσuσuµuτuφuθuωuδu∞Uφuεu∩U≡U±U≥U≤U⌠U⌡U÷U≈Uu∙U·...,Abstract not available,,
14,1919,"Walsh, J.",Jj Walsh,Annals Of Medical History,"JJ Walsh - Annals of Medical History, 1919 - ncbi.nlm.nih.gov",Google Scholar,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7944726/,Two Chapters In The History Of Laryngology And Rhinology,He Writings And Addresses Of Dr. D. Bryson Delavan Have Been Especially Important In Calling At Tention To The Fact That The Spe Cial Chapter In The History Of Medicine Of Which Physicians ...,Abstract not available,,
15,1925,"Richards, L.",L Richards,The Boston Medical And Surgical Journal,"L Richards - The Boston Medical and Surgical Journal, 1925 - Mass Medical Soc",Google Scholar,10.1056/NEJM192510221931702,https://www.nejm.org/doi/pdf/10.1056/nejm192510221931702,A Year Of Endoscopy,Has Of Lateyears Become Increasingly Serviceable Inthe Examination Of The Upper Respiratory And Alimentary Tracts. With The Progress In Efficiency Of The Instruments And The Technical ...,Abstract not available,,
16,1945,"Samuel, D.","Db Mcgrigor, E Samuel",The British Journal Of Radiology,"DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",Google Scholar,10.1259/0007-1285-18-209-133,https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,War Wounds Of The Chest,"That Chest Wounds Occur Frequently And Are Of Considerable Importance Can Be Seen From Table I, Which Analyses The Frequency And The Fatality Rates Of Chest Injuries In The Recent Wars. ...","Abstract

That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars.

In forward areas the surgery of chest injuries is confined to emergency measures, such as the closing of sucking pneumothoraces and the relieving of tension pneumothoraces, etc., and is undertaken by the general surgeon, whilst the definitive surgery is performed by specialist surgeons at the base chest centres. Likewise, radiology in the forward areas is generally confined to scout films of the thorax, the special investigations being left to the radiologist at the special chest centres.

In modern warfare, the radiological investigation of a chest wound falls into two main classes:

(a) At Advanced Surgical Centres and C.C.S's

Films at this stage will generally be in the nature of scout films, to give a general estimation of the intra-thoracic damage. There is little place for complicated radiological examinations at this stage. Many of the patients are severely ill, often with multiple wounds, and as the portability of the apparatus (W.D. 85/15 unit) used of necessity limits its output, recourse to short distance technique must be made.

Using this technique, the anode film distance may be reduced to 30 in. or even less, to eliminate movement. The resulting distortion is no bar to correct interpretation as the lesion, unfortunately, is seldom minimal, whilst on the other hand the slightest movement may obscure even the most massive of lesions.",,
17,1954,"Kingrey, B.",B Kingrey,,B Kingrey - 1954,Google Scholar,,https://pubmed.ncbi.nlm.nih.gov/13271229/,Experimental Bovine Traumatic Gastritis.,,Abstract not available,,
18,1956,"Lundvall, R.",R Lundvall,,R Lundvall - 1956,Google Scholar,,https://behost.lib.iastate.edu/DR/Lundvall_SF967.T6-L972p.pdf,Prevention Of Traumatic Gastritis By The Use Of Permanent Bar Magnets In The Reticulum.,,A thesis Submitted to the Graduate Faculty in Partial Fulfillment of The Requirements for the De g ree of MASTER OF SCIENCE. Major Subject: Veterinary Medicine and Surgery,,
19,1974,"Rosenow, E.",Ec Rosenow,The Esophagus. Philadelphia: Lea & Febiger,"EC Rosenow - The esophagus. Philadelphia: Lea & Febiger, 1974",Google Scholar,,,Foreign Bodies Of The Esophagus,,Abstract not available,,
20,1975,"Davidoff, E.","Davidoff, Elliott; Towne, Jonathan B.",New York State Journal Of Medicine,,PsycINFO,,,Ingested Foreign Bodies,"Discusses 7 Case Histories Of White Male Federal Prisoners, Ages 20-25, Representing 18 Instances Of Intentional Ingestion Of Foreign Bodies. 4 Types Of Ingesters Are Indicated: Psychotics, Children, Accidental Swallowers, And Manipulative Swallowers. A High Mortality Rate Has Been Reported Among Psychotic Patients Due To The Number And Bizarreness Of The Objects And The Difficulty Of Making A Firm Diagnosis Of Such Patients. The Nonpsychotic Patient Who Has Swallowed A Foreign Body As A Manipulative Gesture Is A Type Seen Among Prison Populations. Diagnosis Is Facilitated By The Intention Of Obtaining Secondary Gain. There Is A Marked Tendency To Repeat The Action. Prison Population Manipulative Swallowers Are Often Uncooperative, Demanding Or Refusing Surgery At Times. Their Behavior Makes Patient Management Deviate From The Ideal Of Expectant Treatment. (18 Ref) (Psycinfo Database Record (C) 2022 Apa, All Rights Reserved)",,,
21,1975,"Samson, R.","Rj Jones, Pc Samson",The Annals Of Thoracic Surgery,"RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",Google Scholar,10.1016/S0003-4975(10)64007-6,https://www.sciencedirect.com/science/article/pii/s0003497510640076,Esophageal Injury,The Medicolegal Literature Contains A Number Of References To Esophageal Injury. Certain Excerpts Dealing With Several Types Of Potential Actions Are Extracted: (1) Suits To Recover ...,"Abstract
The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover damages for esophageal perforation in which negligent endoscopy was claimed; (2) suits following endoscopic accidents in which lack of informed consent was claimed; and (3) suits for professional liability based on misdiagnosis, delayed diagnosis, or wrong treatment of esophageal perforation.
This review considers all possible modes of esophageal injury, based on a schema originally published in 1954 and more recently modified in 1970. For each category of injury there are detailed discussions of diagnosis and treatment. The best available knowledge of present-day modalities has been based on a survey of the literature for the past decade. When diverse methods of treatment were encountered, we have made comments consistent with our personal experience, when appropriate.",,
22,1976,"Kottmeier, P.",Pk Kottmeier,Current Problems In Pediatrics,"PK Kottmeier - Current problems in pediatrics, 1976 - Elsevier",Google Scholar,10.1016/S0045-9380(76)80004-7,https://www.sciencedirect.com/science/article/pii/s0045938076800047,What The Pediatrician Should Know About Pediatric Trauma,"To Study Incidence And Cause-And-Effect Relationship In Pediatric Trauma, We Reviewed All Accidental Deaths Which Occurred In Children Under The Age Of 13 Years From 1968 To 1972 In ...","Peter K. Kottmeier is Professor and Chief of Pediatric Surgery at Kings County-Downstate Medical Center, State University of New York. Doctor Kottmeier received his M.D. degree from the Medical University of Munich. After a four-year residency in pathology he obtained training in general and thoracic surgery at Downstate Medical Center and in pediatric surgery at Childrens Hospital (Ohio State University, Columbus), where he also received a Masters Degree in Medical Science. A founding member",,
23,1977,"Chasin, W.",Wd Chasin,Hospital Practice,"WD Chasin - Hospital Practice, 1977 - Taylor & Francis",Google Scholar,10.1080/21548331.1977.11707097,https://www.tandfonline.com/doi/abs/10.1080/21548331.1977.11707097,Pediatric Otolaryngologic Crises,"In The Second Article On Pediatric Otolaryngology, Speed Of Diagnosis Is Stressed As Vital To Prevent Permanent Aftereffects Such As Deafness Or Facial Paralysis. Aggressive Education Of ...","In the second article on pediatric otolaryngology, speed of diagnosis is stressed as vital to prevent permanent aftereffects such as deafness or facial paralysis. Aggressive education of parents in preventing emergencies is recommended.",,
24,1979,"Kruter, J.",Js Kruter,Issues In Comprehensive Pediatric Nursing,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Google Scholar,10.3109/01460867909110999,https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,A Comprehensive Nursing Approach To Pediatric Facial Injuries,"E. Sunburn It Is Important To Remember That Often These Categories Overlap. For Example, An Injury Resulting From A Purposeful Push Is An Intended Injury. A Flame Burn To A Child Who Was ...",Abstract not available,,
25,1982,"Putman, G.","Ge Newman, El Effman, Ce Putman",Current Problems In Diagnostic ...,"GE Newman, EL Effman, CE Putman - Current Problems in Diagnostic ..., 1982 - Elsevier",Google Scholar,10.1016/0363-0188(82)90028-7,https://www.sciencedirect.com/science/article/pii/0363018882900287,Pulmonary Aspiration Complexes In Adults,The Term Pulmonary Aspiration Complex Represents The Various Types Of Pulmonary Aspiration Based On The Nature Of The Material Aspirated. Pulmonary Aspiration Continues To Be An Ever...,"The term pulmonary aspiration complex represents the various types of pulmonary aspiration based on the nature of the material aspirated. Pulmonary aspiration continues to be an ever-threatening clinical problem even though knowledge of lung defense mechanisms and predisposing factors of aspiration has been advanced to a point which allows identification of patients at risk of suffering pulmonary aspiration. The identification of patients at risk however has not permitted adequate preventive measures from being exercised. This problem persists in part because few of the predisposing factors are reversible or controllable to a degree which would preclude pulmonary aspiration. In addition, the clinical diagnosis of pulmonary aspiration is more often tentative than absolute and based on the clinical setting and changes demonstrated on serial chest radiographs. This situation emphasizes the role of the radiologist and his knowledge of radiographic findings in pulmonary aspiration in suggesting the diagnosis of pulmonary aspiration. The diagnosis may then be confirmed by additional chest radiographs or by bronchoscopy and the retrieval of the aspirated material.
An understanding of the pathophysiology of the types of pulmonary aspiration serves to increase the awareness of certain pulmonary complications from aspiration, to select appropriate diagnostic studies, and to institute specific therapy. However, the nature of the material aspirated by a patient may not be obvious initially unless the episode is witnessed and may only be determined in retrospect in some cases. Thus, radiologists play a primary role in the diagnosis of pulmonary aspiration. Frequently, radiologists must integrate the chest radiographic findings of pulmonary aspirationthe distribution, types of parenchymal opacities, and the expected temporal changes in these opacities, with the patient's clinical situation to establish a diagnosis of pulmonary aspiration (Tables 5, 6).
Until recently, therapy of pulmonary aspiration was standardized, pragmatic, and frequently lacked an understanding of the distinct types of pulmonary aspiration. Controversy still surrounds some aspects of therapy. Perhaps, with additional efforts.",,
26,1983,"Teplick, L.","Lr Goodman, Sk Teplick",Radiologic Clinics Of North America,"LR Goodman, SK Teplick - Radiologic Clinics of North America, 1983 - Elsevier",Google Scholar,10.1016/S0033-8389(22)01123-X,https://www.sciencedirect.com/science/article/pii/s003383892201123x,Computed Tomography In Acute Cardiopulmonary Disease,"With Increasing Experience And Better Equipment, The Role Of Thoracic Ct Is Rapidly Expanding. In Patients With Specific Clinical Problems Such As Outlined Above, Ct Is The Single Imaging ...","With increasing experience and better equipment, the role of thoracic CT is rapidly expanding. In patients with specific clinical problems such as outlined above, CT is the single imaging examination most likely to give a definitive answer with a minimum of patient trauma. We anticipate that over the next few years the role of CT will expand in the diagnosis of specific acute mediastinal, parenchymal, and pleural diseases and will decrease in the evaluation of suspected vascular abnormalities, as digital angiography becomes more widely available.",,
27,1984,"Weher, A.",Al Weher,Otolaryngologic Clinics Of North America,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Google Scholar,10.1016/S0030-6665(20)31989-7,https://www.sciencedirect.com/science/article/pii/s0030666520319897,Radiology Of The Larynx,Diseases Of The Larynx Cover A Wide Spectrum Of Different Entities That Are Investigated By Various Radiologic Techniques. The Indications For These Different Radiologic Examinations ...,"Diseases of the larynx cover a wide spectrum of difterent entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations depend on the clinical problems to be investigated. Their judicious application requires an understanding of the value and limitations of these various radiologic modalities. It is the purpose of this report to enumerate and discuss the different radiologic methods of examining the larynx, their indications, and interpretation of the roentgen-ographic findings. Evaluation of the patient's symptoms and indirect lar-yngoscopy form the basis for selection of the radiologic studies. Table 1 lists the number of techniques that are available for assessment of the larynx.",,
28,1986,"Wetli, R.","R Beerman, D Nunez, Cv Wetli",Gastrointestinal Radiology,"R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Google Scholar,10.1007/BF02035108,https://link.springer.com/article/10.1007/bf02035108,Radiographic Evaluation Of The Cocaine Smuggler,A Retrospective Analysis Of The Plain Abdominal Films Of 53 “ Body Packer ” Drug Smugglers Was Performed To Ascertain The Importance Of Radiographic Studies In The Diagnosis And ...,"A retrospective analysis of the plain abdominal films of 53  body packer  drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and management of these patients. Eighty-nine percent had studies diagnostic for foreign body ingestion. Multiple, well-defined, homogeneous oval or oblong densities, especially if surrounded by a crescent of air (double-condom sign), are key findings. If these densities were found in the proximal ascending colon or upper gastrointestinal tract, the diagnosis was almost assured.

Six percent of patients exhibited complications suggested on serial radiographs, proving the necessity for follow-up studies until complete expulsion or removal of the foreign body.

Radiologic evaluation is essential in the diagnosis and management of the cocaine smuggler.",,
29,1986,"Wagner, P.","Pj Mariani, Dk Wagner",The Journal Of Emergency Medicine,"PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",Google Scholar,10.1016/0736-4679(86)90006-5,https://www.sciencedirect.com/science/article/pii/0736467986900065,Foley Catheter Extraction Of Blunt Esophageal Foreign Bodies,The Case Is Reported Of A Successful Foley Catheter Extraction Of Two Superimposed Coins From The Esophagus Of An 8-Year-Old Girl. The Presence Of The Second Coin Was Suspected Only ...,"Abstract-The case is reported of a success-
ful Foley catheter extraction of two superim-
posed coins from the esophagus of an &year-
old girl. The presence of the second coin was
suspected only on review of the lateral cervical
radiograph. In a previous report, failure to ini-
tially diagnose the presence of an additional coin
resulted in an endoscopic failure to clear the
esophagus. The technical aspects of Foley ex-
traction are reviewed along with the controver-
sy surrounding the procedure. Series totaling
294 cases document a cumulative success rate
of 85% without significant complications. The
technique, when performed by airway experts,
is concluded to be a viable alternative to endo-
scopic removal. Lateral films, fluoroscopic ex-
traction, and barium studies in select cases are
recommended as safeguards against missing non-
obvious foreign bodies of the esophagus.",,
30,1986,"Johnston, J.",Jfw Johnston,Journal Of Psychoactive Drugs,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Google Scholar,10.1080/02791072.1986.10471393,https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,The Narcotics We Indulge In. Part Ii,"In A Previous Number We Treated Of Tobacco And The Hop, The Two Narcotics Of The Most General And Acknowledged Use Among Our British Population. But There Are Many Others In ...",Abstract not available,,
31,1988,"Kozarek, R.",Ra Kozarek,The Esophagus. Philadelphia: Wb Saunders,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",Google Scholar,,,Esophageal Foreign Bodies And Food Impaction,,Abstract not available,,
32,1988,"Strife, J.",Jl Strife,Radiologic Clinics Of North America,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Google Scholar,10.1016/S0033-8389(22)00987-3,https://www.sciencedirect.com/science/article/pii/s0033838922009873,Upper Airway And Tracheal Obstruction In Infants And Children,"The Radiologist Plays A Key Role In The Diagnosis Of Airway Obstruction In Children. Most Diagnoses Are Made On The Basis Of Plain Films. In More Complicated Or Complex Entities, Ct And ...","The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and MRI give excellent anatomic detail in defining the airway, associated soft tissues, and vascular relationships.",,
33,1989,"Bolte, J.","Je Schunk, H Corneli, R Bolte",American Journal Of Diseases Of ...,"JE Schunk, H Corneli, R Bolte - American Journal of Diseases of ..., 1989 - jamanetwork.com",Google Scholar,10.1001/archpedi.1989.02150170044017,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Pediatric Coin Ingestions: A Prospective Study Of Coin Location And Symptoms,• Coins Are The Most Common Esophageal Foreign Body In Children. We Prospectively Evaluated 52 Consecutive Children Who Had Swallowed Coins To Determine The Incidence Of ...," Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of asymptomatic esophageal coins and the rate of spontaneous passage. All patients had a roentgenogram; coins were removed from the esophagus if the patient was symptomatic. Children with asymptomatic esophageal coins were allowed less than 24 hours to pass the coin to the stomach. Thirty children had esophageal coins; of these, 9 (30%) were asymptomatic. The presence of symptoms was significantly associated with esophageal coins, but the absence of symptoms did not reliably exclude the possibility of an esophageal coin. All children who swallow coins should undergo roentgenographic evaluation.",,
34,1989,"Cristol, M.","Mk Mountford, Re Cristol",Food,"MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Google Scholar,,https://www.jstor.org/stable/26659397,The Enteral Formula Market In The United States,The Role Of Nutrition In The Maintenance Of Optimal Health Has Recognized For Centuries. An Understanding Of The Unique Nutritiona Quirements For Certain Medical Conditions And Diseases...,"The role of nutrition in the maintenance of optimal health has been recognized for centuries. An understanding of the unique nutritional requirements for certain medical conditions and diseases, however, has occurred primarily in the last twenty-five years. This knowledge has contributed to the development of a wide array of commercial enteral formulas. Health professionals increasingly utilize these products for nutrition support of malnourished patients.",,
35,1989,"Friedman, E.","Friedman, E. M.",Pediatric Clinics Of North America,,PubMed,10.1016/s0031-3955(16)36796-7,,Caustic Ingestions And Foreign Bodies In The Aerodigestive Tract Of Children,"Caustic Ingestions, Both Accidental And Intentional, Continue To Cause Significant Morbidity And Mortality. This Article Recommends The Best Methods Of  Managing Caustic Ingestion And The Related Problems Of Foreign Bodies In The  Digestive Tracts Of Small Children, And Also Stresses The Need For Prevention As  The Best Defense.",,,
36,1989,"Garlick, D.","D Dayan, A Buchner, J Garlick",Journal Of Endodontics,"D Dayan, A Buchner, J Garlick - Journal of endodontics, 1989 - jendodon.com",Google Scholar,10.1016/S0099-2399(89)80237-7,https://www.jendodon.com/article/s0099-2399(89)80237-7/abstract,Touton-Like Giant Cells In Periapical Granulomas,"Two Types Of Multinucleated Giant Cells Were Observed In Periapical Granulomas—Th Foreign Body Type And The Touton Type. In The Touton Type, The Nuclei Were Near The Center Of The Cell, ...","Two types of multinucleated giant cells were observed in periapical granulomasth foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, surrounded by foamy cytoplasm. Both types of giant cells reacted positively to lysozyme, _1-antitrypsin and _1-antichymotrypsin, indicating their histiocytic origin.",,
37,1991,"Brusis, T.","Brusis, T.; Luckhaupt, H.",Laryngo- Rhino- Otologie,,PubMed,10.1055/s-2007-997999,,History Of Esophagoscopy,"Since The Middle Of The 19Th Century Very Many Experts Have Endeavoured To Develop The Oesophagoscopy Following Two Different Principles Of Oesophagus  Examination. Some Tried To Transfer The Technique Of Indirect Laryngoscopy On The  Oesophagus By Using A Larynx Speculum. In Order To Achieve An Insight Into The  Oesophagus They Separated Its Closed Upper End By Means Of Special Retracting  Instruments. Various Instruments Were Developed For This Purpose (By Voltolini,  Semeleder, Stoerk, Bevan, Waldenburg, Mackenzie) Which However Not Proved To Be  Effective. Mostly Angled Or Jointed Tubes Came Into Use Which Were Stretched  After Insertion. More Successful Were Those Applying Simple Straight Tubes.  Except For Stoerk It Was Kussmaul Who Had A Sword-Swallower Swallow A Tube  Instead Of A Sword. Today Flexible Fiberglass Endoscopes Are Used As Well As  Rigid Tubes.",,,
