Study_ID,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
13,1917,"Ritter, T.",Tj Ritter,Nursing,"TJ Ritter - Nursing, 1917 - uk.i-scream.org",Google Scholar,,ftp://ftp.uk.i-scream.org/sites/gutenberg.org/1/7/4/3/17439/17439-doc.doc,Mother'S Remedies,╨╧*Αí▒*Ss>*■ *¡Zv*|V*╠U*═U╬U╧U╨U╤U╥U╙U╘U╒U╓U╫U╪U┘U┌U█U▄U▌U▐U▀Uαußuγuπuσuσuµuτuφuθuωuδu∞Uφuεu∩U≡U±U≥U≤U⌠U⌡U÷U≈Uu∙U·...,Abstract not available,True,5.0,,,,,,,True,5.0
14,1919,"Walsh, J.",Jj Walsh,Annals Of Medical History,"JJ Walsh - Annals of Medical History, 1919 - ncbi.nlm.nih.gov",Google Scholar,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7944726/,Two Chapters In The History Of Laryngology And Rhinology,He Writings And Addresses Of Dr. D. Bryson Delavan Have Been Especially Important In Calling At Tention To The Fact That The Spe Cial Chapter In The History Of Medicine Of Which Physicians ...,Abstract not available,True,5.0,,,,,,,True,5.0
16,1945,"Samuel, D.","Db Mcgrigor, E Samuel",The British Journal Of Radiology,"DB McGrigor, E Samuel - The British Journal of Radiology, 1945 - academic.oup.com",Google Scholar,10.1259/0007-1285-18-209-133,https://academic.oup.com/bjr/article-abstract/18/209/133/7297477,War Wounds Of The Chest,"That Chest Wounds Occur Frequently And Are Of Considerable Importance Can Be Seen From Table I, Which Analyses The Frequency And The Fatality Rates Of Chest Injuries In The Recent Wars. ...","Abstract

That chest wounds occur frequently and are of considerable importance can be seen from Table I, which analyses the frequency and the fatality rates of chest injuries in the recent wars.

In forward areas the surgery of chest injuries is confined to emergency measures, such as the closing of sucking pneumothoraces and the relieving of tension pneumothoraces, etc., and is undertaken by the general surgeon, whilst the definitive surgery is performed by specialist surgeons at the base chest centres. Likewise, radiology in the forward areas is generally confined to scout films of the thorax, the special investigations being left to the radiologist at the special chest centres.

In modern warfare, the radiological investigation of a chest wound falls into two main classes:

(a) At Advanced Surgical Centres and C.C.S's

Films at this stage will generally be in the nature of scout films, to give a general estimation of the intra-thoracic damage. There is little place for complicated radiological examinations at this stage. Many of the patients are severely ill, often with multiple wounds, and as the portability of the apparatus (W.D. 85/15 unit) used of necessity limits its output, recourse to short distance technique must be made.

Using this technique, the anode film distance may be reduced to 30 in. or even less, to eliminate movement. The resulting distortion is no bar to correct interpretation as the lesion, unfortunately, is seldom minimal, whilst on the other hand the slightest movement may obscure even the most massive of lesions.",True,3.0,,,,,,,True,3.0
17,1954,"Kingrey, B.",B Kingrey,,B Kingrey - 1954,Google Scholar,,https://pubmed.ncbi.nlm.nih.gov/13271229/,Experimental Bovine Traumatic Gastritis.,,Abstract not available,True,4.0,,,,,,,True,4.0
18,1956,"Lundvall, R.",R Lundvall,,R Lundvall - 1956,Google Scholar,,https://behost.lib.iastate.edu/DR/Lundvall_SF967.T6-L972p.pdf,Prevention Of Traumatic Gastritis By The Use Of Permanent Bar Magnets In The Reticulum.,,A thesis Submitted to the Graduate Faculty in Partial Fulfillment of The Requirements for the De g ree of MASTER OF SCIENCE. Major Subject: Veterinary Medicine and Surgery,True,4.0,,,,,,,True,4.0
19,1974,"Rosenow, E.",Ec Rosenow,The Esophagus. Philadelphia: Lea & Febiger,"EC Rosenow - The esophagus. Philadelphia: Lea & Febiger, 1974",Google Scholar,,,Foreign Bodies Of The Esophagus,,Abstract not available,True,1.0,,,,,,,True,1.0
20,1975,"Davidoff, E.","Davidoff, Elliott; Towne, Jonathan B.",New York State Journal Of Medicine,,PsycINFO,,,Ingested Foreign Bodies,"Discusses 7 Case Histories Of White Male Federal Prisoners, Ages 20-25, Representing 18 Instances Of Intentional Ingestion Of Foreign Bodies. 4 Types Of Ingesters Are Indicated: Psychotics, Children, Accidental Swallowers, And Manipulative Swallowers. A High Mortality Rate Has Been Reported Among Psychotic Patients Due To The Number And Bizarreness Of The Objects And The Difficulty Of Making A Firm Diagnosis Of Such Patients. The Nonpsychotic Patient Who Has Swallowed A Foreign Body As A Manipulative Gesture Is A Type Seen Among Prison Populations. Diagnosis Is Facilitated By The Intention Of Obtaining Secondary Gain. There Is A Marked Tendency To Repeat The Action. Prison Population Manipulative Swallowers Are Often Uncooperative, Demanding Or Refusing Surgery At Times. Their Behavior Makes Patient Management Deviate From The Ideal Of Expectant Treatment. (18 Ref) (Psycinfo Database Record (C) 2022 Apa, All Rights Reserved)",,True,1.0,,,,,,,True,1.0
28,1986,"Wetli, R.","R Beerman, D Nunez, Cv Wetli",Gastrointestinal Radiology,"R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Google Scholar,10.1007/BF02035108,https://link.springer.com/article/10.1007/bf02035108,Radiographic Evaluation Of The Cocaine Smuggler,A Retrospective Analysis Of The Plain Abdominal Films Of 53 “ Body Packer ” Drug Smugglers Was Performed To Ascertain The Importance Of Radiographic Studies In The Diagnosis And ...,"A retrospective analysis of the plain abdominal films of 53  body packer  drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and management of these patients. Eighty-nine percent had studies diagnostic for foreign body ingestion. Multiple, well-defined, homogeneous oval or oblong densities, especially if surrounded by a crescent of air (double-condom sign), are key findings. If these densities were found in the proximal ascending colon or upper gastrointestinal tract, the diagnosis was almost assured.

Six percent of patients exhibited complications suggested on serial radiographs, proving the necessity for follow-up studies until complete expulsion or removal of the foreign body.

Radiologic evaluation is essential in the diagnosis and management of the cocaine smuggler.",True,7.0,,,,,,,True,7.0
29,1986,"Wagner, P.","Pj Mariani, Dk Wagner",The Journal Of Emergency Medicine,"PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",Google Scholar,10.1016/0736-4679(86)90006-5,https://www.sciencedirect.com/science/article/pii/0736467986900065,Foley Catheter Extraction Of Blunt Esophageal Foreign Bodies,The Case Is Reported Of A Successful Foley Catheter Extraction Of Two Superimposed Coins From The Esophagus Of An 8-Year-Old Girl. The Presence Of The Second Coin Was Suspected Only ...,"Abstract-The case is reported of a success-
ful Foley catheter extraction of two superim-
posed coins from the esophagus of an &year-
old girl. The presence of the second coin was
suspected only on review of the lateral cervical
radiograph. In a previous report, failure to ini-
tially diagnose the presence of an additional coin
resulted in an endoscopic failure to clear the
esophagus. The technical aspects of Foley ex-
traction are reviewed along with the controver-
sy surrounding the procedure. Series totaling
294 cases document a cumulative success rate
of 85% without significant complications. The
technique, when performed by airway experts,
is concluded to be a viable alternative to endo-
scopic removal. Lateral films, fluoroscopic ex-
traction, and barium studies in select cases are
recommended as safeguards against missing non-
obvious foreign bodies of the esophagus.",True,3.0,,,,,,,True,3.0
30,1986,"Johnston, J.",Jfw Johnston,Journal Of Psychoactive Drugs,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Google Scholar,10.1080/02791072.1986.10471393,https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,The Narcotics We Indulge In. Part Ii,"In A Previous Number We Treated Of Tobacco And The Hop, The Two Narcotics Of The Most General And Acknowledged Use Among Our British Population. But There Are Many Others In ...",Abstract not available,True,2.0,True,2.0,,,,,True,2.0
31,1988,"Kozarek, R.",Ra Kozarek,The Esophagus. Philadelphia: Wb Saunders,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",Google Scholar,,,Esophageal Foreign Bodies And Food Impaction,,Abstract not available,True,1.0,,,,,,,True,1.0
34,1989,"Cristol, M.","Mk Mountford, Re Cristol",Food,"MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Google Scholar,,https://www.jstor.org/stable/26659397,The Enteral Formula Market In The United States,The Role Of Nutrition In The Maintenance Of Optimal Health Has Recognized For Centuries. An Understanding Of The Unique Nutritiona Quirements For Certain Medical Conditions And Diseases...,"The role of nutrition in the maintenance of optimal health has been recognized for centuries. An understanding of the unique nutritional requirements for certain medical conditions and diseases, however, has occurred primarily in the last twenty-five years. This knowledge has contributed to the development of a wide array of commercial enteral formulas. Health professionals increasingly utilize these products for nutrition support of malnourished patients.",True,2.0,,,,,,,True,2.0
35,1989,"Friedman, E.","Friedman, E. M.",Pediatric Clinics Of North America,,PubMed,10.1016/s0031-3955(16)36796-7,,Caustic Ingestions And Foreign Bodies In The Aerodigestive Tract Of Children,"Caustic Ingestions, Both Accidental And Intentional, Continue To Cause Significant Morbidity And Mortality. This Article Recommends The Best Methods Of  Managing Caustic Ingestion And The Related Problems Of Foreign Bodies In The  Digestive Tracts Of Small Children, And Also Stresses The Need For Prevention As  The Best Defense.",,True,7.0,,,,,,,True,7.0
36,1989,"Garlick, D.","D Dayan, A Buchner, J Garlick",Journal Of Endodontics,"D Dayan, A Buchner, J Garlick - Journal of endodontics, 1989 - jendodon.com",Google Scholar,10.1016/S0099-2399(89)80237-7,https://www.jendodon.com/article/s0099-2399(89)80237-7/abstract,Touton-Like Giant Cells In Periapical Granulomas,"Two Types Of Multinucleated Giant Cells Were Observed In Periapical Granulomas—Th Foreign Body Type And The Touton Type. In The Touton Type, The Nuclei Were Near The Center Of The Cell, ...","Two types of multinucleated giant cells were observed in periapical granulomasth foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, surrounded by foamy cytoplasm. Both types of giant cells reacted positively to lysozyme, _1-antitrypsin and _1-antichymotrypsin, indicating their histiocytic origin.",True,2.0,,,,,,,True,2.0
37,1991,"Brusis, T.","Brusis, T.; Luckhaupt, H.",Laryngo- Rhino- Otologie,,PubMed,10.1055/s-2007-997999,,History Of Esophagoscopy,"Since The Middle Of The 19Th Century Very Many Experts Have Endeavoured To Develop The Oesophagoscopy Following Two Different Principles Of Oesophagus  Examination. Some Tried To Transfer The Technique Of Indirect Laryngoscopy On The  Oesophagus By Using A Larynx Speculum. In Order To Achieve An Insight Into The  Oesophagus They Separated Its Closed Upper End By Means Of Special Retracting  Instruments. Various Instruments Were Developed For This Purpose (By Voltolini,  Semeleder, Stoerk, Bevan, Waldenburg, Mackenzie) Which However Not Proved To Be  Effective. Mostly Angled Or Jointed Tubes Came Into Use Which Were Stretched  After Insertion. More Successful Were Those Applying Simple Straight Tubes.  Except For Stoerk It Was Kussmaul Who Had A Sword-Swallower Swallow A Tube  Instead Of A Sword. Today Flexible Fiberglass Endoscopes Are Used As Well As  Rigid Tubes.",,True,5.0,,,,,,,True,5.0
42,1994,"Scharman, E.","Scharman, E. J.; Lembersky, R.; Krenzelok, E. P.",American Journal Of Emergency Medicine,,PubMed,10.1016/0735-6757(94)90144-9,,Efficiency Of Whole Bowel Irrigation With And Without Metoclopramide Pretreatment,"Whole Bowel Irrigation (Wbi) With A Polyethylene Glycol Electrolyte Lavage Solution (Peg-Els) Is A Gastrointestinal (Gi) Decontamination Procedure Used  After Selected Ingestions Of Toxic Substances. The Purpose Of This Study Was To  Evaluate The Ability Of Wbi, With And Without Metoclopramide Pretreatment, To  Clear The Gi Tract Of Foreign Bodies Using Previously Established Wbi End Points,  Ie, The Presence Of A Clear Effluent Or The Administration Of 2 L/H Peg-Els For 5  Hours. Eleven Healthy, Adult, Male Volunteers Participated In This Controlled,  Two-Phase, Blinded, Crossover Study. Ten Fluorescent Coffee Beans Were Ingested  After An Overnight Fast Followed 1 Hour Later By 10 Mg Of Metoclopramide Syrup Or  An Equivalent Volume Of Placebo; 30 Minutes Later, Wbi With Peg-Els Was Begun At  2 L/H. All Volunteers Received 10 L Of Peg-Els During A 5-Hour Period. No  Statistically Significant Difference (P > .05) Was Found Between The Two  Pretreatments. For The Metoclopramide Group, The Mean Number Of Beans Passed Was  Equal To 3.8 (+/- 2.5 Standard Deviation [Sd]; 1 To 8 R); The Mean Number At  Clear Effluent Was Equal To 2.3. For The Placebo Group, The Mean Number Of Beans  Passed Was Equal To 3.5 (+/- 1.9 Sd; 2 To 7 R), And The Mean Number At Clear  Effluent Was Equal To 2.3. In Conclusion, The Presence Of A Clear Effluent Or The  Administration Of 10 L Of Peg-Els Are Not Valid Markers For The Termination Of  Wbi If Complete Elimination Of A Foreign Body Is Required. Pretreatment With 10  Mg Of Oral Metoclopramide Does Not Enhance The Efficiency Of Wbi.",,True,8.0,,,,,,,True,8.0
43,1995,"Mäurer..., J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer...",Abdominal ...,"J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer... - Abdominal ..., 1995 - Springer",Google Scholar,10.1007/BF00203366,https://link.springer.com/article/10.1007/bf00203366,Drug Smuggling By Ingested Cocaine-Filled Packages: Conventional X-Ray And Ultrasound,Purpose To Evaluate The Imaging Characteristics And The Diagnostic Value Of Both Abdominal Ultrasound And Conventional Abdominal X-Ray In Identifying Ingested Drug Packages In “...,To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in body packers.,True,7.0,,,,,,,True,7.0
44,1996,"Sekouba, B.",B Sekouba,,B Sekouba - 1996 - 34.250.91.188,Google Scholar,,http://34.250.91.188:8080/xmlui/handle/123456789/209,Studies On The Cellular And Humoral Immune Responses Of The Tropical Bont Tick Amblyomma Varibgatum And The Brown Ear Tick Rhipicephalus Appendiculatus Against ...,"Amblyomma Variegatum And Rhipicephalus Appendiculatus Are Pests Of Domestic And To A Certain Extend Wild Animals. While Feeding They Transmit Important Diseases, Among Which ...","Amblyomma variegatum and Rhipicephalus appendiculatus are pests of domestic and to a certain extend wild animals. While feeding they transmit important diseases, among which are cowdriosis and East coast fever. It is generally known that pathogens after being ingested with the blood by the tick, move through the gut and reach the salivary gland where they are injected in a host with the saliva of the tick during feeding. Hardly anything is known on tick immune system. The goal of this work was to study the immune system of both A. variegatum and R. appendiculatus. Five types of haemocytes were found in both tick species. They were plasmatocytes, granulocytes, spherular cells, prohaemocytes and oenocytoids. There was no significant difference between total haemocyte count in adults and nymphs of A. variegatum and adults of R. appendiculatus. However total haemocyte count in infected ticks were significantly (P<0.05 ) higher than non-infected ones. Differential haemocyte count in non-infected showed a significant predominance of spherules and granular cells. The same trend was observed in ticks infected with bacteria. Tick haemocytes reacted to the presence of foreign bodies like bacteria, fungi and parasitoids by forming nodules or granulomma. All the ticks injected with Metarhizium anisopliae and Beauveria bassiana died within 5 to 10 days. None of the infected engorged females layed eggs. None of the engorged nymphs molted. Encapsulation was demonstrated using araldite as implant. Lysozyme activity was induced by injecting bacteria. Bacillus thuringiensis was observed to have induced more lysozyme activity than other bacteria. The tick parasitoid Ixodiphagus hookeri laid eggs in all the stages of both A. variegatum and R. appendiculatus but completed its development in the nymph of A. variegatum despite the cellular and humoral reactions of the host. The parasitoid goes through 3 larval stages, pupates, molt and emerges generally through one hole after 4 to 6 weeks post-infestation, leaving a dried empty cuticle.",True,4.0,,,,,,,True,4.0
45,1996,"Rider, G.","Rider, G.; Wilson, C. L.",Risk Analysis : An Official Publication Of The Society For Risk Analysis,,PubMed,10.1111/j.1539-6924.1996.tb01466.x,,"Small Parts Aspiration, Ingestion, And Choking In Small Children: Findings Of The Small Parts Research Project","Obtaining Information On Current Child Injury Trends And Their Associated Issues Is An Important Factor In Developing Products That Meet Or Surpass Acceptable Toy  Safety Boundaries. Understanding These Boundaries Helps Determine Safe Product  Design Characteristics That Reduce The Risk Of Product-Related Injury. Inchcape  Testing Services Developed A Small Parts Aspiration, Ingestion, And Choking  Hazards Research Project, Independent Of An Ongoing Consumer Product Safety  Commission (Cpsc) Project. The Project'S Purpose Was To Determine, Independent Of  Cpsc, Whether A More Stringent Small Parts Regulatory Standard Was Necessary And,  If So, To Ensure That The Standard Was Determined Objectively. This Article  Reports On The Project'S Findings Relating To Critical Characteristics (Size,  Shape, And Consistency) Relative To The Victim'S Age, Of Objects Responsible For  Child Choking Injuries And Fatalities.",,True,5.0,,,,,,,True,5.0
47,1996,"Loughlin, M.","Ma Lefton-Greif, Gm Loughlin",Seminars In Speech And ...,"MA Lefton-Greif, GM Loughlin - Seminars in Speech and ..., 1996 - thieme-connect.com",Google Scholar,10.1055/s-2008-1064106,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2008-1064106,Specialized Studies In Pediatric Dysphagia,The Evaluation And Management Of The Pediatric Patient With A Feeding And Swallowing Disorder May Require The Use Of Specialized Studies To Evaluate Specific Aspects Of Swallowing ...,"The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing function; to judge the consequences of the swallowing dysfunction; and to assess factors that may be contributing to swallowing dysfunction. Instrumental assessment of swallowing function may include upper gastrointestinal studies, videofluoroscopy or videofluoroscopic swallow studies, ultrasonography, radionuctide imaging, fiberoptic endoscopy of swallowing, and cervical auscultation. Procedures that assess the consequences and/or identify factors contributing to swallowing dysfunction may include pulse oximetry, chest x-rays, laryngoscopy and/or bronchoscopy, and pulmonary function tests. The use of such specialized procedures to evaluate children with dysphagia is the focus of this article.",True,2.0,,,,,,,True,2.0
48,1996,"Armstrong, M.",M Armstrong,The Journal Of Aesthetics And Art Criticism,"M Armstrong - The Journal of Aesthetics and Art Criticism, 1996 - JSTOR",Google Scholar,,https://www.jstor.org/stable/431624,""" The Effects Of Blackness"": Gender, Race, And The Sublime In Aesthetic Theories Of Burke And Kant","Stereotypes, However Inaccurate, Are One Form Of Representation. Like Fictions, They Are Created To Serve As Substitutions, Standing In For What Is Real. They Are There Not To Tell It Like It Is ...",Abstract not available,True,2.0,,,,,,,True,2.0
49,1996,"Leder, S.","Leder, S. B.",Head & Neck,,PubMed,10.1002/(sici)1097-0347(199603/04)18:2<138::aid-hed5>3.0.co;2-2,,Gag Reflex And Dysphagia,"Background: The Gag Reflex Is A Protective Response That Prevents Foreign Objects Or Noxious Material From Entering The Pharynx, Larynx, Or Trachea; It Is Not  Elicited During A Normal Swallow. Although No Data Have Been Reported To Support  A Relationship Between The Gag Reflex And Dysphagia, The Gag Reflex Is  Nevertheless Routinely Assessed During The Bedside Dysphagia Evaluation. The  Purpose Of The Present Study Was To Investigate Whether Absence Of A Gag Reflex  Is A Predictor Of Dysphagia. Method: Fourteen Consecutive Adult Subjects Referred  For A Bedside Dysphagia Evaluation Because They Were Considered To Be At  Increased Risk For Aspiration, Specifically Due To Absence Of A Gag Reflex, Were  Investigated. In Addition, The Gag Reflex Was Assessed In 69 Normal Adult  Volunteers. Results: Although All Subjects Were Referred For Bedside Dysphagia  Evaluations Specifically Because They Had No Gag Reflex, 86% (12/14) Were  Nevertheless Able To Eat At Least A Puree Diet. In Addition, 86% (12/14) Of  Subjects With No Gag Reflex Had Normal Velar Movement, Reinforcing The  Physiologic Differences Between Velar Functioning During Phonation And The Gag  Reflex. The Gag Reflex, Traditionally Considered Part Of The Bedside Dysphagia  Evaluation, Was Absent In 13% (9/69) Of Nondysphagic Subjects, Raising Further  Doubts Regarding Its Clinical Relevancy. Conclusion: The Absence Of A Gag Reflex  Does Not Appear To Be A Predictor Of Dysphagia.",,True,2.0,,,,,,,True,2.0
