Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1993,"Towbin, R.","RD Kaye, RG Grifka, R Towbin","RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Radiologic Clinics of North America,Intervention in the thorax in children,"The techniques and tools of interventional radiology have had a significant effect on the management of adult patients. The 1970s and 1980s have been a period of active development, …",https://www.sciencedirect.com/science/article/pii/S0033838922026148,Google Scholar,,,
1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-asphyxiating tracheobronchial foreign bodies in adults,,,Google Scholar,,,
1996,"Darrow…, P.","PS Lemberg, DH Darrow…","PS Lemberg, DH Darrow… - Annals of Otology …, 1996 - journals.sagepub.com",Annals of Otology …,Aerodigestive tract foreign bodies in the older child and adolescent,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances …",https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Google Scholar,,,
1997,"Coren…, B.","BF Gilchrist, EP Valerie, M Nguyen, C Coren…","BF Gilchrist, EP Valerie, M Nguyen, C Coren… - Journal of pediatric …, 1997 - Elsevier",Journal of pediatric …,"Pearls and perils in the management of prolonged, peculiar, penetrating esophageal foreign bodies in children",Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks …,https://www.sciencedirect.com/science/article/pii/S0022346897905546,Google Scholar,,,
1997,"Ozanne-Smith, A.","AE Altmann, J Ozanne-Smith","AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Injury Prevention,Non-fatal asphyxiation and foreign body ingestion in children 0-14 years.,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify …",https://injuryprevention.bmj.com/content/3/3/176.short,Google Scholar,,,
1998,"Mahadevan…, N.","NHA Kasim, BJJ Abdullah, J Mahadevan…","NHA Kasim, BJJ Abdullah, J Mahadevan… - Annals of Dentistry …, 1998 - mojes.um.edu.my",Annals of Dentistry …,The radiopacity of dental prostheses (fixed and removable) on plain radiographs-an experimental study,The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the …,https://mojes.um.edu.my/index.php/adum/article/view/7078,Google Scholar,,,
1998,"Messner, A.",AH Messner,"AH Messner - Clinical pediatrics, 1998 - journals.sagepub.com",Clinical pediatrics,Pitfalls in the diagnosis of aerodigestive tract foreign bodies,"In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can …",https://journals.sagepub.com/doi/abs/10.1177/000992289803700605,Google Scholar,,,
1998,"Snyder…, S.","SE Morrow, SW Bickler, AP Kennedy, CL Snyder…","SE Morrow, SW Bickler, AP Kennedy, CL Snyder… - Journal of pediatric …, 1998 - Elsevier",Journal of pediatric …,Balloon extraction of esophageal foreign bodies in children,"Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a …",https://www.sciencedirect.com/science/article/pii/S0022346898904444,Google Scholar,,,
2000,"Pappas…, E.","EG Chekan, TN Pappas…","EG Chekan, TN Pappas… - Surgery: Basic Science …, 2000 - books.google.com",Surgery: Basic Science …,General principles,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first …",https://books.google.com/books?hl=en&lr=&id=vHWr9U09CWIC&oi=fnd&pg=PA429&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22))%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22surg*%22+OR+%22endoscop*%22+OR+%22EGD%22+OR+%22OGD%22+OR+%22Esophagogastroduodenoscopy%22+OR+%22Oesophagogastroduodenoscopy%22+OR+%22manag*%22)%22%0A++++++++++++++++++++++++&ots=now0zbquSL&sig=5g4GzpvpHQz_Ec5UNRL-KZ8DiJg,Google Scholar,,,
2008,"Ćeranić, P.","P Skok, A Ocepek, D Ćeranić","P Skok, A Ocepek, D Ćeranić - Acta medico-biotechnica, 2008 - journals.um.si",Acta medico-biotechnica,The role of emergency endoscopy in upper git foreign body extraction,Purpose: Foreign bodies in the upper gastrointestinal tract (GIT) rarely cause urgent problems in gastroenterology. The purpose of the study was to assess the percentage of patients in …,https://journals.um.si/index.php/amb/article/view/1293,Google Scholar,,,
2008,"Ahmad, E.",ET Ahmad,"ET Ahmad - Laser Therapy, 2008 - jstage.jst.go.jp",Laser Therapy,Hyperbaric oxygen therapy versus laser therapy on the acceleration of venous leg ulcer healing,"Venous leg ulcers represent a significant medical, economic and social problem (2). Many ulcers are chronic, having demonstrated poor responses to the conventional therapeutic …",https://www.jstage.jst.go.jp/article/islsm/17/2/17_2_75/_article/-char/ja/,Google Scholar,,,
2011,"Hsu…, M.","MD Catherine Lewis, HK Hsu…","MD Catherine Lewis, HK Hsu… - Journal of the National …, 2011 - search.proquest.com",Journal of the National …,Aspiration of foreign bodies in adults with personality disorders: impact on diagnosis and recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological …",https://search.proquest.com/openview/815872143532a70e197510bb0f49cc93/1?pq-origsite=gscholar&cbl=36588,Google Scholar,,,
2011,"King, J.","JKS Woo, WWK King","JKS Woo, WWK King - Fundamentals of Surgical Practice, 2011 - books.google.com",Fundamentals of Surgical Practice,Fundamentals of head and neck surgery,"Preauricular sinus is a common congenital condition; there is no requirement for treatment unless it becomes infected (Figure 18.1). It may then present with pain, swelling and discharge…",https://books.google.com/books?hl=en&lr=&id=3wcyaNS3z_gC&oi=fnd&pg=PA306&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22))%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22surg*%22+OR+%22endoscop*%22+OR+%22EGD%22+OR+%22OGD%22+OR+%22Esophagogastroduodenoscopy%22+OR+%22Oesophagogastroduodenoscopy%22+OR+%22manag*%22)%22%0A++++++++++++++++++++++++&ots=0Vc06e5Fe1&sig=MG5bQAIbCBPeNuns1wLlHJ5PTYc,Google Scholar,,,
2012,"Kurtz…, N.","N Sonpal, R Taunk, A Randhawa, L Kurtz…","N Sonpal, R Taunk, A Randhawa, L Kurtz… - Official journal of the …, 2012 - journals.lww.com",Official journal of the …,Diagnosis of Retroperitoneal Metastatic Malignant Melanoma by EUS-Guided FNA: A Rare Finding Diagnosed by a Novel Modality: 1386,… On esophagogastroduodenoscopy (EGD) neoplastic lesions were noted to infiltrate the dudodenal bulb. Endoscopic ultrasound-guided fine-needle aspiration demonstrated a …,https://journals.lww.com/ajg/fulltext/2012/10001/diagnosis_of_retroperitoneal_metastatic_malignant.1386.aspx,Google Scholar,,,
2012,"Pappas…, E.","EG Chekan, TN Pappas…","EG Chekan, TN Pappas… - Surgery: Basic Science …, 2012 - books.google.com",Surgery: Basic Science …,of Minimally,"The historical development of laparoscopy can be traced to early in the nineteenth century when, using reflected candlelight, Bozzini, an Italian physician living in Germany, first …",https://books.google.com/books?hl=en&lr=&id=p9MGCAAAQBAJ&oi=fnd&pg=PA429&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22))%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22surg*%22+OR+%22endoscop*%22+OR+%22EGD%22+OR+%22OGD%22+OR+%22Esophagogastroduodenoscopy%22+OR+%22Oesophagogastroduodenoscopy%22+OR+%22manag*%22)%22%0A++++++++++++++++++++++++&ots=A-CAy8DcA_&sig=8hfmJVY15SptlfW6ggvYBDOCWDw,Google Scholar,,,
2012,"Marwat, K.","K Iqbal, MI Khan, M Marwat","K Iqbal, MI Khan, M Marwat - Gomal Journal of Medical Sciences, 2012 - gjms.com.pk",Gomal Journal of Medical Sciences,Esophageal Foreign Bodies: Experience with Rigid Esophagoscopy at Dera Ismail Khan,Background: Foreign body ingestion is a common presenting problem in our society. Rigid esophagoscopy for extraction of ingested foreign bodies is the recommended treatment. The …,http://gjms.com.pk/index.php/journal/article/view/257,Google Scholar,,,
2014,"Jeon…, S.","S Park, DS Choi, HS Shin, JM Cho, KN Jeon…","S Park, DS Choi, HS Shin, JM Cho, KN Jeon… - Acta …, 2014 - journals.sagepub.com",Acta …,Fish bone foreign bodies in the pharynx and upper esophagus: evaluation with 64-slice MDCT,Background Fish bone (FB) is one of the common causes of foreign body impaction in the pharynx and esophagus. Purpose To investigate the efficacy of 64-slice multidetector …,https://journals.sagepub.com/doi/abs/10.1177/0284185113493087,Google Scholar,,,
2015,"Adaobi, O.","OO Lucky, EO Adaobi","OO Lucky, EO Adaobi - Online Journal of Otolaryngology, 2015 - Citeseer",Online Journal of Otolaryngology,DISK BATTERIES IN THE ESOPHAGUS OF NIGERIAN CHILDREN: CASE SERIES,Foreign body (FB) ingestion is common in clinical practice especially in children. Its impaction in the esophagus constitutes an important cause of morbidity and mortality in our …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2924fc8ebe5922646a52365ac8b4e9b15ee95e3f,Google Scholar,,,
2016,"Konturek, A.","A Gałczyński, E Cieplińska, A Konturek","A Gałczyński, E Cieplińska, A Konturek - Polish Journal of Surgery, 2016 - ppch.pl",Polish Journal of Surgery,Habitual intentional foreign body ingestion–A literature review,Foreign body ingestion is a commonly reported clinical problem. There are no data to evaluate the prevalence of this phenomenon in Poland. In the United States the annual death rate …,https://ppch.pl/api/files/view/69263.pdf,Google Scholar,,,
2016,"Cieplińska…, A.","A Gałczyński, E Cieplińska…","A Gałczyński, E Cieplińska… - Polski Przegląd …, 2016 - Index Copernicus",Polski Przegląd …,Nawykowe celowe połykanie ciał obcych–przegląd piśmiennictwa,,,Google Scholar,,,
2016,"Saad, M.",MN Saad,"MN Saad - IEEE pulse, 2016 - ieeexplore.ieee.org",IEEE pulse,Could Al-Zahrawi Be Considered a Biomedical Engineer?,"In one?s career, it is good to look back at the predecessors in the field. Biomedical engineering history is full of hidden treasures, one of whom is Al-Zahrawi, a Muslim surgeon who had …",https://ieeexplore.ieee.org/abstract/document/7432067/,Google Scholar,,,
2016,"Chen…, J.","JH Lin, J Fang, D Wang, HZ Chen…","JH Lin, J Fang, D Wang, HZ Chen… - Journal of Digestive …, 2016 - search.ebscohost.com",Journal of Digestive …,"Chinese expert consensus on the endoscopic management of foreign bodies in the upper gastrointestinal tract (2015, Shanghai, China).",The article focuses on a study regarding management of foreign bodies present in the upper gastrointestinal tract (UGIT). Topics discussed include significant number of cases of …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17512972&asa=N&AN=114712546&h=vdcuEdqUEruXYux9LwnSC1ZqaxU8EJIF2X45TBQzPVLmAyWDep4m%2BbZDHteG7lGu4%2Fvtf5u8Miicx276n7YlzQ%3D%3D&crl=c,Google Scholar,,,
2016,"Yeom…, C.","CW Lim, MH Park, HJ Do, JS Yeom…","CW Lim, MH Park, HJ Do, JS Yeom… - Pediatric …, 2016 - synapse.koreamed.org",Pediatric …,"Factors associated with removal of impactted fishbone in children, suspected ingestion",Purpose The management and clinical course in pediatric patients who had ingested foreign body were investigated retrospectively to evaluate the frequency and factor associated with …,https://synapse.koreamed.org/articles/1080895,Google Scholar,,,
2017,"Saleem, N.","NH Senussi, N Saleem","NH Senussi, N Saleem - Baylor University Medical Center …, 2017 - Taylor & Francis",Baylor University Medical Center …,Ingestion of computer circuit boards causing esophageal impaction and small bowel obstruction,"Foreign body ingestion is common in patients with psychiatric diagnoses. Ingested objects can become impacted in the upper and lower gastrointestinal tract, causing serious …",https://www.tandfonline.com/doi/abs/10.1080/08998280.2017.11929541,Google Scholar,,,
2017,"Höllwarth, M.",ME Höllwarth,"ME Höllwarth - Newborn Surgery, 2017 - taylorfrancis.com",Newborn Surgery,Gastroesophageal reflux in the neonate and small infant,"Gastroesophageal reflux (GER) is a term that describes the backflow of gastric content into the esophagus, sometimes reaching even the mouth. It is a common phenomenon and …",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315113968-50/gastroesophageal-reflux-neonate-small-infant-michael-h%C3%B6llwarth,Google Scholar,,,
2017,"Kennedy…, G.","GJ Housler, S Cross, V Marcel, DO Kennedy…","GJ Housler, S Cross, V Marcel, DO Kennedy… - J Spec Oper Med, 2017",J Spec Oper Med,A prospective randomized controlled two-arm clinical study evaluating the efficacy of a bioelectric dressing system for blister management in US army …,,,Google Scholar,,,
2019,"Koçak…, S.","S Sarı, H Bektaş, K Ulusan, B Koçak…","S Sarı, H Bektaş, K Ulusan, B Koçak… - Turkish Journal of …, 2019 - jag.journalagent.com",Turkish Journal of …,A 4-year single-center experience in the management of esophageal perforation.,BACKGROUND: Esophageal perforation (EP) is a lethal surgical emergency that needs to be diagnosed and treated immediately. Diagnosis and treatment options for EP are limited …,https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=tur&un=UTD-79484,Google Scholar,,,
2020,"Chandrakantan…, O.","OA Olutoye, A Chandrakantan…","OA Olutoye, A Chandrakantan… - Gregory's Pediatric …, 2020 - Wiley Online Library",Gregory's Pediatric …,Otolaryngological and Dental Surgery,This chapter discusses the perioperative anesthetic considerations and management of the most common conditions requiring surgical intervention in the head and neck region. Many …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119371533.ch34,Google Scholar,,,
2020,"Hanif, U.","U Khan, S Hanif","U Khan, S Hanif - Pakistan Journal of Surgery, 2020 - search.ebscohost.com",Pakistan Journal of Surgery,Accidental ingestion of tooth pick leading to bowel perforation-A case report.,"Bowel perforation is a surgical emergency. There are many causes of bowel perforation commonest being infection, infarction, radiation enteritis, crohn's disease and carcinomas. …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=02588552&AN=149490166&h=UAOoFI%2F7wY%2BFEynEVet91eJrvw4wkxr0YoqKunoEl6p%2Bud5Yo1ia6PhHQUiqG%2BRkLRnmFsO%2FRgdW%2BZiq0U%2FLAQ%3D%3D&crl=c,Google Scholar,,,
2021,"Gomez‐Esquivel, R.",RD Gomez‐Esquivel,"RD Gomez‐Esquivel - The Esophagus, 2021 - Wiley Online Library",The Esophagus,Foreign Bodies,Foreign body ingestion is a frequent occurrence. The use of two X‐ray views will help localize the foreign body to the esophagus. Food boluses represent the most common type of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119599692.ch41,Google Scholar,,,
2021,"Gershman…, R.","R Furlano, G Gershman…","R Furlano, G Gershman… - Practical Pediatric …, 2021 - Wiley Online Library",Practical Pediatric …,Foreign body ingestion,Endoscopy is a common and useful means of accessing the upper gastrointestinal tract for the purpose of retrieving ingested foreign bodies in children. The majority of foreign body …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119423492.ch29,Google Scholar,,,
2022,"Figueiredo, J.",JP Figueiredo,"JP Figueiredo - Canine and Feline Anesthesia and Co‐Existing …, 2022 - Wiley Online Library",Canine and Feline Anesthesia and Co‐Existing …,Gastrointestinal disease,"The digestive system provides the body with a continual supply of water, electrolytes, and nutrients. Food must be appropriately taken, ingested, and moved through the gastrointestinal (…",https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119604075.ch5,Google Scholar,,,
2022,"Colby, A.","AV Farooq, KA Colby","AV Farooq, KA Colby - Albert and Jakobiec's Principles and Practice of …, 2022 - Springer",Albert and Jakobiec's Principles and Practice of …,Emergency and Initial Management of Anterior Segment and Adnexal Trauma,This chapter provides an overview of the emergency and initial management of anterior segment and adnexal trauma. This includes guidance for initial evaluation and triage by …,https://link.springer.com/content/pdf/10.1007/978-3-030-42634-7_321.pdf,Google Scholar,,,
2022,"CALABRESE, D.","D BRISSETTE, RO CALABRESE","D BRISSETTE, RO CALABRESE - Clinical Medicine for …, 2022 - books.google.com",Clinical Medicine for …,THROAT DISORDERS,"Otolaryngology disorders are very common in primary care, accounting for 20% to 50% of presenting complaints to a primary care clinician. Management of common conditions of the …",https://books.google.com/books?hl=en&lr=&id=GMw6EAAAQBAJ&oi=fnd&pg=PA83&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22))%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22surg*%22+OR+%22endoscop*%22+OR+%22EGD%22+OR+%22OGD%22+OR+%22Esophagogastroduodenoscopy%22+OR+%22Oesophagogastroduodenoscopy%22+OR+%22manag*%22)%22%0A++++++++++++++++++++++++&ots=y6rRhjMSlN&sig=Ok0r_9a7fo-yt7c-KYzmMWgdzI0,Google Scholar,,,
2022,"Olaoye…, P.","PO Adeoye, OA Afolabi, HK Omokanye, I Olaoye…","PO Adeoye, OA Afolabi, HK Omokanye, I Olaoye… - African Health …, 2022 - ajol.info",African Health …,Foreign bodies in the aerodigestive tract: time for comprehensive preventive measures,Background: Foreign body (FB) in the aerodigestive tract presents more commonly in children and remains a surgical emergency with potential for fatal complications. Objectives: To …,https://www.ajol.info/index.php/ahs/article/view/228987,Google Scholar,,,
2023,"Karahan…, Ö.","Ö Güneş, A Atay, F Karahan…","Ö Güneş, A Atay, F Karahan… - Laparoscopic …, 2023 - search.ebscohost.com",Laparoscopic …,Gastrointestinal system foreign bodies.,"Introduction: While foreign bodies in the gastrointestinal tract are observed more frequently and accidentally in the childhood age group, they may occur to attract attention, sexual …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=25870610&AN=163485270&h=XWzTR2NpovQX%2Fajc2YST7VpRT16rJiAcZSavkMwPCPiZ24FEWX8FKDItmDbmfyKQjbMzZm14xam%2BoaxwGVX%2FQw%3D%3D&crl=c,Google Scholar,,,
2024,"Buils, F.",FJ Buils,"FJ Buils - A Case Report. Clin Surg, 2024 - clinicofsurgery.org",A Case Report. Clin Surg,Repeated Behavior of Deliberate Foreign Body Ingestion in a Patient with Psychiatric Disorder,"1. Abstract Foreign body ingestion [FBI] is rare in adults as compared with children [1]. Foreign body ingestion is accidental in 95 percent of cases and is usually related to food [fish, …",https://clinicofsurgery.org/wp-content/uploads/2024/08/COS-v10-1793.pdf,Google Scholar,,,
,"Bağ, Ö.","Ö Güneş, YM Bağ","Ö Güneş, YM Bağ - Age - jag.journalagent.com",,LESS,"Introduction: While foreign bodies in the gastrointestinal tract are observed more frequently and accidentally in the childhood age group, they may occur to attract attention, sexual …",https://jag.journalagent.com/z4/download_fulltext.asp?pdir=less&plng=eng&un=LESS-45403,Google Scholar,,,
,"Temel…, H.","HY Teke, M Can, T Renklidağ, N Temel…","HY Teke, M Can, T Renklidağ, N Temel… - p-ISSN 1300-865X e … - pdfs.semanticscholar.org",,Baby Death due to Esophagotracheal Fistula Created by An Alkaline Battery: A,There is a limited number of case presentations in literature related to esophagus burns and complications as a result of swallowing an alkaline battery. The main purpose of this case …,https://pdfs.semanticscholar.org/f469/fae31b6e729ea75d77e70608d5fd57e2a5b6.pdf,Google Scholar,,,
,"Ningi, S.","S Aliyu, AB Ningi","S Aliyu, AB Ningi - IJCMCR. 2022; 23 (2) - ijclinmedcasereports.com",,Trans-Vesical Migration of a Swallowed Needle with Intra-Urethral Impaction in a 12-Year-Old Boy,"Foreign body, of whatever type, when ingested, either accidentally or intentionally, elicits strong reaction from care-givers, especially; if the victim is a child. Infants and children are the …",https://ijclinmedcasereports.com/pdf/IJCMCR-CR-00558.pdf,Google Scholar,,,
,"Rodrigues…, P.","P Magalhães-Costa, L Carvalho, JP Rodrigues…","P Magalhães-Costa, L Carvalho, JP Rodrigues… - 2015 - cyberleninka.org",,Endoscopic Management of Foreign Bodies in the Upper Gastrointestinal Tract: An Evidence-Based,Gastrointestinal foreign bodies (FB) are comprised of food bolus impaction and intentionally or unintentionally ingested or inserted true FB. Food bolus impaction and true FB ingestion …,https://cyberleninka.org/article/n/1318165.pdf,Google Scholar,,,
,"Brenner, R.","RR Simon, BE Brenner","RR Simon, BE Brenner - 2002 - books.google.com",,Emergency procedures and techniques,"This thoroughly updated Fourth Edition is a must for residents and practitioners who need a practical, clear, and readable guide to emergency medicine procedures. The book provides …",https://books.google.com/books?hl=en&lr=&id=dUkQOSA77-8C&oi=fnd&pg=PR19&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22))%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22surg*%22+OR+%22endoscop*%22+OR+%22EGD%22+OR+%22OGD%22+OR+%22Esophagogastroduodenoscopy%22+OR+%22Oesophagogastroduodenoscopy%22+OR+%22manag*%22)%22%0A++++++++++++++++++++++++&ots=tjng_-YW5Q&sig=rMrZKchYkApoj-IL7YomKkqHeUI,Google Scholar,,,
