Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1964,"Barnes, W.",WA Barnes,"WA Barnes - The American Journal of Surgery, 1964 - Elsevier",The American Journal of Surgery,Management of foreign bodies in the alimentary tract,"In considering the probIems of foreign bodies in the aIimentary tract, as with many other disorders affecting man, prophyIaxis shouId be given priority. ProphyIaxis shouId be taught and …",https://www.sciencedirect.com/science/article/pii/0002961064902089,Google Scholar,,,
1965,"GROSSLING, C.","CW LILLEHEI, RC BONNABEAU JR, S GROSSLING","CW LILLEHEI, RC BONNABEAU JR, S GROSSLING - Circulation, 1965 - Am Heart Assoc",Circulation,Removal of iatrogenic foreign bodies within cardiac chambers and great vessels,This paper reports six cases (age range 8 months to 69 years) of iatrogenic foreign bodies lodged within the heart or great vessels. Four cases were produced during left heart …,https://www.ahajournals.org/doi/abs/10.1161/01.cir.32.5.782,Google Scholar,,,
1971,"Trokel, D.","DJ Coleman, SL Trokel","DJ Coleman, SL Trokel - American Journal of Ophthalmology, 1971 - Elsevier",American Journal of Ophthalmology,A protocol for B-scan and radiographic foreign body localization,"Radiographic methods, standard for preoperative localization of intraocular metallic foreign bodies, depend on certain assumptions as to all ocular dimensions. They are most …",https://www.sciencedirect.com/science/article/pii/0002939471910981,Google Scholar,,,
1971,"Einhorn, F.","FM Steichen, A Fellini, AH Einhorn","FM Steichen, A Fellini, AH Einhorn - Pediatrics, 1971 - publications.aap.org",Pediatrics,Acute foreign body laryngo-tracheal obstruction: A cause for sudden and unexpected death in children,Sudden unexpected death in three well children beyond crib age due to laryngo-tracheal obstruction by a foreign body is described. The clinical picture is characterized by a paucity of …,https://publications.aap.org/pediatrics/article-abstract/48/2/281/46647,Google Scholar,,,
1972,"Benfield, J.","JL Ban, FM Hirose, JR Benfield","JL Ban, FM Hirose, JR Benfield - Annals of surgery, 1972 - ncbi.nlm.nih.gov",Annals of surgery,Foreign bodies of the biliary tract: report of two patients and a review of the literature.,"Roentogenologic investigations were remarkably un-rewarding. Plain films of the abdomen revealed foreign bodies near the hilum in 15 patients. 5'712"" 3'526'28'29 3 1-33, 40, 45.47, …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1355282/,Google Scholar,,,
1976,"Carter, D.","DA Saphir, GR Carter","DA Saphir, GR Carter - Journal of clinical microbiology, 1976 - Am Soc Microbiol",Journal of clinical microbiology,Gingival flora of the dog with special reference to bacteria associated with bites,Gingival scrapings from dogs were examined to determine their aerobic bacterial flora. Of particular interest was the frequent recovery of three unclassified groups of aerobic gram-…,https://journals.asm.org/doi/abs/10.1128/jcm.3.3.344-349.1976,Google Scholar,,,
1977,"Ting…, K.","KP Ravikrishnan, YM Ting…","KP Ravikrishnan, YM Ting… - American Review of …, 1977 - atsjournals.org",American Review of …,Endobronchial foreign body demonstrated by xerotomography,A case of pneumonia secondary to aspirated foreign body is presented. Xerotomography was useful in detecting abnormalities of the tracheobronchial tree and in demonstrating …,https://www.atsjournals.org/doi/pdf/10.1164/arrd.1977.115.6.1057,Google Scholar,,,
1977,"Olga…, A.","A Aytañ, Y Yurdakul, C Ikizler, R Olga…","A Aytañ, Y Yurdakul, C Ikizler, R Olga… - The Journal of thoracic and …, 1977 - Elsevier",The Journal of thoracic and …,Inhalation of foreign bodies in children: Report of 500 cases,"Inhalation of foreign bodies is a major cause of accidental death during childhood. Aspiration of foreign bodies is common in children aged 1 to 3 years, especially in boys. A past history …",https://www.sciencedirect.com/science/article/pii/S0022522319414281,Google Scholar,,,
1979,"Syfert, D.",DF Syfert,"DF Syfert - JAMA, 1979 - jamanetwork.com",JAMA,Nasal foreign bodies and bromidrosis,"To the Editor.— The article by Katz et al (241:1496, 1979) on body odor as a presenting symptom of nasal bodies in children may be misleading. As a medical student I was asked to …",https://jamanetwork.com/journals/jama/article-abstract/366378,Google Scholar,,,
1979,"Weinreb…, M.","M Belkin, R Zeimer, A Weinreb…","M Belkin, R Zeimer, A Weinreb… - Archives of …, 1979 - jamanetwork.com",Archives of …,Management of nonmagnetic intraocular foreign bodies: a new approach with the aid of diagnostic x-ray spectrometry,"• A new approach is suggested for the management of nonmagnetic intraocular foreign bodies. This approach is based on diagnostic x-ray spectrometry, which is capable of detecting …",https://jamanetwork.com/journals/jamaophthalmology/article-abstract/632843,Google Scholar,,,
1979,"Feinstein, R.",RJ Feinstein,"RJ Feinstein - JAMA, 1979 - jamanetwork.com",JAMA,Nasal foreign bodies and bromidrosis,"To the Editor.— In 1965, Golding 1 reported a case of an 18-month-old boy who had an obnoxious body odor. The child was well in all other respects, except for the odor and a slight …",https://jamanetwork.com/journals/jama/article-abstract/366380,Google Scholar,,,
1981,"Jr, L.","LH Harrison Jr, JA Kisslo Jr, DC Sabiston Jr","LH Harrison Jr, JA Kisslo Jr, DC Sabiston Jr - The Journal of Thoracic and …, 1981 - Elsevier",The Journal of Thoracic and …,Extraction of intramyocardial foreign body utilizing operative ultrasonography,"Technical advances in cardiac surgery have made accessible previously remote regions within the heart and great vessels; nevertheless, limitations in the ability to locate …",https://www.sciencedirect.com/science/article/pii/S0022522319393225,Google Scholar,,,
1983,"Schut…, R.","RA Weisman, PJ Savino, L Schut…","RA Weisman, PJ Savino, L Schut… - Archives of …, 1983 - jamanetwork.com",Archives of …,Computed tomography in penetrating wounds of the orbit with retained foreign bodies,"• Penetrating wounds of the orbit can have serious immediate and delayed effects on the eye and the CNS. Infection, vessel erosion, or interference with ocular function necessitates …",https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/610595,Google Scholar,,,
1983,"Rodgers, F.","F Moazam, JL Talbert, BM Rodgers","F Moazam, JL Talbert, BM Rodgers - Clinical Pediatrics, 1983 - journals.sagepub.com",Clinical Pediatrics,Foreign bodies in the pediatric tracheobronchial tree,"Foreign Bodies in the Pediatric Tracheobronchial Tree Page 1 148 CLINICAL EXPERIENCES Foreign Bodies in the Pediatric Tracheobronchial Tree Farhat Moazam, MD, James L. …",https://journals.sagepub.com/doi/abs/10.1177/000992288302200210,Google Scholar,,,
1983,"Neblett, J.","JA O'Neill Jr, GW Holcomb Jr, WW Neblett","JA O'Neill Jr, GW Holcomb Jr, WW Neblett - Journal of Pediatric Surgery, 1983 - Elsevier",Journal of Pediatric Surgery,Management of tracheobronchial and esophageal foreign bodies in childhood,"During the last 9 years 72 patients with esophageal (EFB) and 68 with tracheobronchial foreign bodies (TBFB) have been managed by a variety of methods. Cotton, et al previously …",https://www.sciencedirect.com/science/article/pii/S0022346883802048,Google Scholar,,,
1984,"BHIMANI…, M.",MD SULTAN BHIMANI…,"MD SULTAN BHIMANI… - AMERICAN JOURNAL …, 1984 - academia.edu",AMERICAN JOURNAL …,"orbital contents, and the responses of the globes to these foreign bodies.",We used computed tomography to detect and localize foreign bodies in two unusual cases of penetrating injury to the eyes. In one Page 1 COMPUTED TOMOGRAPHY IN …,https://www.academia.edu/download/89959247/0002-9394_2884_2990376-320220820-1-19rylph.pdf,Google Scholar,,,
1985,"Adams, J.","JP Shock, D Adams","JP Shock, D Adams - American journal of ophthalmology, 1985 - Elsevier",American journal of ophthalmology,Long-term visual acuity results after penetrating and perforating ocular injuries,"Of 33 consecutive patients (30 males and three females, ranging in age from 5 to 48 years) with penetrating ocular injuries, 13 had retained metallic intraocular foreign bodies. The …",https://www.sciencedirect.com/science/article/pii/0002939485906282,Google Scholar,,,
1986,"Schernberg, B.","BD Fornage, FL Schernberg","BD Fornage, FL Schernberg - American Journal of …, 1986 - Am Roentgen Ray Soc",American Journal of …,Sonographic diagnosis of foreign bodies of the distal extremities,"Materials and Methods Sonography was performed by using high-resolution linear-array real-time scanners (Toshiba SAL-22A, SAL-30A, Aloka 210 DX) and 5-MHz, and more recently …",https://ajronline.org/doi/pdf/10.2214/ajr.147.3.567,Google Scholar,,,
1986,"Bendig, D.",DW Bendig,"DW Bendig - American journal of diseases of children, 1986 - jamanetwork.com",American journal of diseases of children,Removal of blunt esophageal foreign bodies by flexible endoscopy without general anesthesia,• Twenty-three pediatric patients with blunt esophageal foreign bodies underwent flexible endoscopic removal without general anesthesia. No object was in place longer than 14 days. …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/513016,Google Scholar,,,
1986,"Wetli, R.","R Beerman, D Nunez, CV Wetli","R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Gastrointestinal radiology,Radiographic evaluation of the cocaine smuggler,A retrospective analysis of the plain abdominal films of 53 “ body packer ” drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and …,https://link.springer.com/article/10.1007/BF02035108,Google Scholar,,,
1986,"Melichar, R.","R Uflacker, S Lima, AC Melichar","R Uflacker, S Lima, AC Melichar - Radiology, 1986 - pubs.rsna.org",Radiology,Intravascular foreign bodies: percutaneous retrieval.,Percutaneous retrieval of an intravascular foreign body was performed in 20 patients. There were 14 through-the-needle intravenous catheter fragments. In four patients the embolized …,https://pubs.rsna.org/doi/abs/10.1148/radiology.160.3.3737911,Google Scholar,,,
1987,"Lindahl, S.",S Lindahl,"S Lindahl - Acta Radiologica, 1987 - Taylor & Francis",Acta Radiologica,Computed tomography of intraorbital foreign bodies,Computed tomography (CT) has been shown to be an important diagnostic tool in the evaluation of intraorbital foreign bodies (IofB). In order to further analyze the capacity and …,https://www.tandfonline.com/doi/abs/10.3109/02841858709177341,Google Scholar,,,
1988,"Appel, F.","F Grabenwoeger, W Dock, F Pinterits, W Appel","F Grabenwoeger, W Dock, F Pinterits, W Appel - Radiology, 1988 - pubs.rsna.org",Radiology,Fixed intravascular foreign bodies: a new method for removal.,"Percutaneous removal of centrally located, embolized, intravascular foreign bodies is essential. A technique was developed to shift fixed foreign bodies into a position where they may …",https://pubs.rsna.org/doi/abs/10.1148/radiology.167.2.3282265,Google Scholar,,,
1988,"Kozarek, R.",RA Kozarek,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",The Esophagus. Philadelphia: WB Saunders,Esophageal foreign bodies and food impaction,,,Google Scholar,,,
1988,"Lobick…, T.","TD LoBue, TA Deutsch, J Lobick…","TD LoBue, TA Deutsch, J Lobick… - Archives of …, 1988 - jamanetwork.com",Archives of …,Detection and localization of nonmetallic intraocular foreign bodies by magnetic resonance imaging,• Computed tomography (CT) is useful in detecting metallic intraocular foreign bodies. Magnetic resonance imaging (MRI) is a technique that might allow the detection and localization …,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/637127,Google Scholar,,,
1988,"Webb, W.",WA Webb,"WA Webb - Gastroenterology, 1988 - Elsevier",Gastroenterology,Management of foreign bodies of the upper gastrointestinal tract,"In the United States, 1500 people die yearly of ingested foreign bodies of the upper gastrointestinal tract. The flexible esophagogastroduodenoscope has had a major impact on the …",https://www.sciencedirect.com/science/article/pii/0016508588906324,Google Scholar,,,
1988,"Feehs…, W.","WF Mcguirt, KD Holmes, R Feehs…","WF Mcguirt, KD Holmes, R Feehs… - The …, 1988 - Wiley Online Library",The …,Tracheobronchial foreign bodies,A retrospective review of 88 cases of foreign body aspiration was undertaken. The patients ranged in age from 5 months to 73 years; the peak incidences of foreign body aspiration …,https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-198806000-00007,Google Scholar,,,
1988,"Lattin…, W.","WB Wilson, JN Dreisbach, DE Lattin…","WB Wilson, JN Dreisbach, DE Lattin… - American journal of …, 1988 - Elsevier",American journal of …,Magnetic resonance imaging of nonmetallic orbital foreign bodies,We studied a cadaver head model in which we inserted three orbital foreign bodies. We chose these foreign bodies because of their similarity to substances found in orbital trauma. …,https://www.sciencedirect.com/science/article/pii/0002939488900530,Google Scholar,,,
1988,"Holroyd, H.",HJ Holroyd,"HJ Holroyd - Pediatrics in Review, 1988 - publications.aap.org",Pediatrics in Review,Foreign body aspiration: potential cause of coughing and wheezing,As many as half of routine ill-patient visits in pediatrics practice involve respiratory symptoms. It is not surprising that we see so much coughing and wheezing when we consider that …,https://publications.aap.org/pediatricsinreview/article-abstract/10/2/59/75523,Google Scholar,,,
1988,"Lincoff…, S.","S Williams, DH Char, WP Dillon, N Lincoff…","S Williams, DH Char, WP Dillon, N Lincoff… - American journal of …, 1988 - ajo.com",American journal of …,Ferrous intraocular foreign bodies and magnetic resonance imaging,"We placed various sized ferrous foreign bodies in and around the eye, sclera, and orbit in a rabbit model before performing magnetic resonance imaging studies. All foreign bodies …",https://www.ajo.com/article/0002-9394(88)90305-4/pdf,Google Scholar,,,
1989,"Yoshimura, K.","K Onishi, T Nakajima, Y Yoshimura","K Onishi, T Nakajima, Y Yoshimura - Journal of Cranio-Maxillofacial …, 1989 - Elsevier",Journal of Cranio-Maxillofacial …,Treatment and therapeutic devices in the management of frontal sinus fractures: our experience with 42 cases,"Forty-two cases with frontal sinus fractures were treated at the Department of Plastic and Reconstructive Surgery of Fujita-Gakuen Health University Hospital between December, 1978 …",https://www.sciencedirect.com/science/article/pii/S1010518289800460,Google Scholar,,,
1989,"Kero…, H.","H Puhakka, E Svedström, P Kero…","H Puhakka, E Svedström, P Kero… - American Journal of …, 1989 - jamanetwork.com",American Journal of …,Tracheobronchial foreign bodies: a persistent problem in pediatric patients,• Extraction of a foreign body from the tracheobronchial tree was accomplished for 83 children. The mean age was 1 year 9 months for the 27 girls and 3 years 1 month for the 56 boys; …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514588,Google Scholar,,,
1989,"WANG, R.","RAĨS LAN, CH Lee, YC Chiang, W WANG","RAĨS LAN, CH Lee, YC Chiang, W WANG - Am Rev Respir Dis, 1989 - atsjournals.org",Am Rev Respir Dis,"Use of Fiberoptic Bronchoscopy to Retrieve Bronchial Foreign Bodies in Adults1, 2",The flexible flberoptic bronchoscope was used to treat bronchial foreign bodies In 33 adults. The length of time that the foreign body was In the lung was less than 1 wk in six (acute …,https://www.atsjournals.org/doi/pdf/10.1164/ajrccm/140.6.1734,Google Scholar,,,
1989,"Fertel…, V.","VL Giyanani, D Fertel…","VL Giyanani, D Fertel… - Journal of clinical …, 1989 - Wiley Online Library",Journal of clinical …,Use of ultrasound for localization of a foreign object in the heart,"DISCUSSION Treatment of retained cardiac foreign bodies has been an issue of controversy in the past. In a series reviewed by Decker in 1939, the mortality of patients undergoing …",https://onlinelibrary.wiley.com/doi/abs/10.1002/jcu.1870170513,Google Scholar,,,
1989,"Wenzel, D.","DA Nafziger, RP Wenzel","DA Nafziger, RP Wenzel - Infectious Disease Clinics of North America, 1989 - Elsevier",Infectious Disease Clinics of North America,"Coagulase-negative staphylococci: epidemiology, evaluation, and therapy",More sophisticated speciation schemes and the application of a variety of epidemiology typing systems have helped to clarify the in-creasing frequency and changing patterns of …,https://www.sciencedirect.com/science/article/pii/S0891552020303147,Google Scholar,,,
1989,"Boulden, E.","ET Fernandes, RS Hollabaugh, T Boulden","ET Fernandes, RS Hollabaugh, T Boulden - Journal of pediatric surgery, 1989 - Elsevier",Journal of pediatric surgery,Mediastinal mass and radiolucent esophageal foreign body,"The diagnosis of radiolucent esophageal foreign bodies can be difficult, particularly in patients with predominant respiratory symptoms. The consequences of the impaction of a foreign …",https://www.sciencedirect.com/science/article/pii/S0022346889800946,Google Scholar,,,
1990,"Hawkins, D.",DB Hawkins,"DB Hawkins - Annals of Otology, Rhinology & Laryngology, 1990 - journals.sagepub.com",Annals of Otology,Removal of blunt foreign bodies from the esophagus,"Historically, removal of blunt foreign bodies from the esophagus by esophagoscopy under general anesthesia has been considered to be relatively safe and effective. In recent years, …",https://journals.sagepub.com/doi/abs/10.1177/000348949009901201,Google Scholar,,,
1990,"Jaffe, E.","EK Paulson, RB Jaffe","EK Paulson, RB Jaffe - Radiology, 1990 - pubs.rsna.org",Radiology,Metallic foreign bodies in the stomach: fluoroscopic removal with a magnetic orogastric tube.,Thirty-six patients with 37 cases of metallic foreign bodies in the stomach were referred for fluoroscopic removal with a magnet coupled to an orogastric tube. Removal was successful in …,https://pubs.rsna.org/doi/abs/10.1148/radiology.174.1.2294547,Google Scholar,,,
1991,"Mejía, H.","H Camacho, LF Mejía","H Camacho, LF Mejía - Ophthalmologica, 1991 - karger.com",Ophthalmologica,Extraction of intraocular foreign bodies by pars plana vitrectomy: a retrospective study,We reviewed the medical records of 44 patients who underwent a pars plana vitrectomy to remove posttraumatic intraocular foreign bodies. The group most affected was that of males …,https://karger.com/oph/article-abstract/202/4/173/253599,Google Scholar,,,
1991,"Stenquist, L.","L Tibbling, M Stenquist","L Tibbling, M Stenquist - Dysphagia, 1991 - Springer",Dysphagia,Foreign bodies in the esophagus. A study of causative factors,Two hundred and twenty-nine patients were studied in an attempt to determine the main causative factors behind their having a residual foreign body in the esophagus. Strictures were …,https://link.springer.com/article/10.1007/BF02493532,Google Scholar,,,
1991,"Lee, K.",KC Lee,"KC Lee - Pathology, 1991 - Elsevier",Pathology,The histopathology of panniculitis,The clinical appearance of lesions of panniculitis is often non-specific and their histopathological diagnosis difficult because of the stereo-typed response of the subcutaneous fat to a …,https://www.sciencedirect.com/science/article/pii/S0031302516361761,Google Scholar,,,
1991,"Ferguson…, D.","DW Lambe, KP Ferguson…","DW Lambe, KP Ferguson… - … Research (1976-2007 …, 1991 - journals.lww.com",… Research (1976-2007 …,Foreign-body-associated experimental osteomyelitis induced with Bacteroides fragilis and Staphylococcus epidermidis in rabbits.,"Bacteroides fragilis and Staphylococcus epidermidis alone and in combination, were used to induce foreign-body-associated osteomyelitis in a rabbit model. In this model, a catheter, …",https://journals.lww.com/corr/abstract/1991/05000/foreign_body_associated_experimental_osteomyelitis.40.aspx,Google Scholar,,,
1991,"Thorner, R.","RW Byard, AJ Bourne, PS Thorner","RW Byard, AJ Bourne, PS Thorner - Pathology, 1991 - Elsevier",Pathology,Malacoplakia of the lung: A review,Malacoplakia of the lung is a very rare condition that occurs in immunocompromised patients who present with non-specific pulmonary infiltrates. A 6-year-old girl who presented to HSC …,https://www.sciencedirect.com/science/article/pii/S0031302516361773,Google Scholar,,,
1992,"Wagner…, P.","P Stephenson, M Wagner…","P Stephenson, M Wagner… - … Journal of Public …, 1992 - ajph.aphapublications.org",… Journal of Public …,Commentary: the public health consequences of restricted induced abortion--lessons from Romania.,"The question of whether abortion should be legal is currently being decided in many countries. Although much of the discussion has focused on ethical issues, the public health …",https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.82.10.1328,Google Scholar,,,
1992,"Schechter…, L.","LJ Shemen, LS Schechter…","LJ Shemen, LS Schechter… - Archives of Otolaryngology …, 1992 - jamanetwork.com",Archives of Otolaryngology …,Needle-wire localization of an infratemporal fossa foreign body using computed tomography,• We report a case involving the localization and surgical removal of a traumatically introduced foreign body deep within the infratemporal fossa. Needle-hookwire placement with …,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/621234,Google Scholar,,,
1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate medicine,"Gastrointestinal foreign bodies: When to remove them, when to watch and wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest …",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,,,
1992,"Cartwright, C.","CC Nelson, MJ Cartwright","CC Nelson, MJ Cartwright - Current Opinion in Ophthalmology, 1992 - journals.lww.com",Current Opinion in Ophthalmology,Orbital diagnosis and imaging,"A myriad of imaging modalities now exists to aid in the diagnosis of orbital disease. Most of the recent advances in orbital diagnosis are based on refinements of established techniques, …",https://journals.lww.com/co-ophthalmology/abstract/1992/10000/Orbital_diagnosis_and_imaging.10.aspx,Google Scholar,,,
1992,"Yeston, E.","ED Dobkin, NS Yeston","ED Dobkin, NS Yeston - Chest, 1992 - researchgate.net",Chest,Use of pH paper to reflect gastric pH,"A27-year-old man was diagnosed as having stage IV non-Hodgkin's lymphoma, on the basis of a cervical lymph node i@ iopsyat a local ile) Spital in July 1989. During the initial course …",https://www.researchgate.net/profile/Neil-Yeston-2/publication/21614906_Use_of_pH_Paper_to_Reflect_Gastric_pH/links/54116cb40cf2b4da1bec441b/Use-of-pH-Paper-to-Reflect-Gastric-pH.pdf,Google Scholar,,,
1992,"Am, S.",S Am,"S Am - Eur J Cardio-thorac Surg, 1992 - academic.oup.com",Eur J Cardio-thorac Surg,Foreign body perforation of the normal oesophagus,"Over an 11-year period, 12 patients with foreign body perforation of apreviously normal oesophagus were treated in our institution. The foreignbodies were most commonly bones (10 …",https://academic.oup.com/ejcts/article-abstract/6/10/565/511722,Google Scholar,,,
1992,"Walter, J.","JS Reilly, MA Walter","JS Reilly, MA Walter - Annals of Otology, Rhinology & …, 1992 - journals.sagepub.com",Annals of Otology,Consumer product aspiration and ingestion in children: analysis of emergency room reports to the National Electronic Injury Surveillance System,Inadvertent aspiration or ingestion of products in children is a reportable problem. The National Electronic Injury Surveillance System (NEISS) monitors 119 hospitals for product (…,https://journals.sagepub.com/doi/abs/10.1177/000348949210100904,Google Scholar,,,
1993,"Wyatt, M.","MF Williams, DW Eisele, SH Wyatt","MF Williams, DW Eisele, SH Wyatt - The Laryngoscope, 1993 - Wiley Online Library",The Laryngoscope,Neck needle foreign bodies in intravenous drug abusers,Intravenous drug abusers often resort to deep cervical venous access if peripheral access is problematic. Deep cervical injection can occasionally result in needle breakage and needle …,https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-199301000-00011,Google Scholar,,,
1993,"Tsuchida, L.","LTCMF Lyons II, LTCAM Tsuchida","LTCMF Lyons II, LTCAM Tsuchida - Medical Clinics of North America, 1993 - Elsevier",Medical Clinics of North America,Foreign bodies of the gastrointestinal tract,"Although data are sparse concerning the incidence of the insertion of foreign bodies into the gastrointestinal (Cl) tract, either orally or per rectum, various authors indicate that from 1500 …",https://www.sciencedirect.com/science/article/pii/S0025712516302127,Google Scholar,,,
1993,"Mieler…, J.","JT Thompson, LM Parver, CL Enger, WF Mieler…","JT Thompson, LM Parver, CL Enger, WF Mieler… - Ophthalmology, 1993 - Elsevier",Ophthalmology,Infectious endophthalmitis after penetrating injuries with retained intraocular foreign bodies,Purpose: To determine the risk factors and prognostic indicators of infectious endophthalmitis in eyes with penetrating injury and retained intraocular foreign body. Methods: From the …,https://www.sciencedirect.com/science/article/pii/S0161642093314545,Google Scholar,,,
