Study_ID,Publication_Year,Author,Title,Publication_Title,Database,Exclude,Reason_ID,Paediatric,Intention_Reported,Deliberate_Intention,Unclear,Accessed,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Comments
565,2005,"Liu, Steven; de Blacam, Catherine; Lim, Foong-Yen; Mattei, Peter; Mamula, Petar",Magnetic foreign body ingestions leading to duodenocolonic fistula,Journal of Pediatric Gastroenterology and Nutrition,Bibliography Search,False,,True,True,True,True,2025-04-17 11:39:00,Case Report,7M with severe developmental delay and pica,Children’s Hospital of Philadelphia,"Philadelphia, Pennsylvania, USA",10.1097/01.mpg.0000177703.99786.c9,Y,N,
566,2005,"Nagaraj, Hirikati S.; Sunil, Indira",Multiple foreign body ingestion and ileal perforation,Pediatric Surgery International,Bibliography Search,False,,True,True,True,True,2025-04-17 11:47:00,Case Report,"10M intentionally ingested button battery, magnet and metal ball.",University of Louisville,"Louisville, Kentucky, USA",10.1007/s00383-005-1422-9,Y,N,
567,2005,"Ohno, Yasuharu; Yoneda, Akira; Enjoji, Akihito; Furui, Junichiro; Kanematsu, Takashi",Gastroduodenal fistula caused by ingested magnets,Gastrointestinal Endoscopy,Bibliography Search,False,,True,True,True,True,2025-04-17 11:56:00,Case Report,7-year-old autistic girl with parorexia,Surgical Centre,"Nagasaki, Japan",10.1016/s0016-5107(04)02387-9,Y,N,
568,2005,"Wildhaber, Barbara E.; Le Coultre, Claude; Genin, Bernard","Ingestion of magnets: innocent in solitude, harmful in groups",Journal of Pediatric Surgery,Bibliography Search,False,,True,True,True,True,2025-04-17 12:03:00,Case Report,9F intentional ingestion,University of Children’s Hospital,"Geneva, Switzerland",10.1016/j.jpedsurg.2005.06.022,Y,N,
570,2006,"Goh, Brian K.P.; Chow, Pierce K.H.; Quah, Hak-Mien; Ong, Hock-Soo; Eu, Kong-Weng; Ooi, London L.P.J.; Wong, Wai-Keong",Perforation of the Gastrointestinal Tract Secondary to Ingestion of Foreign Bodies,World Journal of Surgery,Bibliography Search,False,,True,True,True,True,2025-04-14 16:11:57,Retrospective Case Series,62 consecutive patients who underwent surgery for an ingested FB perforation of the GI tract between 1990 and 2005,Singapore General Hospital,Singapore,10.1007/s00268-005-0490-2,Y,N,
572,2006,"Lee, Min-Ro; Hwang, Yong; Kim, Jong-Hun",A case of colohepatic penetration by a swallowed toothbrush,World Journal of Gastroenterology,Bibliography Search,False,,True,False,True,True,2024-04-17 14:03:00,Case Report,31M swallowed toothbrush,Surgical Centre,South Korea,10.3748/wjg.v12.i15.2464,Y,N,
574,2006,"Ma, Cheng-Jen; Jan, Chang-Ming; Hsieh, Jan-Sing; Huang, Yu-Sheng; Wang, Wen-Ming; Chan, Hon-Man; Wang, Jaw-Yuan",Successful localization and surgical removal of ingested sewing needles under mini C-arm fluoroscopy: a case report,The Kaohsiung Journal of Medical Sciences,Bibliography Search,False,,True,False,True,True,2025-04-17 14:18:00,Case Report,67M schizophrenia ingested needles,"Department of Surgery, Kaohsiung Medical University Hospital",Taiwan,10.1016/S1607-551X(09)70338-9,Y,N,
576,2006,"Vijaysadan, Viju; Perez, Maria; Kuo, David","Revisiting Swallowed Troubles: Intestinal Complications Caused by Two Magnets‚ÄîA Case Report, Review and Proposed Revision to the Algorithm for the Management of Foreign Body Ingestion",The Journal of the American Board of Family Medicine,Bibliography Search,False,,True,True,True,True,2025-04-14 14:44:45,Case Report,11M swallowed two large magnets,"University of Medicine and Dentistry of New Jersey, Combined Medicine-Pediatrics, Atlantic Health System","Summit, New Jersey, USA",10.3122/jabfm.19.5.511,Y,N,
578,2007,"Cox, David; Donohue, Peter; Costa, Vanda",A swallowed toothbrush causing perforation 2 years after ingestion,"British Journal of Hospital Medicine (London, England: 2005)",Bibliography Search,False,,False,True,True,True,2025-04-17 17:01:00,Case Report,33F presented to ED 2 years after ingestion,Charing Cross Hospital,"London, UK",10.12968/hmed.2007.68.10.27330,Y,N,
579,2007,"Fenton, Stephen J.; Torgenson, Marcus; Holsti, Maija; Black, Richard E.",Magnetic attraction leading to a small bowel obstruction in a child,Pediatric Surgery International,Bibliography Search,False,,True,True,True,True,2025-04-17 17:08:00,Case Report,6M ingested two magnets,Primary Children’s Medical Center,"Salt Lake City, Utah, USA",10.1007/s00383-007-1997-4,Y,N,
581,2007,"Lee, Tae Hee; Kang, Young Woo; Kim, Hyun Jin; Kim, Sun Moon; Im, Euyi Heog; Huh, Kyu Chan; Choi, Young Woo; Kim, Tae Hyo; Lee, Ok Jae; Jung, Un Tae",Foreign Objects in Korean Prisoners,The Korean Journal of Internal Medicine,Bibliography Search,False,,False,True,True,True,2025-04-14 16:40:23,Retrospective Case Series,33 Korean prisoners (52 episodes) who were admitted due to ingestion of foreign objects between January 1998 and June 2004,Konyang University Hospital and Gyeongsang National University Hospital,Korea,10.3904/kjim.2007.22.4.275,Y,N,
582,2008,"Bhattacharjee, Prosanta; Singh, Om",Repeated ingestion of sharp-pointed metallic objects,Archives of Iranian medicine,Bibliography Search,False,,False,True,True,True,2025-04-17 17:40:00,Case Report,"A 20-year-old woman was brought to the surgical outpatient department with the strange history of irresistible desire to ingest metallic substances, mainly nails and pins","Department of Surgery, I.P.G.M.E. & R/ S.S.K.M. Hospital","Kolkata, India",,Y,N,
583,2008,"Bisharat, May; O'Donnell, Mark E.; Gibson, Niall; Mitchell, Michael; Refsum, Sigi R.; Carey, P. Declan; Spence, Roy Aj; Lee, Jack",Foreign body ingestion in prisoners - the Belfast experience,The Ulster Medical Journal,Bibliography Search,False,,False,True,True,True,2025-04-17 17:50:00,Retrospective Case Series,A nine-year retrospective review of all prisoners presenting with foreign body ingestion to the Belfast City Hospital Surgical Unit,Belfast City Hospital,"Belfast, Northern Ireland, UK",,Y,N,
586,2008,"Kariholu, P. L.; Jakareddy, R.; Hemanthkumar, M.; Paramesh, K. N.; Pavankumar, N. P.",Pica - a case of acuphagia or hyalophagia?,The Indian Journal of Surgery,Bibliography Search,False,,False,True,True,True,2025-04-18 09:40:00,Case Report,20 year old female intentionally ingested 55 pieces of glass bangle. Subsequently diagnosed with depressive disorder and possible pica.,Surgical Case Report,India,10.1007/s12262-008-0040-x,Y,N,
588,2008,"Rodr√≠guez-Hermosa, J. I.; Codina-Cazador, A.; Sirvent, J. M.; Mart√≠n, A.; Giron√®s, J.; Garsot, E.",Surgically treated perforations of the gastrointestinal tract caused by ingested foreign bodies,Colorectal Disease: The Official Journal of the Association of Coloproctology of Great Britain and Ireland,Bibliography Search,False,,False,True,True,True,2025-04-18 09:51:00,Prospective Observational,"Between January 1995 and December 2006 all patients requiring surgery for intestinal perforation after FB ingestion were prospectively recorded. Excluded: FB extracted endoscopically, FB ingestion without perforation, oesophageal perforation and cases of perforation in which no FB was identified.","Departments of Colorectal and General Surgery and †Intensive Care Unit, Hospital Universitari de Girona Dr Josep Trueta","Griona, Spain",10.1111/j.1463-1318.2007.01401.x,Y,N,
589,2008,"Schierling, Steven; Snyder, Samuel K.; Custer, Monford; Pohl, John F.; Easley, David",Magnet ingestion,The Journal of Pediatrics,Bibliography Search,False,,True,True,True,True,2025-04-18 10:18:00,Case Report,6M intentional ingestion of magnets,"Section of Pediatric Gastroenterology, Department of Pediatrics, Scott and White Hospital, Texas A&M Health Science Center","Temple, Texas, USA",10.1016/j.jpeds.2007.08.042,Y,N,
592,2009,"Prieto-Aldape, Manuel Rodrigo; Almaguer-Garc√≠a, Francisco Issac; Figueroa-Jim√©nez, Sandra Edith; Fern√°ndez-D√≠az, Oscar; Mora-Huerta, Jos√© Antonio; Gonz√°lez-Ojeda, Alejandro",Relapsing massive metal bezoar: a case report,Journal of Medical Case Reports,Bibliography Search,False,,False,True,True,True,2025-04-18 13:28:25,Case Report,37M with schizophrenia presented with gastric obstruction and giant metal bezoar.,"Department of General Surgery of the ""Hospital Civil de Guadalajara Fray Antonio Alcalde"", University of Guadalajara.","Guadalajara, Jalisco, Mexico",10.1186/1752-1947-3-56,Y,N,
593,2009,"Saeed, Atif; Johal, Navroop S.; Aslam, Adil; Brain, Jeffrey; Fitzgerald, Ray J.",Attraction problems following magnet ingestion,Annals of the Royal College of Surgeons of England,Bibliography Search,False,,True,True,True,True,2025-04-18 11:17:00,Retrospective Case Series,"3, 3.5 and 11 year olds with ingestion of magnets.","Department ofPaediatric Surgery, Addenbrooke’s Hospital","Cambridge, UK",10.1308/147870809X450566,Y,N,
594,2009,"Yasin, Malik Amjad; Malik, Ghazala Nasreen; Malik, Sikandar Ali; Rathore, Farooq Azam",Metal in stomach: a rare cause of gastric bezoar,BMJ Case Reports,Bibliography Search,False,,False,True,True,True,2025-04-18 11:22:00,Case Report,22M paramedic with delusions metal bezoar after multple object ingestion,"Combined Military Hospital, General Surgery ","Rawalpindi, Punjab, Pakistan",10.1136/bcr.06.2008.0278,Y,N,
597,2010,"Brown, Daniel J.",Small bowel perforation caused by multiple magnet ingestion,The Journal of Emergency Medicine,Bibliography Search,False,,True,True,True,True,2025-04-18 11:36:00,Case Report,11M with ADHD ingestion of multiple magnets,"Department of Emergency Medicine, Brooke Army Medical Center","Fort Sam, Houston, Texas, USA",10.1016/j.jemermed.2008.04.007,Y,N,
598,2010,"Fry, Emily; Counselman, Francis L.",A right scrotal abscess and foreign body ingestion in a schizophrenic patient,The Journal of Emergency Medicine,Bibliography Search,False,,False,True,True,True,2025-04-18 11:50:00,Case Report,38M with schizophrenia ingestion of nails in suicide attempt.,Emergency Department,"Norfolk, Virginia, USA",10.1016/j.jemermed.2007.07.018,Y,N,
602,2010,"te Wildt, Bert T.; Tettenborn, Christian; Schneider, Udo; Ohlmeier, Martin D.; Zedler, Markus; Zakhalev, Roman; Krueger, Martin",Swallowing Foreign Bodies as an Example of Impulse Control Disorder in a Patient With Intellectual Disabilities,Psychiatry (Edgmont),Bibliography Search,False,,False,True,True,True,2025-04-14 13:17:57,Case Report,A41-year -old male patient with intellectual disabilities presented after having swallowed approximately 20 sharp objects,Psychiatric Hospital,"Hannover, Germany",,Y,N,
604,2011,"Siddiqui, Zaka Ur Rab",Metal bezoars causing upper gastrointestinal obstruction in a schizophrenic,APSP journal of case reports,Bibliography Search,False,,True,True,True,True,2025-04-18 12:27:00,Case Report,17M with schizophrenia who ingested multiple metal objects resulting in bezoar.,Jinnah Postgraduate Medical Centre,"Karachi, Pakistan",,Y,N,
610,2012,"Atluri, Dileep; Veluru, Chandra; Chopra, Anish; Mullen, Kevin D.",Recurrent Intentional Foreign Body Ingestion: An Endoscopist's Dilemma,Gastroenterology & Hepatology,Bibliography Search,False,,False,True,True,True,2025-04-18 13:00:00,Retrospective Case Series,2 young adults with personality disorder and recurrent ingestion,"Division of Gastroenterology, Department of Medicine, MetroHealth Medical Center and Case Western Reserve University","Cleveland, Ohio, USA",,Y,N,
617,2013,"Ataya, A.; Alraiyes, A.H.; Alraies, M.C.",Razor blades in the stomach,QJM: An International Journal of Medicine,Bibliography Search,False,,False,True,True,True,2025-04-14 14:41:07,Case Report,29F with schizophrenia deliberately ingested 10 razor blades.,"Department of Medicine, Medicine Institute, Cleveland Clinic Foundation","Cleveland, Ohio, USA",10.1093/qjmed/hcs165,Y,N,
620,2013,"Fine, Sean; Watson, James B.; Habr, Fadlallah","Now You See It, Endo You Don't: Case of the Disappearing Knife",Gastroenterology,Bibliography Search,False,,False,True,True,True,2025-04-18 14:25:36,Case Report,32F with extensive IIFO history. Mediastinal migration of ingested knife,Department of Internal Medicine and 2Department of Gastroenterology‡ Warren Alpert School of Medicine Brown University,"Providence, Rhode Island, USA",,Y,N,
621,2013,"Kumar, Gupta Suresh; Amar, Verma; Ramesh, Bharti; Abbey, R. K.",Bizarre Metal Bezoar: A Case Report,Indian Journal of Surgery,Bibliography Search,False,,False,True,True,True,2025-04-14 13:29:54,Case Report,24M manic depressive male staggered ingestion of multiple long nails over course of one year.,"Department of Surgery, Dr Rajinder Prasad Medical College","Tanda, Himachal Pradesh, India",10.1007/s12262-012-0706-2,Y,N,
622,2013,"Li, Quan-Peng; Ge, Xian-Xiu; Ji, Guo-Zhong; Fan, Zhi-Ning; Zhang, Fa-Ming; Wang, Yun; Miao, Lin",Endoscopic retrieval of 28 foreign bodies in a 100-year-old female after attempted suicide,World Journal of Gastroenterology,Bibliography Search,False,,False,True,True,True,2025-04-18 14:36:00,Case Report,100F ingested 22 coins in suicide attempt due to unbearable pain,"Institute of Digestive Endoscopy and Medical Center for Digestive Diseases, Second Affiliated Hospital of Nanjing Medical University","Nanjing, Jiangsu Province, China",10.3748/wjg.v19.i25.4091,Y,N,
623,2013,"Misra, S.; Jain, V.; Ahmad, F.; Kumar, R.; Kishore, N.",Metallic sewing needle ingestion presenting as acute abdomen,Nigerian Journal of Clinical Practice,Bibliography Search,False,,False,True,True,True,2025-04-18 14:40:00,Case Report,26M with schizophrenia ingested 6 long needles,"epartment of Surgery, C.S.M. Medical University","Lucknow, Uttar Pradesh, India",10.4103/1119-3077.116879,Y,N,
625,2014,"Albeldawi, Mazen; Birgisson, Sigurbjorn",Conservative management of razor blade ingestion,Gastroenterology Report,Bibliography Search,False,,False,True,True,True,2025-04-18 15:09:00,Case Report,30F ingested 10 razor blades wrapped in paper and chewing gum,"Gastroenterology and Hepatology, Cleveland Clinic","Cleveland, Ohio, USA",10.1093/gastro/gou002,Y,N,
626,2014,"Bhasin, Sanjay K.; Kachroo, S. L.; Kumar, Vijay; Kumar, Raj; Chandail, Viajaynt Singh",7‚Äù long knife for 7 years in the duodenum: a rare case report and review of literature,International Surgery Journal,Bibliography Search,False,,False,True,True,True,2025-04-20 08:54:00,Case Report,"32F intentional ingestion of knife in apparently psychosis, in situ 7 years.","Postgraduate Department of Surgery, Government Medical College","Jammu, J&K, India",,Y,N,
637,2015,"Kar, Sujita Kumar; Kamboj, Abhilove; Kumar, Rajesh",Pica and psychosis - clinical attributes and correlations: a case report,Journal of Family Medicine and Primary Care,Bibliography Search,False,,False,True,True,True,2025-04-20 09:27:00,Case Report,22F background schizophrenia with pica,"King George’s Medical University,","Lucknow, Uttar Pradesh, India",10.4103/2249-4863.152277,Y,N,
640,2015,"Kobiela, Jarek; Mittlener, Stanislaw; Gorycki, Tomasz; Lachinski, Andrzej; Adrych, Krystian",Vast collection of foreign bodies in the stomach presenting as acute gastrointestinal bleeding in a patient with schizophrenia,Endoscopy,Bibliography Search,False,,False,True,True,True,2025-04-20 09:38:00,Case Report,24M background of paranoid schizophrenia,"Department of General, Endocrine and Transplant Surgery Medical University of Gdansk","Gdansk, Poland",10.1055/s-0034-1392611,Y,N,
643,2016,"Atayan, Yahya; Cagin, Yasir Furkan; Erdogan, Mehmet Ali; Bilgic, Yƒ±lmaz; Bestas, Remzi; Harputluoglu, Murat; Seckin, Y√ºksel",Lighter Ingestion as an Uncommon Cause of Severe Vomiting in a Schizophrenia Patient,Case Reports in Gastrointestinal Medicine,Bibliography Search,False,,False,True,True,True,2025-04-20 09:46:00,Case Report,"A 21-year-old male patient who had visual hallucinations and behavioral and cognitive disorders presented to the psychiatry clinic and was diagnosed with moderate mental retardation (patients were mismatched to The Wechsler Adult Intelligence Scale, IQ in the 39–49 range) and schizophrenia.","Department of Gastroenterology, G ̈ um  ̈ us  ̧hane State Hospital","G ̈ um  ̈ us  ̧hane, Turkey",10.1155/2016/6301302,Y,N,
644,2016,"August, Auriel; Mueller, Claudia",Early recognition is important when multiple magnets masquerade as a single chain after foreign body ingestion,Journal of Pediatric Surgery Case Reports,Bibliography Search,False,,True,True,True,True,2025-04-20 10:00:00,Case Report,10-year-old male with autism,"Department of Surgery, Dartmouth School of Medicine","Hanover, New Hampshire, USA",10.1016/j.epsc.2016.07.006,Y,N,
646,2016,"Elghali, Mohamed amine; Ghrissi, Rafik; Fadhl, Houssem; Mahjoub, Mohamed; Jarrar, Mohamed Salah; Jedidi, Maher; Letaief, Rached; Hamila, Fehmi",The Management of Voluntary Ingestion of Razor Blades by Inmates,International Surgery,Bibliography Search,False,,False,True,True,True,2025-04-14 14:41:57,Retrospective Chart Review,"descriptive study including all detainees ingesting a razor blade, transferred from the prison to Farhat Hached University Hospital of Sousse, from January 1, 2014 to December 31, 2015",Farhat Hached University Hospital of Sousse,"Sousse, Tunisia",10.9738/INTSURG-D-16-00204.1,Y,N,
647,2016,"Geraci, Girolamo; Sciume', Carmelo; Di Carlo, Giovanni; Picciurro, Antonino; Modica, Giuseppe",Retrospective analysis of management of ingested foreign bodies and food impactions in emergency endoscopic setting in adults,BMC emergency medicine,Bibliography Search,False,,False,True,True,True,2025-04-21 14:43:00,Retrospective Chart Review,"recent history of foreign body ingestion or food bolus impaction were admitted over a 2-year period between December 2012 and December 2014, from the Emergency Room to the Emergency Digestive Endoscopy Service of University Hospital “Paolo Giaccone” in Palermo.",Emergency Digestive Endoscopy Service of University Hospital “Paolo Giaccone”,"Palermo, Italy",10.1186/s12873-016-0104-3,Y,N,
651,2016,"Mazek, Haitham; Sherif, Khaled; Islam, Sameer; Nugent, Kenneth",An Unusual Number of Self-ingested Foreign Bodies,The American Journal of the Medical Sciences,Bibliography Search,False,,False,True,True,True,2025-04-20 10:16:00,Case Report,A 34-year-old male inmate with a history of schizophrenia presented to the emergency department complaining of acute worsening epigastric pain for the preceding 7 days,"Internal Medicine Department, Texas Tech University Health Science Center","Lubbock, Texas, USA",10.1016/j.amjms.2016.05.022,Y,N,
652,2016,"Obinwa, Obinna; Cooper, David; O‚ÄôRiordan, James M.",An ingested mobile phone in the stomach may not be amenable to safe endoscopic removal using current therapeutic devices: A case report,International Journal of Surgery Case Reports,Bibliography Search,False,,False,True,True,True,2025-04-14 13:57:54,Case Report,29M Prisoner ingested mobile phone,"Department of Surgery, The Adelaide and Meath Hospital","Tallaght, Dublin, Ireland",10.1016/j.ijscr.2016.03.043,Y,N,
654,2017,"Ali, Syed Muhammad",Duodenal Perforation by Swallowed Toothbrush: Case Report and Review of Literature,Open Access Journal of Surgery,Bibliography Search,False,,False,True,True,True,2025-04-21 09:00:00,Case Report,21M swallowed toothbrush 1 year ago with suicidal intention,"Department of Surgery, Hamad Medical Corporation","Doha, Qatar",10.19080/OAJS.2017.04.555632,Y,N,
658,2018,"Camacho Dorado, Cristina; S√°nchez Gallego, Alba; Miota de Llama, Jose Ignacio; Gonz√°lez Masi√°, Jose Antonio",Metallic bezoar after suicide attempt,Cirugia Espanola,Bibliography Search,False,,False,True,True,True,2025-04-21 09:26:00,Case Report,"44-year-old male with intellectual disability who, after intentional self-harm by swallowing a large number of metallic objects, went to the emergency department due to lower gastrointestinal bleeding","Cirugı  ́a General, Hospital General Universitario de Albacete","Albacete, Spain",10.1016/j.ciresp.2018.02.015,Y,N,
661,2018,"Emamhadi, Mohammad Ali; Najari, Fares; Hedayatshode, Mohammad Javad; Sharif, Shokoufeh",Sudden Death Following Oral Intake of Metal Objects (Acuphagia): a Case Report,"Emergency (Tehran, Iran)",Bibliography Search,False,,False,True,True,True,2025-04-21 09:39:00,Forensic Case Report,"44-year-old man who was brought to emergency department following severe abdominal pain, but died before admission or receiving any treatments","Department of Forensic Medicine, Shahid Beheshti University of Medical Sciences","Tehran, Iran",,Y,N,
667,2019,,Paper or Plastic? A Foreign Body Ingestion Leading to Small Bowel Obstruction. A Case Report,ARC Journal of Clinical Case Reports,Bibliography Search,False,,False,False,True,True,2025-04-21 09:53:00,Case Report,A 91 year old female with late stage dementia presented to the emergency department with acute onset of abdominal pain and vomiting,,,10.20431/2455-9806.0502002,Y,N,
