Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
1957,"Caughran, H.","HM Broder, JH Caughran","HM Broder, JH Caughran - The American Journal of Surgery, 1957 - Elsevier",The American Journal of Surgery,A practical approach to the management of delayed union and non-union of the long bones,"HE problem of delayed or non-union of the long bones confronted the Orthopedic Surgery Staff at Parks Air Force Base Hospital, California, on fifty occasions during the years 1954 …",https://www.sciencedirect.com/science/article/pii/0002961057905858,Google Scholar,,,
1964,"Barnes, W.",WA Barnes,"WA Barnes - The American Journal of Surgery, 1964 - Elsevier",The American Journal of Surgery,Management of foreign bodies in the alimentary tract,"In considering the probIems of foreign bodies in the aIimentary tract, as with many other disorders affecting man, prophyIaxis shouId be given priority. ProphyIaxis shouId be taught and …",https://www.sciencedirect.com/science/article/pii/0002961064902089,Google Scholar,,,
1967,"Pickering, B.","BW Lassers, D Pickering","BW Lassers, D Pickering - American Heart Journal, 1967 - Elsevier",American Heart Journal,Removal of an iatrogenic foreign body from the aorta by means of a ureteric stone catcher,A case is presented in which the tip of a guide wire that was lost in the left atrium during Brockenbrough transseptal catheterization and subsequently embolized to the descending aorta …,https://www.sciencedirect.com/science/article/pii/0002870367904346,Google Scholar,,,
1967,"Neufeld, Y.","Y Kishon, Y Pauzner, F Dalith, HN Neufeld","Y Kishon, Y Pauzner, F Dalith, HN Neufeld - Thorax, 1967 - thorax.bmj.com",Thorax,Foreign body in the myocardium as a cause of constrictive pericarditis,"An unusual case of constrictive pericarditis, caused by lodging of a needle in the heart wall, is presented and discussed. Attention is focused on the rapid development of the constriction …",https://thorax.bmj.com/content/22/3/238.abstract,Google Scholar,,,
1972,"Benfield, J.","JL Ban, FM Hirose, JR Benfield","JL Ban, FM Hirose, JR Benfield - Annals of surgery, 1972 - ncbi.nlm.nih.gov",Annals of surgery,Foreign bodies of the biliary tract: report of two patients and a review of the literature.,"Roentogenologic investigations were remarkably un-rewarding. Plain films of the abdomen revealed foreign bodies near the hilum in 15 patients. 5'712"" 3'526'28'29 3 1-33, 40, 45.47, …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1355282/,Google Scholar,,,
1975,"Samson, R.","RJ Jones, PC Samson","RJ Jones, PC Samson - The Annals of Thoracic Surgery, 1975 - Elsevier",The Annals of Thoracic Surgery,Esophageal injury,The medicolegal literature contains a number of references to esophageal injury. Certain excerpts dealing with several types of potential actions are extracted: (1) suits to recover …,https://www.sciencedirect.com/science/article/pii/S0003497510640076,Google Scholar,,,
1975,"III, C.",C Jelenko III,"C Jelenko III - Journal of the American College of Emergency …, 1975 - Mosby",Journal of the American College of Emergency …,Childhood cafe coronaries call for careful consideration,,,Google Scholar,,,
1976,"Peirce…, G.","GA Lillington, RA Ruhl, TH Peirce…","GA Lillington, RA Ruhl, TH Peirce… - American Review of …, 1976 - atsjournals.org",American Review of …,Removal of endobronchial foreign body by fiberoptic bronchoscopy,A relatively large foreign body (ham bone) was seen in the left upper lobe bronchus of a 25-year-old woman and was successfully extracted with the use of a standard fiberoptic …,https://www.atsjournals.org/doi/abs/10.1164/arrd.1976.113.3.387,Google Scholar,,,
1976,"Carter, D.","DA Saphir, GR Carter","DA Saphir, GR Carter - Journal of clinical microbiology, 1976 - Am Soc Microbiol",Journal of clinical microbiology,Gingival flora of the dog with special reference to bacteria associated with bites,Gingival scrapings from dogs were examined to determine their aerobic bacterial flora. Of particular interest was the frequent recovery of three unclassified groups of aerobic gram-…,https://journals.asm.org/doi/abs/10.1128/jcm.3.3.344-349.1976,Google Scholar,,,
1979,"Kruter, J.",JS Kruter,"JS Kruter - Issues in Comprehensive Pediatric Nursing, 1979 - Taylor & Francis",Issues in Comprehensive Pediatric Nursing,A comprehensive nursing approach to pediatric facial injuries,"E. Sunburn It is important to remember that often these categories overlap. For example, an injury resulting from a purposeful push is an intended injury. A flame burn to a child who was …",https://www.tandfonline.com/doi/pdf/10.3109/01460867909110999,Google Scholar,,,
1983,"Wood, M.","MM McCarron, JD Wood","MM McCarron, JD Wood - Jama, 1983 - jamanetwork.com",Jama,The cocaine'body packer'syndrome: diagnosis and treatment,"The current recommended treatment for cocaine ""body packers"" is surgical removal of the drug packages to prevent death due to cocaine poisoning. We describe 47 patients treated …",https://jamanetwork.com/journals/jama/article-abstract/388031,Google Scholar,,,
1983,"Rubio, A.","A Gutierrez, L Gil, J Sahuquillo, E Rubio","A Gutierrez, L Gil, J Sahuquillo, E Rubio - Surgical neurology, 1983 - Elsevier",Surgical neurology,Unusual penetrating craniocerebral injury,We report a 29-year-old patient who was operated on for a penetrating craniocerebral injury caused by an under-water fishing harpoon. It had penetrated through the roof of the left orbit…,https://www.sciencedirect.com/science/article/pii/0090301983903798,Google Scholar,,,
1983,"Chernish…, S.","SW Trenkner, DD Maglinte, GA Lehman, SM Chernish…","SW Trenkner, DD Maglinte, GA Lehman, SM Chernish… - Radiology, 1983 - pubs.rsna.org",Radiology,Esophageal food impaction: treatment with glucagon.,Nineteen patients who had foreign bodies in the distal esophagus were examined prospectively to determine the efficacy of intravenous glucagon in relieving the obstruction. The …,https://pubs.rsna.org/doi/abs/10.1148/radiology.149.2.6622682,Google Scholar,,,
1983,"Belkin, D.","D Lobel, M Blumenthal, M Belkin","D Lobel, M Blumenthal, M Belkin - American Journal of Ophthalmology, 1983 - ajo.com",American Journal of Ophthalmology,A New Instrument for Removing Corneal Foreign Bodies,"We have designed a new instrument for removing corneal foreign bodies. It is made of a flexible stainless steel razor blade strip, bent into a diamond-shaped loop and fixed to an 18-…",https://www.ajo.com/article/0002-9394(83)90403-8/pdf,Google Scholar,,,
1983,"Rojas, R.","RT Farrior, RC Jarchow, B Rojas","RT Farrior, RC Jarchow, B Rojas - Otolaryngologic Clinics of North America, 1983 - Elsevier",Otolaryngologic Clinics of North America,Primary and late plastic repair of soft tissue injuries,Complete coverage of the subject of the management of lacera-tions and scars would require a textbook. It is the purpose in this article to emphasize the general principles and specific …,https://www.sciencedirect.com/science/article/pii/S0030666520320533,Google Scholar,,,
1984,"Weher, A.",AL Weher,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Otolaryngologic Clinics of North America,Radiology of the larynx,Diseases of the larynx cover a wide spectrum of different entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations …,https://www.sciencedirect.com/science/article/pii/S0030666520319897,Google Scholar,,,
1984,"Altman…, W.","WE Berdon, GJ Dee, SJ Abramson, RP Altman…","WE Berdon, GJ Dee, SJ Abramson, RP Altman… - Radiology, 1984 - pubs.rsna.org",Radiology,Localized pneumothorax adjacent to a collapsed lobe: a sign of bronchial obstruction.,"In the presence of lobar collapse due to bronchial obstruction with increased recoil of the affected lobe, an unusual localized pleural collection of air may result. Three patients are …",https://pubs.rsna.org/doi/abs/10.1148/radiology.150.3.6695068,Google Scholar,,,
1985,"BREAR, Z.","ZA KARCIOGLU, R BREAR","ZA KARCIOGLU, R BREAR - American Journal of Ophthalmology, 1985 - Elsevier",American Journal of Ophthalmology,Conjunctival Biopsy in Sarcoidosis: Reply,,,Google Scholar,,,
1985,"Distler, A.","AM Potts, JA Distler","AM Potts, JA Distler - American journal of ophthalmology, 1985 - Elsevier",American journal of ophthalmology,Shape factor in the penetration of intraocular foreign bodies,We studied the way in which the shape of a missile striking the eye affects the ease of penetration of the central cornea. The test objects were enucleated pigs' eyes restored to normal …,https://www.sciencedirect.com/science/article/pii/S0002939414750032,Google Scholar,,,
1986,"Wagner, P.","PJ Mariani, DK Wagner","PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",The Journal of emergency medicine,Foley catheter extraction of blunt esophageal foreign bodies,The case is reported of a successful Foley catheter extraction of two superimposed coins from the esophagus of an 8-year-old girl. The presence of the second coin was suspected only …,https://www.sciencedirect.com/science/article/pii/0736467986900065,Google Scholar,,,
1986,"Wetli, R.","R Beerman, D Nunez, CV Wetli","R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Gastrointestinal radiology,Radiographic evaluation of the cocaine smuggler,A retrospective analysis of the plain abdominal films of 53 “ body packer ” drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and …,https://link.springer.com/article/10.1007/BF02035108,Google Scholar,,,
1986,"Ringberg, L.","L Meyer, A Ringberg","L Meyer, A Ringberg - Scandinavian Journal of Plastic and …, 1986 - Taylor & Francis",Scandinavian Journal of Plastic and …,A prospective study of psychiatric and psychosocial sequelae of bilateral subcutaneous mastectomy,Short-and long-term adaptation (two months and one year respectively) to bilateral subcutaneous mastectomy was studied in twenty-five consecutive patients operated upon at the …,https://www.tandfonline.com/doi/abs/10.3109/02844318609006302,Google Scholar,,,
1986,"Bendig, D.",DW Bendig,"DW Bendig - American journal of diseases of children, 1986 - jamanetwork.com",American journal of diseases of children,Removal of blunt esophageal foreign bodies by flexible endoscopy without general anesthesia,• Twenty-three pediatric patients with blunt esophageal foreign bodies underwent flexible endoscopic removal without general anesthesia. No object was in place longer than 14 days. …,https://jamanetwork.com/journals/jamapediatrics/article-abstract/513016,Google Scholar,,,
1986,"Bromberg…, J.","JE Oesterling, WD Bromberg…","JE Oesterling, WD Bromberg… - The Journal of urology, 1986 - auajournals.org",The Journal of urology,Xeroradiography and ultrasonography in the evaluation of a penile injury,A 34-year-old white man presented with severe penile cellulitis following injection of epoxy glue into the shaft of the penis. Preoperative xeroradiography and ultrasonography localized …,https://www.auajournals.org/doi/abs/10.1016/S0022-5347%2817%2945855-1,Google Scholar,,,
1988,"Feehs…, W.","WF Mcguirt, KD Holmes, R Feehs…","WF Mcguirt, KD Holmes, R Feehs… - The …, 1988 - Wiley Online Library",The …,Tracheobronchial foreign bodies,A retrospective review of 88 cases of foreign body aspiration was undertaken. The patients ranged in age from 5 months to 73 years; the peak incidences of foreign body aspiration …,https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-198806000-00007,Google Scholar,,,
1988,"Gutiérrez-Díaz…, E.","E Mencía-Gutiérrez, E Gutiérrez-Díaz…","E Mencía-Gutiérrez, E Gutiérrez-Díaz… - …, 1988 - karger.com",…,Perforating ocular wounds in occupational accidents,We review 77 patients with perforating ocular wounds due to occupational accidents seen in our hospital over a period of 5 years. Industrial accidents were the most frequent cause (…,https://karger.com/oph/article-abstract/197/2/97/253286,Google Scholar,,,
1988,"Kozarek, R.",RA Kozarek,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",The Esophagus. Philadelphia: WB Saunders,Esophageal foreign bodies and food impaction,,,Google Scholar,,,
1989,"McCarthy…, R.","RF Jacobs, RE McCarthy…","RF Jacobs, RE McCarthy… - Journal of Infectious …, 1989 - academic.oup.com",Journal of Infectious …,Pseudomonas Osteochondritis Complicating Puncture Wounds of the Foot in Children: A 10-Year Evaluation,"From 1978 to 1988, microbiologically proven Pseudomonas osteochondritis and septic arthritis following nail puncture wound to the foot was diagnosed in 77 children aged 18 mo-19 y (…",https://academic.oup.com/jid/article-abstract/160/4/657/829788,Google Scholar,,,
1989,"Walker, A.","AAC Heggie, JDC Walker","AAC Heggie, JDC Walker - Journal of oral and maxillofacial surgery, 1989 - Elsevier",Journal of oral and maxillofacial surgery,Traumatic pharyngeal displacement of a full maxillary denture: case report,"Foreign body aspiration has been commonly reported in the medical and dental literature. During infancy and childhood, asphyxiation is more often due to foodstuffs than other objects. …",https://www.sciencedirect.com/science/article/pii/0278239189900165,Google Scholar,,,
1989,"Belkin, M.",M Belkin,"M Belkin - Manual of Disaster Medicine: Civilian and Military, 1989 - Springer",Manual of Disaster Medicine: Civilian and Military,Eye Injury,"In spite of its being such a small organ, injuries of the eye comprise up to 10% of all injuries requiring hospitalization in modern wars, because the eye is exceedingly vulnerable. A …",https://link.springer.com/chapter/10.1007/978-3-642-83440-0_41,Google Scholar,,,
1989,"Fertel…, V.","VL Giyanani, D Fertel…","VL Giyanani, D Fertel… - Journal of clinical …, 1989 - Wiley Online Library",Journal of clinical …,Use of ultrasound for localization of a foreign object in the heart,"DISCUSSION Treatment of retained cardiac foreign bodies has been an issue of controversy in the past. In a series reviewed by Decker in 1939, the mortality of patients undergoing …",https://onlinelibrary.wiley.com/doi/abs/10.1002/jcu.1870170513,Google Scholar,,,
1989,"Merz, B.",B Merz,"B Merz - JAMA, 1989 - jamanetwork.com",JAMA,AFIP: pathology laboratory to the world,THERE ARE 2700 BRAINS at the Armed Forces Institute of Pathology (AFIP). Seven hundred are engaged in running the institute; 2000 are sectioned and mounted. The 125 …,https://jamanetwork.com/journals/jama/article-abstract/377342,Google Scholar,,,
1990,"Barz…, B.","B Jacob, W Huckenbeck, J Barz…","B Jacob, W Huckenbeck, J Barz… - The American Journal of …, 1990 - journals.lww.com",The American Journal of …,"Death, after swallowing and aspiration of a high number of foreign bodies, in a schizophrenic woman","A 46-year-old woman who had had a long-term schizoid psychosis collapsed on the street. Upon admission to the hospital, she was determined to have an acute abdomen. The chest …","https://journals.lww.com/amjforensicmedicine/abstract/1990/12000/death,_after_swallowing_and_aspiration_of_a_high.14.aspx",Google Scholar,,,
1990,"Joondeph, B.",BC Joondeph,"BC Joondeph - Seminars in ophthalmology, 1990 - Taylor & Francis",Seminars in ophthalmology,Blunt ocular trauma,"LUNT, NONPENETRATING ocular inju-B ries are one of the most common and potentially most serious ocular emergencies. They may present as an isolated injury or as part of a …",https://www.tandfonline.com/doi/pdf/10.3109/08820539009060158,Google Scholar,,,
1990,"Downey…, L.","L Clapham, RJC McLean, JC Nickel, J Downey…","L Clapham, RJC McLean, JC Nickel, J Downey… - Journal of crystal …, 1990 - Elsevier",Journal of crystal …,The influence of bacteria on struvite crystal habit and its importance in urinary stone formation,Infection-induced urinary stones form as a result of a urinary tract infection by urease-producing bacteria. These stones are not totally crystalline in nature but rather consist of an …,https://www.sciencedirect.com/science/article/pii/002202489090150J,Google Scholar,,,
1991,"Clark, M.","M Edgerton, P Clark","M Edgerton, P Clark - Oral surgery, oral medicine, oral pathology, 1991 - Elsevier",Oral surgery,Location of abnormalities in panoramic radiographs of edentulous patients,A series of 308 panoramic radiographs of edentulous patients was examined for the presence of pathoses to determine whether any predictive basis could be found for occurrence of …,https://www.sciencedirect.com/science/article/pii/003042209190535K,Google Scholar,,,
1991,"Marriner…, S.","SF Millward, AM Thijssen, JR Marriner…","SF Millward, AM Thijssen, JR Marriner… - Journal of Vascular and …, 1991 - Elsevier",Journal of Vascular and …,Effect of a metallic balloon-expanded stent on normal rabbit ureter,Two-millimeter balloon-expanded Gianturco-Roubin coronary artery stents were placed in the 1-mm-diameter distal ureters of five normal rabbits. Retrograde pyelograms obtained …,https://www.sciencedirect.com/science/article/pii/S1051044391722422,Google Scholar,,,
1991,"Shiftin…, N.","ND Reis, C Zinman, MIB Besser, LZ Shiftin…","ND Reis, C Zinman, MIB Besser, LZ Shiftin… - Military …, 1991 - academic.oup.com",Military …,A philosophy of limb salvage in war: use of the fixateur externe,"Over the period 1973–1983, we treated by external fixation 110 severe grade three open or complicated fractures caused in war (minimum follow-up, 7 years). We present our data …",https://academic.oup.com/milmed/article-abstract/156/10/505/4849076,Google Scholar,,,
1991,"Stenquist, L.","L Tibbling, M Stenquist","L Tibbling, M Stenquist - Dysphagia, 1991 - Springer",Dysphagia,Foreign bodies in the esophagus. A study of causative factors,Two hundred and twenty-nine patients were studied in an attempt to determine the main causative factors behind their having a residual foreign body in the esophagus. Strictures were …,https://link.springer.com/article/10.1007/BF02493532,Google Scholar,,,
1992,"Virapongse…, P.","PM Otto, RA Otto, C Virapongse…","PM Otto, RA Otto, C Virapongse… - Investigative …, 1992 - journals.lww.com",Investigative …,Screening test for detection of metallic foreign objects in the orbit before magnetic resonance imaging,"Otto PM, Otto RA, Virapongse C, Friedman SM, Emerson S, Li KCP, Malot R, Kaude JV, Staab EV. Screening test for detection of metallic foreign objects in the orbit before magnetic …",https://journals.lww.com/investigativeradiology/abstract/1992/04000/Screening_Test_for_Detection_of_Metallic_Foreign.10.aspx,Google Scholar,,,
1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate medicine,"Gastrointestinal foreign bodies: When to remove them, when to watch and wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest …",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,,,
1993,"Neiman…, S.","S Cekirge, JP Weiss, RG Foster, HL Neiman…","S Cekirge, JP Weiss, RG Foster, HL Neiman… - Journal of Vascular and …, 1993 - Elsevier",Journal of Vascular and …,Percutaneous retrieval of foreign bodies: experience with the nitinol Goose Neck snare,Purpose The authors present their experience with the nitinol Goose Neck snare system in the retrieval of retained foreign bodies in 20 patients. Patients and Methods Foreign bodies …,https://www.sciencedirect.com/science/article/pii/S1051044393719788,Google Scholar,,,
1993,"Azarmina…, H.","H Ahmadieh, M Soheilian, H SAJJADI, M Azarmina…","H Ahmadieh, M Soheilian, H SAJJADI, M Azarmina… - Retina, 1993 - journals.lww.com",Retina,Vitrectomy in ocular trauma: factors influencing final visual outcome,"The results of vitrectomy in 240 consecutive cases of ocular trauma were reviewed. Of these cases, 71.2% were war injuries. Intraocular foreign bodies were present in 155 eyes, of …",https://journals.lww.com/retinajournal/abstract/1993/13020/VITRECTOMY_IN_OCULAR_TRAUMA__Factors_Influencing.3.aspx,Google Scholar,,,
1993,"Mieler…, J.","JT Thompson, LM Parver, CL Enger, WF Mieler…","JT Thompson, LM Parver, CL Enger, WF Mieler… - Ophthalmology, 1993 - Elsevier",Ophthalmology,Infectious endophthalmitis after penetrating injuries with retained intraocular foreign bodies,Purpose: To determine the risk factors and prognostic indicators of infectious endophthalmitis in eyes with penetrating injury and retained intraocular foreign body. Methods: From the …,https://www.sciencedirect.com/science/article/pii/S0161642093314545,Google Scholar,,,
1993,"Earl, R.",RJ Earl,"RJ Earl - BYU L. Rev., 1993 - HeinOnline",BYU L. Rev.,Tightening Judicial Standards for Granting Foreign Discovery Requests,"I. Introduction Following World War II, the United States emerged as a genuine world power. American products and businesses spurred international modernization, American capital …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/byulr1993&section=22,Google Scholar,,,
1994,"Amplatz, H.","H Ferral, Y Kimura, K Amplatz","H Ferral, Y Kimura, K Amplatz - Journal of Vascular and …, 1994 - academia.edu",Journal of Vascular and …,Retrieval of an entrapped guide wire with a braiding maneuver,"RETRIEVAL of intravascular foreign bodies with different snares is a common practice in interventional radiology (1). Catheters, wires, broken devices, stents, and angioplasty balloons …",https://www.academia.edu/download/73868829/S1051-0443_2894_2971575-X20211030-1046-8dkt8m.pdf,Google Scholar,,,
1994,"Jr…, R.","RE Foster, PE Rubsamen, BC Joondeph, HW Flynn Jr…","RE Foster, PE Rubsamen, BC Joondeph, HW Flynn Jr… - Ophthalmology, 1994 - Elsevier",Ophthalmology,Concurrent endophthalmitis and retinal detachment,Conclusions: Eyes with concurrent endophthalmitis and retinal detachment usually have a poor anatomic and visual outcome after treatment. The purpose of this study is to define the …,https://www.sciencedirect.com/science/article/pii/S016164209431308X,Google Scholar,,,
1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-asphyxiating tracheobronchial foreign bodies in adults,,,Google Scholar,,,
1994,"Lacquet…, J.","J Vansteenkiste, LM Lacquet…","J Vansteenkiste, LM Lacquet… - European …, 1994 - publications.ersnet.org",European …,Transcarinal needle aspiration biopsy in the staging of lung cancer,Lung cancer without distant metastasis often requires an invasive surgical procedure to document inoperability. In order to determine how often puncture biopsy was a valid substitute …,https://publications.ersnet.org/content/erj/7/2/265.abstract,Google Scholar,,,
1994,"Baker, S.","SR Thomson, M Fraser, C Stupp, LW Baker","SR Thomson, M Fraser, C Stupp, LW Baker - Diseases of the colon & …, 1994 - Springer",Diseases of the colon & …,Iatrogenic and accidental colon injuries—what to do?,PURPOSE: This study was designed to formulate management guidelines for a variety of rare iatrogenic and accidental injuries to the colon and rectum. METHODS: This review collates …,https://link.springer.com/article/10.1007/BF02076199,Google Scholar,,,
1994,"Hunt, K.","KA Scanlan, KR Hunt","KA Scanlan, KR Hunt - Radiologic Guide to Medical Devices and Foreign …, 1994 - Mosby",Radiologic Guide to Medical Devices and Foreign …,ULTRASOUND ARTIFACTS AND THEIR ORIGINS,,,Google Scholar,,,
1994,"Stelck…, M.","M Castro, DE Midthun, ES Edell, MJ Stelck…","M Castro, DE Midthun, ES Edell, MJ Stelck… - … of Bronchology & …, 1994 - journals.lww.com",… of Bronchology & …,Flexible bronchoscopic removal of foreign bodies from pediatric airways,The rigid bronchoscope has been the instrument of choice for removal of tracheobronchial foreign bodies in pediatric patients. Application of the flexible bronchoscope for this purpose …,https://journals.lww.com/bronchology/abstract/1994/04000/Flexible_Bronchoscopic_Removal_of_Foreign_Bodies.4.aspx,Google Scholar,,,
1995,"Krolikowski, A.","AFG Paulino, FJ Krolikowski","AFG Paulino, FJ Krolikowski - The American Journal of Forensic …, 1995 - journals.lww.com",The American Journal of Forensic …,Insertion of foreign bodies into the abdominal cavity: an unusual form of self-mutilation,Self-mutilation is self-infliction of bodily injury without a conscious suicidal intent. Repeated self-inflicted abdominal stab wounds with insertion of foreign bodies into the abdominal …,https://journals.lww.com/amjforensicmedicine/abstract/1995/03000/insertion_of_foreign_bodies_into_the_abdominal.10.aspx,Google Scholar,,,
