id,Publication Year,Authors,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments
53,1997,"Gilchrist, B. F.; Valerie, E. P.; Nguyen, M.; Coren, C.; Klotz, D.; Ramenofsky, M. L.","Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children",Journal Of Pediatric Surgery,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,"Paediatric study. Intention explicitly not recorded. Contians cases of retained foreign objects requiring thoracotomy, with retention lengths 2 months to 2 years. All patients didn't undergo a chest x-ray at the time of ingestion."
54,1997,"Losanoff, J. E.; Kjossev, K. T.; Losanoff, H. E.","Oesophageal ""Cross""--A Sinister Foreign Body",Journal Of Accident & Emergency Medicine,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,Single case of gastrointestinal cross.
55,1997,"Ae Altmann, J Ozanne-Smith",Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,Injury Prevention,Google Scholar,TRUE,3,,TRUE,FALSE,,29/01/2025,Paper states: All cases of intentional injury (self inflicted or interpersonal violence) were excluded.
57,1998,"Se Morrow, Sw Bickler, Ap Kennedy, Cl Snyder...",Balloon Extraction Of Esophageal Foreign Bodies In Children,Journal Of Pediatric ...,Google Scholar,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not recorded. Study analysing eficacy of folley balloon catheter for the removal of smooth foreign objects in children.
58,1998,Ah Messner,Pitfalls In The Diagnosis Of Aerodigestive Tract Foreign Bodies,Clinical Pediatrics,Google Scholar,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned. All patients less than 2 years of age.
59,1998,"Nha Kasim, Bjj Abdullah, J Mahadevan...",The Radiopacity Of Dental Prostheses (Fixed And Removable) On Plain Radiographs-An Experimental Study,Annals Of Dentistry ...,Google Scholar,TRUE,2,,,,,29/01/2025,Study looking at radiopacity of dental implants. Non-human also.
60,1998,"Goldman, R. D.; Schachter, P.; Katz, M.; Bilik, R.; Avigad, I.",A Bizarre Bezoar: Case Report And Review Of The Literature,Pediatric Surgery International,PubMed,FALSE,,TRUE,TRUE,TRUE,,29/01/2025,16 year old female. Toilet paper ingestion as part of diet. Study reports as bezoar.
61,1998,"Csaky, G; Szederkenyi, I; Botos, A; Kiss, I",Laparoscopic Removal Of A Foreign Body From The Jejunum,Surgical Laparoscopy & Endoscopy,Web of Science,FALSE,,,TRUE,TRUE,,29/01/2025,"22 year old swallowed blade, suicidal intention."
64,1999,"Calkins, C. M.; Christians, K. K.; Sell, L. L.",Cost Analysis In The Management Of Esophageal Coins: Endoscopy Versus Bougienage,Journal Of Pediatric Surgery,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned.
65,1999,"Cheng, W.; Tam, P. K.","Foreign-Body Ingestion In Children: Experience With 1,265 Cases",Journal Of Pediatric Surgery,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,"Paediatric study. Intention not mentioned. Mostly coins, food items ingested."
66,1999,"Kuo, J. Y.; Mo, L. R.; Tsai, C. C.; Chou, C. Y.; Lin, R. C.; Chang, K. K.",Nonoperative Treatment Of Gastric Bezoars Using Electrohydraulic Lithotripsy,Endoscopy,PubMed,TRUE,9,,FALSE,,,29/01/2025,Not explicitly intentional ingestion
71,2001,"Robins, B.; Das, A. K.",Anesthetic Management Of Acquired Tracheoesophageal Fistula: A Brief Report,Anesthesia And Analgesia,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,15 month old with TEF 'presumably after eating rocks'
73,2002,"Moshfeghi, Darius M.; Wilson, Matthew W.; Martin, Terry L.; Haik, Barrett G.",Swallowed Ocular Prostheses: Report Of Three Cases In Children With Retinoblastoma,Ophthalmic Plastic And Reconstructive Surgery,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned. Both cases involved children <32 months. 
77,2003,"Janik, Je; Janik, Js",Magill Forceps Extraction Of Upper Esophageal Coins,Journal Of Pediatric Surgery,Web of Science,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned. Age 11-38 months.
78,2003,"Kieffer, E; Chiche, L; Gomes, D",Aortoesophageal Fistula - Value Of In Situ Aortic Allograft Replacement,Annals Of Surgery,Web of Science,TRUE,9,,FALSE,,,29/01/2025,AEF after swallowing fishbone. Intention not explictly intentional.
80,2004,"Butterworth, J. R.; Wright, K.; Boulton, R. A.; Pathmakanthan, S.; Goh, J.",Management Of Swallowed Razor Blades-Retrieve Or Wait And See?,Gut,PubMed,TRUE,5,TRUE,TRUE,TRUE,,29/01/2025,Question and answer regarding 16 year old boy intentional ingested razor blade. No data regarding outcome in this episode of intentional ingestion.
81,2004,"De Lucas, Em; Sádaba, P; García-Barón, Pl; Ruiz-Delgado, Ml; Sánchez, Fg; Ortiz, A; Pagola, Ma",Value Of Helical Computed Tomography In The Management Of Upper Esophageal Foreign Bodies,Acta Radiologica,Web of Science,TRUE,9,,FALSE,,,29/01/2025,CT findings in ingested foreign objects. Intention not recorded. Includes only cases of fish bone or chicken bone impaction.
82,2004,"Karaman, Ayşe; Cavuşoğlu, Y. Hakan; Karaman, Ibrahim; Erdoğan, Derya; Aslan, M. Kemal; Cakmak, Ozden",Magill Forceps Technique For Removal Of Safety Pins In Upper Esophagus: A Preliminary Report,International Journal Of Pediatric Otorhinolaryngology,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,"Paediatric study. Intention not mentioned. Population 7.5month mean age, in a culture that where blue beads pinned to baby clothing to protect from evil."
84,2004,"Rodríguez Hermosa, J. I.; Roig García, J.; Ruiz Feliú, B.; Gironès Vilà, J.; Codina Cazador, A.; Pont Vallès, J.; Figa Francesch, M.; González Huix, F.; Acero Fernández, D.",Recurrent Ingestion Of Foreign Bodies And Abdominal Self-Injury As A Form Of Attempted Suicide,Gastroenterologia Y Hepatologia,PubMed,TRUE,1,,,,,29/01/2025,Article in spanish. Abstract in English.
85,2004,"Tupesis, J. P.; Kaminski, A.; Patel, H.; Howes, D.",A Penny For Your Thoughts: Small Bowel Obstruction Secondary To Coin Ingestion,Journal Of Emergency Medicine,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""the patient admit to deliberate ingestion of a single United States penny coin."""
87,2005,"Kay, Marsha; Wyllie, Robert",Pediatric Foreign Bodies And Their Management,Current Gastroenterology Reports,PubMed,TRUE,5,,,,,29/01/2025,Review. No empirical evidence.
88,2005,"Louie, Jeffrey P.; Alpern, Elizabeth R.; Windreich, Randy M.",Witnessed And Unwitnessed Esophageal Foreign Bodies In Children,Pediatric Emergency Care,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned. Mean Age 4.6years for witnessed ingestions and 2.3years for witnessed.
89,2005,"Abraham, Benjamin; Alao, Adekola O.",An Unusual Foreign Body Ingestion In A Schizophrenic Patient: Case Report,International Journal Of Psychiatry In Medicine,PubMed,TRUE,6,,,,,29/01/2025,Duplicate
90,2005,"Assink, Joeri; Vierhout, Bastiaan P.; Snellen, Jaap P.; Benner, Paul M.; Paul, Marinus A.; Cuesta, Miguel A.; Wisselink, Willem",Emergency Endovascular Repair Of An Aortoesophageal Fistula Caused By A Foreign Body,Journal Of Endovascular Therapy : An Official Journal Of The International Society Of Endovascular Specialists,PubMed,TRUE,9,,FALSE,,,29/01/2025,32YOM AEF following swallwed fishbone. No mention of intention.
92,2006,"Alao, A. O.; Abraham, B.",Foreign Body Ingestions In A Schizophrenic Patient,West African Journal Of Medicine,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""we report a case of ingestion of a rolled, metal tuna can lid in a male prison inmate previously diagnosed with depression and paranoid. schizophrenia"". Command hallucinations. ""Intention to kill kimself."
93,2006,"Ayantunde, A. A.; Oke, T.",A Review Of Gastrointestinal Foreign Bodies,International Journal Of Clinical Practice,PubMed,TRUE,9,,TRUE,TRUE,,13/03/2025,"Mixed cohort of accidental ingestion, deliberate insertion and deliberate ingestion of objects. Deliberate ""ingestion in 11"" patients. The study does not clearly distinguish between intentional and non-intentional ingestion, leading to mixed outcome reporting. Due to the inability to stratify results based on motivation, the findings are not directly applicable to our research question."
95,2006,"Golz, Avishay; Netzer, Aviram; Gordin, Arie; Westerman, S. Thomas; Joachims, Henry Z.",Safe Extraction Of An Impacted Open Safety Pin From The Esophagus: Report Of 9 Cases,American Journal Of Otolaryngology,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned. All aged <47 months.
96,2006,"Kamath, Panduranga; Bhojwani, Kiran M.; Prasannaraj, Thomas; Abhijith, K.",Foreign Bodies In The Aerodigestive Tract--A Clinical Study Of Cases In The Coastal Belt Of South India,American Journal Of Otolaryngology,PubMed,TRUE,9,,FALSE,,,29/01/2025,"Reports of 9 x swallowed wires and 28 ""other"". But intentional not explicitly intentional."
97,2006,"Waltzman, Mark L.",Management Of Esophageal Coins,Current Opinion In Pediatrics,PubMed,TRUE,5,,,,,29/01/2025,Review article.
98,2006,"Wong, Kenneth K. Y.; Fang, Christian X.; Tam, Paul K. H.",Selective Upper Endoscopy For Foreign Body Ingestion In Children: An Evaluation Of Management Protocol After 282 Cases,Journal Of Pediatric Surgery,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned.
99,2007,"Hunt, Ian; Hartley, Sarah; Alwahab, Yasir; Birkill, Guy J.",Aortoesophageal Perforation Following Ingestion Of Razorblades With Massive Haemothorax,European Journal Of Cardio-Thoracic Surgery : Official Journal Of The European Association For Cardio-Thoracic Surgery,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""massive haemothorax following deliberate ingestion of razorblades"""
100,2007,"Kalayci, Ayhan; Tander, Burak; Kocak, Sule; Rizalar, Riza; Bernay, Ferit",Removal Of Open Safety Pins In Infants By Flexible Endoscopy Is Effective And Safe,Journal Of Laparoendoscopic & Advanced Surgical Techniques. Part A,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned.
101,2007,Gitlin D.F.; Caplan J.P.; Rogers M.P.; Avni-Barron O.; Braun I.; Barsky A.J.,Foreign-Body Ingestion In Patients With Personality Disorders,Psychosomatics,SCOPUS,FALSE,,,,,,29/01/2025,Contains 5 case studies with empirical data.
103,2007,"Rodríguez-Hermosa, J. I.; Codina-Cazador, A.; Ruiz, B.; Sirvent, J. M.; Roig, J.; Farrés, R.",Management Of Foreign Bodies In The Rectum,Colorectal Disease : The Official Journal Of The Association Of Coloproctology Of Great Britain And Ireland,PubMed,TRUE,10,,FALSE,,,29/01/2025,"Intentionally ingested in 6 cases. Includes swallowed nails, keys, spanners, batteries in population of prisoners and intoxicated people. Mixed population of oral ingestors and anal inserters. Empirical data not available on subgroups. Exclude."
108,2007,"Dahshan, Ahmed H.; Kevin Donovan, Gerard",Bougienage Versus Endoscopy For Esophageal Coin Removal In Children,Journal Of Clinical Gastroenterology,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not reported.
113,2008,"Sakellaridis, Timothy; Potaris, Konstantinos; Mallios, Dimitrios; Sepsas, Evangellos",An Unusual Case Of A Swallowed Thermometer Perforated In The Mediastinum,Annals Of Thoracic Surgery,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"39F ""deliberate ingestion of a thermometer in a suicide attempt"""
114,2008,"Stenz, Volker; Thurnheer, Robert; Widmer, Fritz; Krause, Martin",Foreign Body Stories,Therapeutische Umschau. Revue Therapeutique,PubMed,TRUE,1,,,,,29/01/2025,Title in English. Article in German.
117,2008,"P Skok, A Ocepek, D Ćeranić",The Role Of Emergency Endoscopy In Upper Git Foreign Body Extraction,Acta Medico-Biotechnica,Google Scholar,TRUE,10,,TRUE,TRUE,,29/01/2025,"""metal objects intentionally ingested by a person in custody"". No mention of motivations for ingestion. Likely a mixed population, but no empirical data on subgroups. Exclude."
119,2008,"Pavlidis, Theodoros E.; Marakis, Georgios N.; Triantafyllou, Apostolos; Psarras, Kyriakos; Kontoulis, Theodoros M.; Sakantamis, Athanasios K.",Management Of Ingested Foreign Bodies. How Justifiable Is A Waiting Policy?,"Surgical Laparoscopy, Endoscopy & Percutaneous Techniques",PubMed,TRUE,2,,TRUE,TRUE,,29/01/2025,"""1 case (7.7%) that was intentionally"". Out of 13 cases. Exclude."
122,2008,"J Hirschberg, T Szende, P Koltai, A Illenyi","Pediatric Airway: Cry, Stridor And Cough",,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
123,2008,Ss Pathare,B Foreign Body Ingestion,Pediatric Hospital Medicine: Textbook of Inpatient Management,Google Scholar,TRUE,1,,,,,29/01/2025,"Pay wall, unable to access via QMUL or Sci-Hub."
124,2008,"Grisel, Jedidiah J.; Richter, Gresham T.; Casper, Keith A.; Thompson, Dana M.",Acquired Tracheoesophageal Fistula Following Disc-Battery Ingestion: Can We Watch And Wait?,International Journal Of Pediatric Otorhinolaryngology,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Paediatric study. Intention not mentioned.
130,2009,"Schrom, T.; Amm, S.",Unusual Case Of Oesophageal Foreign Body As Part Of A Self-Harm Syndrome,Laryngo- Rhino- Otologie,PubMed,TRUE,1,,,,,29/01/2025,Article in German. Abstract in English.
131,2009,"Palta, Renee; Sahota, Amandeep; Bemarki, Ali; Salama, Paul; Simpson, Nicole; Laine, Loren",Foreign-Body Ingestion: Characteristics And Outcomes In A Lower Socioeconomic Population With Predominantly Intentional Ingestion,Gastrointestinal Endoscopy,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""Among 262 cases, 92% were intentional"""
133,2009,"Luk, W.-H.; Fan, W. C.; Chan, R. Y. Y.; Chan, S. W. W.; Tse, K. H.; Chan, J. C. S.",Foreign Body Ingestion: Comparison Of Diagnostic Accuracy Of Computed Tomography Versus Endoscopy,Journal Of Laryngology And Otology,PubMed,TRUE,9,,FALSE,,,29/01/2025,All foreign bodies ingested were food items.
138,2010,"Islam, Sameer R.; Islam, Ebtesam A.; Hodges, David; Nugent, Kenneth; Parupudi, Sreeram",Endoscopic Removal Of Multiple Duodenum Foreign Bodies: An Unusual Occurrence,World Journal Of Gastrointestinal Endoscopy,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"62M Prisoner ""Currently he reported ingestion of multiple plastic spoons and a ballpoint pen three days previously"""
139,2010,"Huang, Brian L.; Rich, Harlan G.; Simundson, Susan E.; Dhingana, Mukesh K.; Harrington, Colin; Moss, Steven F.",Intentional Swallowing Of Foreign Bodies Is A Recurrent And Costly Problem That Rarely Causes Endoscopy Complications,Clinical Gastroenterology And Hepatology : The Official Clinical Practice Journal Of The American Gastroenterological Association,PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""Cases of intentional ingestion of FBs (n  305) were identified, retrospectively, from an electronic endoscopy database and followed."""
141,2010,"Chan, Kim Weng",An Unusual Case Of Foreign Body In The Anterior Abdominal Wall,Journal Of Clinical Medicine Research,PubMed,TRUE,2,,,,,29/01/2025,"Author not sure if ingested or inserted. No explicit mention of ingestion, but possible."
142,2010,"Biswas, D; Majumdar, S; Ray, J; Bull, P",Tracheoesophageal Fistula Secondary To Chemical Trauma: Is There A Place For Planned Conservative Management?,Journal Of Laryngology And Otology,Web of Science,TRUE,9,TRUE,FALSE,,,29/01/2025,15 month old boy with TOF following button battery ingestion.
144,2011,"Lewis, Catherine; Hsu, Hwei-Kang; Hoover, Eddie",Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,Journal Of The National Medical Association,PubMed,TRUE,2,,,,,29/01/2025,Aspiration focus.
145,2011,"Tripathi, Tulika; Rai, Priyank; Singh, Harpreet",Foreign Body Ingestion Of Orthodontic Origin,"American Journal Of Orthodontics And Dentofacial Orthopedics : Official Publication Of The American Association Of Orthodontists, Its Constituent  Societies, And The American Board Of Orthodontics",PubMed,TRUE,3,,TRUE,FALSE,,29/01/2025,Case study of male in chair that jolted when his phone rang whilst in dental chair and accidentally swallowed orthodontic key
146,2011,"Tihan, D; Trabulus, D; Altunkaya, A; Karaca, S; Cihan, A; Alis, H",Esophageal Perforation Due To Inadvertent Swallowing Of A Dental Prosthesis,Turkish Journal Of Gastroenterology,Web of Science,TRUE,3,,TRUE,FALSE,,29/01/2025,32-year-old male presented to the emergency room with the complaint of inadvertent swallowing of his own dental prosthesis while sleeping
147,2011,"Sunkaraneni, Vs; Jones, Sem",Topical Anaesthetic Or Vasoconstrictor Preparations For Flexible Fibre‐Optic Nasal Pharyngoscopy And Laryngoscopy,Cochrane Database Of Systematic Reviews,Cochrane,TRUE,2,,,,,29/01/2025,Looks at medications for use in endoscopy. Not intentional ingestion of foreign objects.
148,2011,"Sobnach, Sanju; Castillo, Franco; Blanco Vinent, René; Kahn, Delawir; Bhyat, Ahmed",Penetrating Cardiac Injury Following Sewing Needle Ingestion,"Heart, Lung & Circulation",PubMed,FALSE,,,TRUE,TRUE,,29/01/2025,"""19 year-old asymptomatic man presented to our emergency room after intentionally ingesting eight sewing needles; he had done so in an attempt to impress his friends."""
149,2011,"Poynter, Brittany A.; Hunter, Jon J.; Coverdale, John H.; Kempinsky, Cheryl A.",Hard To Swallow: A Systematic Review Of Deliberate Foreign Body Ingestion,General Hospital Psychiatry,PubMed,TRUE,5,,TRUE,TRUE,,29/01/2025,"Systematic review with evidence with four cases, but with no empirical evidence. Bibliography search revealed primary evidence. "
151,2011,"Mirza, Bilal; Ijaz, Lubna; Sheikh, Afzal",Decorative Crystal Balls Causing Intestinal Perforation,Journal Of Indian Association Of Pediatric Surgeons,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,18-month-old male peritonitis and laparotomy after swallowing decorative crystal ball
152,2011,"Lee, Ji Hyuk; Lee, Jong Seung; Kim, Mi Jin; Choe, Yon Ho",Initial Location Determines Spontaneous Passage Of Foreign Bodies From The Gastrointestinal Tract In Children,Pediatric Emergency Care,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Retrospective chart review to establish whether initial location of foreign body affected spontaneous passage after ingestion of foreign object. Intention not specified.
155,2011,"Md Catherine Lewis, Hk Hsu...",Aspiration Of Foreign Bodies In Adults With Personality Disorders: Impact On Diagnosis And Recurrence,Journal Of The National ...,Google Scholar,TRUE,6,,,,,29/01/2025,Duplicate
157,2011,"Goins, Jeanne L.; Evans, Adele K.",Retrieval Of A Penny From The Pediatric Esophagus: A Cost Analysis,International Journal Of Pediatric Otorhinolaryngology,PubMed,TRUE,9,TRUE,FALSE,,,29/01/2025,Cost analysis. No mention of intention.
160,2011,M Cappello,"Swallow: Foreign Bodies, Their Ingestion, Inspiration, And The Curious Doctor Who Extracted Them",,Google Scholar,TRUE,5,,,,,30/01/2025,Book review.
161,2011,"Caliskan, Cemil; Makay, Ozer; Firat, Ozgur; Can Karaca, A.; Akgun, Erhan; Korkut, Mustafa A.",Foreign Bodies In The Rectum: An Analysis Of 30 Patients,Surgery Today,PubMed,TRUE,10,,TRUE,TRUE,,30/01/2025,"1 case of ""needles that were swallowed for a suicide attempt in one schizophrenic individual"". Mixed cohort of ingestion and anal insertion. No empirical data on ingestion. Exclude."
162,2011,"Kocierz, L.; Leung, E.; Thumbe, V.",An Unusual Cause Of Perianal Fistula,Journal Of Surgical Case Reports,PubMed,TRUE,9,,FALSE,,,30/01/2025,Not explicitly intentional. Perianal abscess with sepsis after ingestion of pig bone.
164,2012,"Park, Sin Youl; Woo, Jungmin; Park, Jeong Bae; Rim, Hyo-Deog",Intentional Ingestion Of Cyanoacrylate,"Clinical Toxicology (Philadelphia, Pa.)",PubMed,TRUE,7,,,,,30/01/2025,"Ingestion of cyanoacrylate. Chemical or substance, not object."
166,2012,"Saito, Jacqueline M.",Beyond Appendicitis: Evaluation And Surgical Treatment Of Pediatric Acute Abdominal Pain,Current Opinion In Pediatrics,PubMed,TRUE,5,,,,,30/01/2025,Review. No empirical evidence.
168,2012,"Trgo, Gorana; Tonkic, Ante; Simunic, Miroslav; Puljiz, Zeljko",Successful Endoscopic Removal Of A Lighter Swallowed 17 Months Before,Case Reports In Gastroenterology,PubMed,FALSE,,,TRUE,TRUE,,30/01/2025,"""This case report describes the case of a 36-year-old man addicted to heroin who purposefully swallowed a lighter (double wrapped in cellophane) and presented with hematemesis and melena 17 months after the ingestion of the foreign body."""
169,2012,Unruh B.T.; Nejad S.H.; Stern T.W.; Stern T.A.,Insertion Of Foreign Bodies Polyembolokoilamania: Underpinnings And Management Strategies,Primary Care Companion To The Journal Of Clinical Psychiatry,SCOPUS,TRUE,2,,,,,30/01/2025,"""Insertion of Foreign Bodies (polyembolokoilamania)"""
171,2012,"Tammana, V. S.; Valluru, N.; Sanderson, A.",All The Wrong Places: An Unusual Case Of Foreign Body Ingestion And Inhalation,Case Reports In Gastroenterology,PubMed,FALSE,,,TRUE,TRUE,,30/01/2025,"""case of a 26-year-old man who was brought from a correctional facility after confessing to have swallowed a few shower curtain hooks"""
172,2012,"Naji, Hussein; Isacson, Daniel; Svensson, Jan F.; Wester, Tomas",Bowel Injuries Caused By Ingestion Of Multiple Magnets In Children: A Growing Hazard,Pediatric Surgery International,PubMed,FALSE,,TRUE,TRUE,TRUE,,30/01/2025,12 year old potentially intentional ingestion whilst playing a game with her brother.
175,2012,"Lee, Jun Hyung; Kim, Hyun Cheol; Yang, Dal Mo; Kim, Sang Won; Jin, Wook; Park, Seong Jin; Kim, Hyoung Jung",What Is The Role Of Plain Radiography In Patients With Foreign Bodies In The Gastrointestinal Tract?,Clinical Imaging,PubMed,FALSE,,,TRUE,TRUE,,30/01/2025,"1 case. 62 year old man, ""swallowed broken scissors in an attempt to commit suicide""."
176,2012,"Lazaâr, N; Khalil, N; El Yousfi, M; Aqodad, N; Benajeh, Da; El Abkari, M; Ibrahimi, A; Mellouki, I; Naima, A; El Fakir, S; Nejjari, C",The Management Of Ingested Foreign Bodies: Report Of 82 Cases And Review Of The Literature,Acta Endoscopica,Web of Science,TRUE,1,,,,,30/01/2025,Abstract in English. Article in French.
179,2012,"Kiser, Michelle M.; Samuel, Jonathan C.; Mclean, Sean E.; Muyco, Arturo P.; Cairns, Bruce A.; Charles, Anthony G.",Epidemiology Of Pediatric Injury In Malawi: Burden Of Disease And Implications For Prevention,"International Journal Of Surgery (London, England)",PubMed,TRUE,9,TRUE,FALSE,,,30/01/2025,Paediatric study. Intention not mentioned.
