Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
1998,"Aviv, J.","Aviv, J. E.; Kim, T.; Thomson, J. E.; Sunshine, S.; Kaplan, S.; Close, L. G.",Dysphagia,Fiberoptic endoscopic evaluation of swallowing with sensory testing feesst in healthy controls,"The purpose of this study was to introduce a new method of bedside assessment of both the motor and sensory components of swallowing called fiberoptic endoscopic  evaluation of swallowing with sensory testing (FEESST). This approach combines  the established bedside endoscopic swallowing evaluation with a more recently  described technique that allows objective determination of laryngopharyngeal (LP)  sensory discrimination thresholds by delivering air pulse stimuli to the mucosa  innervated by the superior laryngeal nerve via a flexible endoscope. A  prospective study was conducted of FEESST in 20 healthy control subjects, mean  age of 34 +/- 11 years. LP sensory thresholds were defined as either normal (<  4.0 mmHg air pulse pressure [APP]), moderate deficit (4.0-6.0 mmHg APP), or  severe deficits (> 6.0 mmHg APP). Subsequent to LP sensory testing, food of  varying consistencies, mixed with green food coloring, was given and attention  was paid to spillage, laryngeal penetration, pharyngeal residue, aspiration, and  reflux. Therapeutic maneuvers such as postural changes and airway protection  techniques were performed on each subject to determine if the assessed swallowing  parameters were affected by maneuvers. All patients completed the study; all had  normal LP sensory discrimination thresholds (2.9 +/- 0.7 mmHg APP). There were no  instances of spillage, laryngeal penetration, or aspiration. Two of 20 subjects  had pharyngeal residue and 2 of 20 had reflux. Institution of therapeutic  maneuvers resulted in a predictable change in the endoscopic view of the  laryngopharyngeal anatomy. FEESST provides comprehensive, objective sensory and  motor information about deglutition in the bedside setting and might have  implications for the bedside diagnosis and management of patients with dysphagia.",10.1007/pl00009561,PubMed
1998,"Csaky, G.","Csaky, G; Szederkenyi, I; Botos, A; Kiss, I",Surgical Laparoscopy & Endoscopy,Laparoscopic removal of a foreign body from the jejunum,"Swallowed foreign bodies evacuate spontaneously; therefore, their removal is necessary only if a complication is under suspicion or has ensued, A man of 22 years swallowed, with suicidal intentions, the 9-cm-long and 1.5-cm-wide blade of his pocket knife, which according to repeated x-ray investigations, was impacted partly through the pylorus into the duodenum. Because of the symptoms, perforation could nor be excluded, so laparoscopic removal was decided on. The blade meanwhile passed into the jejunum and was localized intraoperatively with a c-arm fluoroscope. After jejunotomy and removal of the blade, the opening of the small bowel was closed with intracorporeal hand-suturing technique. Postoperative recovery was quick and uneventful. On the evidence of the case history presented, the laparoscopic removal of a foreign body from the gastrointestinal tract can be judged a convenient procedure.",10.1097/00019509-199802000-00016,Web of Science
1998,"Goldman, R.","Goldman, R. D.; Schachter, P.; Katz, M.; Bilik, R.; Avigad, I.",Pediatric Surgery International,A bizarre bezoar: case report and review of the literature,"A bizarre case of a foreign-body bezoar is presented. A 16-year-old girl swallowed large amounts of toilet paper as a means of dieting. She presented with  a palpable abdominal mass, multiple bezoars in the bowel, and paper excretion in  the feces before admitting intentional ingestion of toilet-paper balls.  Administration of Gastrografin via a nasogastric tube and enemas resulted in  gradual excretion of the paper balls.",10.1007/s003830050492,PubMed
1998,"Périé, S.","Périé, S.; Laccourreye, L.; Flahault, A.; Hazebroucq, V.; Chaussade, S.; St Guily, J. L.",Laryngoscope,Role of videoendoscopy in assessment of pharyngeal function in oropharyngeal dysphagia: comparison with videofluoroscopy and manometry,"OBJECTIVE: The purpose of the current report is to evaluate the ability of videoendoscopic swallowing study in assessing pharyngeal propulsion and  aspiration episodes when compared with videofluoroscopy and manometry. STUDY  DESIGN: Prospective study. METHODS: Thirty-four patients with oropharyngeal  dysphagia underwent videoendoscopy of swallowing to assess pharyngeal propulsion  as pathologic or nonpathologic, and aspiration. These features were compared with  those found on manometry and videofluoroscopy, which were considered as the  reference examinations. Sensitivity, specificity, and positive and negative  predictive values of videoendoscopy were estimated, with their 95% confidence  intervals. RESULTS: A total agreement between videoendoscopy and videofluoroscopy  was found in 76.4% of cases for pharyngeal propulsion and in 82.3% for  aspiration. This rate for pharyngeal propulsion reached 82.3% between  videoendoscopy and manometry. Moreover, in 24 cases (70.5%) in which  videofluoroscopy and manometry agreed for pharyngeal propulsion, 22 were assessed  similarly through fiberoscopy. When using fluoroscopy and manometry as reference  examinations, videoendoscopy detected nearly 90% (95% confidence interval [CI] =  0.80, 1.0) of impaired pharyngeal propulsion. Concerning aspiration, 70% (95% CI  = 0.54, 0.85) of events detected by videoendoscopy were also observed on  videofluoroscopy. Sensitivity, specificity, and positive and negative predictive  values of videoendoscopy reached a higher rate (90% to 92.8%) when agreement was  found between fluoroscopy and manometry. CONCLUSIONS: Videoendoscopy is an  examination that can be used to detect inexpensively pharyngeal propulsion  disorders and aspiration episodes.",10.1097/00005537-199811000-00022,PubMed
1999,"Brady, S.","Brady, S. L.; Hildner, C. D.; Hutchins, B. F.",Dysphagia,Simultaneous videofluoroscopic swallow study and modified evans blue dye procedure: an evaluation of blue dye visualization in cases of known aspiration,"The reliability of the modified Evans blue dye (MEBD) test for the detection of aspirated materials in patients with tracheostomy has been questioned. The  videofluoroscopic swallow study (VFSS) has been the standard procedure used to  detect aspiration, but there are known risks and the VFSS is not always an  available evaluation option for aspiration detection. The purpose of the present  study was to investigate the visualization of blue tracheal secretions in cases  of known aspiration as documented by the VFSS. Twenty consecutive simultaneous  MEBD study and VFSS were completed on patients with tracheostomies at an acute  rehabilitation hospital. Overall, the MEBD showed a 50% false-negative error  rate. The MEBD identified aspiration in 100% of patients who aspirated more than  trace amounts but failed to identify aspiration of trace amounts (0%).",10.1007/pl00009596,PubMed
1999,"Calkins, C.","Calkins, C. M.; Christians, K. K.; Sell, L. L.",Journal Of Pediatric Surgery,Cost analysis in the management of esophageal coins: endoscopy versus bougienage,"PURPOSE: The aim of this study was to compare the safety, efficiency, and overall cost effectiveness of esophageal bougienage versus endoscopy in the retrieval of  ingested coins. METHODS: Retrospective review of patients treated for esophageal  coin ingestion at Children's Hospital of Wisconsin over a 1-year period using  bougienage or endoscopic retrieval was conducted. (inclusion criterion) RESULTS:  Twenty-seven patients were evaluated over the 1-year study period. Two patients  spontaneously passed the coins before arrival and needed no further treatment.  Twelve patients met criteria for bougienage, and this treatment was successful in  10 of the 12 patients. Mean length of hospital stay was 2.15 hours, and the mean  cost was $546. Thirteen patients were treated successfully with endoscopy. The  mean length of hospital stay was 22.7 hours, and the mean cost was $5,230. There  were no complications in any of the 25 patients. CONCLUSIONS: Bougienage is  equally safe, more efficient, and much less expensive than endoscopy for  treatment of esophageal coins in properly selected patients. Nearly half of the  patients were excluded from bougienage because of delayed presentation alone.  Education of parents and physicians regarding symptoms of coin ingestion would  allow primary treatment with bougienage in the majority of cases.",10.1016/s0022-3468(99)90488-8,PubMed
1999,"Cheng, W.","Cheng, W.; Tam, P. K.",Journal Of Pediatric Surgery,"Foreign-body ingestion in children: experience with 1,265 cases","BACKGROUND/PURPOSE: This study aims to elucidate the clinical presentation, the effectiveness of investigations, and treatment of foreign body ingestion in  children and to formulate an algorithm of management. METHODS: The records of  children admitted to a single institution who had a history of foreign body  ingestion over 33 years were reviewed. Symptoms, radiological findings, and  endoscopic findings were assessed. RESULTS: Foreign bodies were detected in 552  (43%) of the 1,265 children admitted. The age of the children ranged from 6  months to 16 years (mean, 5.2 years). The preschool toddlers (mean age, 3.8  years) were most prone to ingest inanimate objects. The most common objects were  coins (49%) and nonmetallic sharp objects (NMSO; 31%). Although x-rays could  detect all the metallic objects and 86% of glass objects, the sensitivity of fish  bone detection is only 26%. Absence of symptoms was common (50% in metallic group  and 29% in NMSO group). Forty-one percent of coins and 95% of NMSO were lodged at  sites suitable for removal by direct laryngoscopy alone with success rates of 86%  and 77%, respectively. There were 3 disease-related complications and 1  mortality. Two of these children were mentally retarded and presented late.  CONCLUSIONS: Efforts for prevention of ingestion of inanimate foreign body should  focus on the preschool toddler group. Particular attention should be paid to  mentally retarded children with vague gastrointestinal symptoms. Absence of  symptoms does not preclude presence of foreign body in children. Children with  history of NMSO ingestion should undergo direct laryngoscopy despite negative  radiological finding, both as a screening procedure or treatment.",10.1016/s0022-3468(99)90106-9,PubMed
1999,"Kuo, J.","Kuo, J. Y.; Mo, L. R.; Tsai, C. C.; Chou, C. Y.; Lin, R. C.; Chang, K. K.",Endoscopy,Nonoperative treatment of gastric bezoars using electrohydraulic lithotripsy,"BACKGROUND AND STUDY AIMS: Bezoars are collections of indigestible foreign material that are found within the gastrointestinal tract. Nonoperative  approaches such as dietary therapy, enzymatic dissolution, and endoscopic removal  have been regarded as the mainstays of therapy. The purpose of this paper is to  determine the efficacy of electrohydraulic lithotripsy (EHL) as an alternative  form of treatment of gastric bezoars. PATIENTS AND METHODS: Between July 1988 and  May 1996, 11 patients with large gastric bezoars, defined as those greater than 5  cm in diameter, received endoscopic-guided fragmentation using electrohydraulic  lithotripsy. Nine of our patients had a history of ingestion of ""Pho Pu Zi"",  (Cordia dichotoma Frost. f.), one of orange pitch, and one of ingestion of  persimmon. RESULTS: The 11 patients in the study underwent EHL for the treatment  of their gastric bezoars, with a 100% success rate, which was defined as the lack  of residual bezoar seen on post-procedure barium study or endoscopy done 2 days  after the procedure. Patients were followed-up clinically for 30-68 months, with  seven of the 11 patients undergoing a barium study with no residual bezoar noted.  No procedure-related complications were seen, except for pharyngeal pain which  was most probably secondary to the placement of the silicon overtube.  CONCLUSIONS: Endoscopically guided electrohydraulic lithotripsy is a safe, highly  effective, alternative nonsurgical technique for the treatment of gastric  bezoars.",10.1055/s-1999-24,PubMed
1999,"O'Hara, S.","O'Hara, SM; Donnelly, LF; Chuang, E; Briner, WH; Bisset, GS",Radiology,Gastric retention of zinc-based pennies: radiographic appearance and hazards,"PURPOSE: To determine the radiographic appearance and features of corrosion in U.S. coins exposed to gastric acid. MATERIALS AND METHODS: Six U.S. copper-based pre-1982 pennies, 12 zinc-based post-1982 pennies, a quarter, a nickel, and a dime were exposed to postprandial concentrations of gastric acid (0.15N HCl) for 7 days, and radiographs were obtained daily. Half the zinc-based coins were scraped to disrupt their copper coating. Coins were weighed at the start and completion of the study. RESULTS: Post-1982 zinc-based pennies developed radiolucent corrosive changes within 24 hours. Erosions on the coins became more apparent over time. Frank holes were present on day 2. The weights of these coins decreased 5%-8% during the study. Pre-1982 copper pennies and silver-colored coins showed no change on radiographs over 7 days. CONCLUSION: Unexpected radiolucent corrosions may develop in post-1982 zinc alloy pennies when retained in the stomach. Coins have long been considered innocuous foreign bodies in the gastrointestinal tracts of children. However, because of the potential for ulceration and zinc-related morbidity, closer clinical and radiographic observation is warranted. Coins with scalloped edges or holes should be endoscopically removed, as they have likely been retained longer than 1 or 2 days.",10.1148/radiology.213.1.r99oc36113,Web of Science
2001,"Robins, B.","Robins, B.; Das, A. K.",Anesthesia And Analgesia,Anesthetic management of acquired tracheoesophageal fistula: a brief report,"Tracheoesophageal fistula may be either a congenital lesion or an acquired condition, most often resulting from foreign body ingestion. Location of the  lesion has implications for anesthetic management and single lung ventilation may  be required to facilitate surgical repair. In pediatric patients, intentional  mainstem intubation may be required.",10.1097/00000539-200110000-00020,PubMed
2001,"Vicente, Y.","Vicente, Y.; Hernandez-Peredo, G.; Molina, M.; Prieto, G.; Tovar, J. A.",Journal Of Pediatric Surgery,Acute food bolus impaction without stricture in children with gastroesophageal reflux,"BACKGROUND/PURPOSE: This report identifies a group of children in whom severe acute food bolus impaction (AFBI) was the leading symptom of gastroesophageal  reflux (GER) in the absence of stricture. METHODS: The esophageal structure and  function of 8 patients treated for AFBI requiring endoscopic removal of  alimentary foreign bodies in 6 of them (up to 4 times in 1 case) were  investigated by barium meal, esophagoscopy-biopsy, pH-metering, pull-through  stationary manometry, and 24-hour ambulatory manometry. The results were compared  with those in a group of age-matched regular refluxers (n = 14) without AFBI.  RESULTS: Six boys and 2 girls aged 108 +/- 59 months had impaction. Six children  had symptoms of GER like vomiting during infancy, heartburn, or respiratory tract  disease. Barium swallow ruled out stenosis in all patients and showed small  hiatal hernias in 3. All had endoscopic and histologic esophagitis (moderate to  severe in 6), and one had Schatzki ring. All but one (who had 8.45 mm Hg) had  normal lower esophageal sphincter pressure (16.2 +/- 4.7 mm Hg, mean +/- SD), and  all showed normal sphincteric relaxation. Esophageal body motility was not  significantly different from that in regular refluxers except in 6 children in  whom energetic distal peristalsis after reflux episodes could be seen  particularly during the night. Three of them had amazingly powerful distal waves  during the day and even stronger, simultaneous, wide and bizarre-shaped waves  during sleep. Symptoms improved in all cases after antireflux medication. Four  patients were cured after antireflux surgery. CONCLUSIONS: AFBI is a dramatic but  practically unheard of symptom of GER in children. It should be differentiated  from dysphagia and reveals motor dysfunction, sometimes severe, of the esophageal  body in the absence of sphincteric obstruction. Antireflux medication or surgery  were uniformly successful in our patients.",10.1053/jpsu.2001.26381,PubMed
2002,"Moshfeghi, D.","Moshfeghi, Darius M.; Wilson, Matthew W.; Martin, Terry L.; Haik, Barrett G.",Ophthalmic Plastic And Reconstructive Surgery,Swallowed ocular prostheses: report of three cases in children with retinoblastoma,"PURPOSE: To report 3 instances of 2 children who swallowed their ocular prostheses. METHODS: A 30-month-old boy whose eye had been enucleated for  retinoblastoma swallowed his ocular prosthesis on 2 different occasions, and a  32-month-old boy whose eye had also been enucleated for retinoblastoma swallowed  his ocular prosthesis once. RESULTS: In the second child, an abdominal radiograph  was obtained, but the swallowed prosthesis was not apparent, and radiographic  imaging of the recovered prosthesis failed to demonstrate an identifiable object.  In each case, the prosthesis was recovered in the child's stool without incident  several weeks later. Neither child had physical complications as a result of the  swallowing events. CONCLUSIONS: We report 3 instances in which a child fitted for  an ocular prosthesis after enucleation swallowed his prosthesis and had no  untoward effects. The failure of imaging to detect the prostheses in the second  child is attributed to the radiolucent nature of materials used in the  manufacture of the prosthesis. Each of the children was having life stresses in  addition to his medical treatment that may have accounted for his behavior.",10.1097/00002341-200205000-00011,PubMed
2003,"Janik, J.","Janik, JE; Janik, JS",Journal Of Pediatric Surgery,Magill forceps extraction of upper esophageal coins,"Background/Purpose: This study demonstrates a minimally invasive technique for upper esophageal coin extraction. Methods: A retrospective review was conducted of 36 children who had upper esophageal coins extracted using a Magill forceps. Results: All coins were removed without complication in approximately 45 seconds (33 on the first attempt, 3 on the second attempt). onclusions: This technique minimizes instrumentation of the esophagus and is highly successful at removing coins lodged at or immediately below the level of the cricipharyngeus muscle. Copyright 2003, Elsevier Science (USA). All rights reserved.",10.1053/jpsu.2003.50049,Web of Science
2003,"Kieffer, E.","Kieffer, E; Chiche, L; Gomes, D",Annals Of Surgery,Aortoesophageal fistula - value of in situ aortic allograft replacement,"Purpose: The purpose of this report is to describe our experience in management of aortoesophageal fistulas (AEF) with special emphasis on the value of in situ aortic allograft replacement. Patients: Nine patients presenting with AEF were observed between May 1988 and April 2002. There were 4 men and 5 women with a mean age of 54.3 years (range, 32-77 years). Six patients presented secondary AEF after aortic repair. Two patients presented primary AEF after rupture of an atherosclerotic aneurysm into the esophagus. In the remaining patient, AEF was caused by swallowing a fishbone. In 6 cases involving true AEF with a direct communication between the aorta and esophagus, massive exsanguinating hematemesis occurred. It was usually preceded by minor sentinel bleeding, Two patients presented esophagoparaprosthetic fistula (EPPF). One patient presented primary AEF that was contained by a large thrombus in the communication. The clinical picture in these 3 patients involved severe sepsis without hemorrhage. Results: Two patients died as a result of massive hemorrhage before assessment and surgical treatment could be undertaken. One 77-year-old woman presenting EPPF refused to undergo surgery and died because of infection. The remaining 6 patients underwent surgical treatment with various outcomes. One man died during thoracotomy caused by exsanguinating hemorrhage. One woman presenting EPPF was treated by exclusion followed by ascending aorta to abdominal aorta bypass grafting, removal of the prosthesis, esophageal exclusion, and directed esophageal fistula. She died of infection. The other 4 patients were treated by in situ aortic allograft replacement. The damaged esophagus was repaired by using the Tha1 technique in 1 patient. In the remaining 3 cases subtotal esophagectomy was performed in association with cervical esophagostomy, ligation of the abdominal esophagus, gastrostomy, and jejunostomy. One patient died of sepsis during the first 24 hours after the operation. The other 3 patients underwent secondary esophagoplasty and survived with no further sign of infection. Mean duration of follow-up in the survivor group was 53 months (range, 15-95 months). Overall 6 patients, including 3 that did not undergo surgical treatment, died and 3 patients survived. Conclusion: Our experience confirms that AEF is a rare but catastrophic disorder. In situ allograft replacement usually in association with subtotal esophagectomy appears to be an excellent salvage modality whenever emergency surgery is feasible.",10.1097/01.sla.0000080828.37493.e0,Web of Science
