Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments
583,2008,"Bisharat, May; O'Donnell, Mark E.; Gibson, Niall; Mitchell, Michael; Refsum, Sigi R.; Carey, P. Declan; Spence, Roy Aj; Lee, Jack",Foreign body ingestion in prisoners - the Belfast experience,The Ulster Medical Journal,Bibliography Search,,,,,,,,
584,2008,"Chao, Hsiao-Hsiang; Chao, Tzu-Chieh",Perforation of the duodenum by an ingested toothbrush,World Journal of Gastroenterology,Bibliography Search,,,,,,,,
585,2008,"Hergüner, Sabri; Ozyildirim, Ilker; Tanidir, Cansaran",Is Pica an eating disorder or an obsessive-compulsive spectrum disorder?,Progress in Neuro-Psychopharmacology & Biological Psychiatry,Bibliography Search,,,,,,,,
586,2008,"Kariholu, P. L.; Jakareddy, R.; Hemanthkumar, M.; Paramesh, K. N.; Pavankumar, N. P.",Pica - a case of acuphagia or hyalophagia?,The Indian Journal of Surgery,Bibliography Search,,,,,,,,
587,2008,"O'Donnell, M. E.; Gibson, N.; Sharif, M. A.; Spence, R. a. J.; Lee, J.",Crohn's disease of the terminal ileum: a cheap diagnosis,Irish Journal of Medical Science,Bibliography Search,,,,,,,,
588,2008,"Rodríguez-Hermosa, J. I.; Codina-Cazador, A.; Sirvent, J. M.; Martín, A.; Gironès, J.; Garsot, E.",Surgically treated perforations of the gastrointestinal tract caused by ingested foreign bodies,Colorectal Disease: The Official Journal of the Association of Coloproctology of Great Britain and Ireland,Bibliography Search,,,,,,,,
589,2008,"Schierling, Steven; Snyder, Samuel K.; Custer, Monford; Pohl, John F.; Easley, David",Magnet ingestion,The Journal of Pediatrics,Bibliography Search,,,,,,,,
590,2009,"Bhatia, Manjeet S.; and Gupta, Ravi",Pica responding to SSRI: An OCD spectrum disorder?,The World Journal of Biological Psychiatry,Bibliography Search,,,,,,,2025-04-10 08:23:54,
591,2009,"Ersoy, Y. E.; Ayan, F.; Ayan, F.; Ersan, Y.",Gastro-intestinal bezoars: thirty-five years experience,Acta Chirurgica Belgica,Bibliography Search,,,,,,,,
592,2009,"Prieto-Aldape, Manuel Rodrigo; Almaguer-García, Francisco Issac; Figueroa-Jiménez, Sandra Edith; Fernández-Díaz, Oscar; Mora-Huerta, José Antonio; González-Ojeda, Alejandro",Relapsing massive metal bezoar: a case report,Journal of Medical Case Reports,Bibliography Search,,,,,,,2025-04-14 13:28:25,
593,2009,"Saeed, Atif; Johal, Navroop S.; Aslam, Adil; Brain, Jeffrey; Fitzgerald, Ray J.",Attraction problems following magnet ingestion,Annals of the Royal College of Surgeons of England,Bibliography Search,,,,,,,,
594,2009,"Yasin, Malik Amjad; Malik, Ghazala Nasreen; Malik, Sikandar Ali; Rathore, Farooq Azam",Metal in stomach: a rare cause of gastric bezoar,BMJ Case Reports,Bibliography Search,,,,,,,2025-04-14 13:29:35,
595,2010,"Ahmed, Ali M.; Hassab, Mohamed H.; Al-Hussaini, Abdulrahman A.; Al-Tokhais, Tariq I.",Magnetic toy ingestion leading to jejunocecal fistula in a child,Saudi Medical Journal,Bibliography Search,,,,,,,,
596,2010,"Başpinar, Irfan; Sahin, Savaş; Erdoğan, Gültekin",[Acute mechanical intestinal obstruction after ingestion of foreign bodies: a case report],Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery: TJTES,Bibliography Search,,,,,,,,
597,2010,"Brown, Daniel J.",Small bowel perforation caused by multiple magnet ingestion,The Journal of Emergency Medicine,Bibliography Search,,,,,,,,
598,2010,"Fry, Emily; Counselman, Francis L.",A right scrotal abscess and foreign body ingestion in a schizophrenic patient,The Journal of Emergency Medicine,Bibliography Search,,,,,,,,
600,2010,"Karaman, A.; Torun, E.; Celikbilek, M.; Gürsoy, S.; Ozbakir, O.",Endoscopic Removal of an Unusual Foreign Body Causing Gastrointestinal Bleeding,Case Reports in Gastroenterology,Bibliography Search,,,,,,,,
601,2010,"Smit, Samuel J. A.; Kleinhans, F.",Surgical practice in a maximum security prison - unique and perplexing problems,South African Medical Journal = Suid-Afrikaanse Tydskrif Vir Geneeskunde,Bibliography Search,,,,,,,,
602,2010,"te Wildt, Bert T.; Tettenborn, Christian; Schneider, Udo; Ohlmeier, Martin D.; Zedler, Markus; Zakhalev, Roman; Krueger, Martin",Swallowing Foreign Bodies as an Example of Impulse Control Disorder in a Patient With Intellectual Disabilities,Psychiatry (Edgmont),Bibliography Search,,,,,,,2025-04-14 13:17:57,
604,2011,"Siddiqui, Zaka Ur Rab",Metal bezoars causing upper gastrointestinal obstruction in a schizophrenic,APSP journal of case reports,Bibliography Search,,,,,,,,
605,2011,"Sung, Sang Hun; Jeon, Seong Woo; Son, Hyuk Su; Kim, Sung Kook; Jung, Min Kyu; Cho, Chang Min; Tak, Won Young; Kweon, Young Oh",Factors predictive of risk for complications in patients with oesophageal foreign bodies,Digestive and Liver Disease: Official Journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,Bibliography Search,,,,,,,,
606,2011,"Tokarski, Zbigniew; Florkowski, Antoni; Talarowska, Monika; Wierzbiński, Piotr; Łopacińska, Iwona; Zboralski, Krzysztof; Szubert, Sławomir",[Self-aggressive behavior in prisons],Polski Merkuriusz Lekarski: Organ Polskiego Towarzystwa Lekarskiego,Bibliography Search,,,,,,,,
607,2011,"Tonkic, Ante; Bogdanovic, Zoran; Grandić, Leo",Successful endoscopic removal of a swallowed toothbrush: case report,Case Reports in Gastroenterology,Bibliography Search,,,,,,,,
608,2011,"Wu, W.-T.; Chiu, C.-T.; Kuo, C.-J.; Lin, C.-J.; Chu, Y.-Y.; Tsou, Y.-K.; Su, M.-Y.",Endoscopic management of suspected esophageal foreign body in adults,Diseases of the Esophagus: Official Journal of the International Society for Diseases of the Esophagus,Bibliography Search,,,,,,,,
609,2012,"Ambe, Peter; Weber, Sebastian A.; Schauer, Mathias; Knoefel, Wolfram T.",Swallowed Foreign Bodies in Adults,Deutsches Ärzteblatt international,Bibliography Search,,,,,,,2025-04-14 18:10:08,
610,2012,"Atluri, Dileep; Veluru, Chandra; Chopra, Anish; Mullen, Kevin D.",Recurrent Intentional Foreign Body Ingestion: An Endoscopist's Dilemma,Gastroenterology & Hepatology,Bibliography Search,,,,,,,,
611,2012,"Cevizci, Mehmet Nuri; Karadağ, Cetin Ali; Demir, Mesut; Dokucu, Ali Ihsan",[Intestinal perforation due to multiple magnet ingestion: a case report],Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery: TJTES,Bibliography Search,,,,,,,,
612,2012,"Chiu, Yu-Hui; Hou, Sen-Kuang; Chen, Sau-Chin; How, Chorng-Kuang; Lam, Carlos; Kao, Wei-Fong; Yen, David Hung-Tsang; Huang, Mu-Shun",Diagnosis and endoscopic management of upper gastrointestinal foreign bodies,The American Journal of the Medical Sciences,Bibliography Search,,,,,,,,
613,2012,"Liu, Shiqi; Li, Jianhui; Lv, Yi",Gastrointestinal damage caused by swallowing multiple magnets,Frontiers of Medicine,Bibliography Search,,,,,,,,
614,2012,"Palese, Caren; Al-Kawas, Firas H.",Repeat intentional foreign body ingestion: the importance of a multidisciplinary approach,Gastroenterology & Hepatology,Bibliography Search,,,,,,,,
615,2012,"Peng, Anquan; Li, Youzhong; Xiao, Zian; Wu, Weijing",Study of clinical treatment of esophageal foreign body-induced esophageal perforation with lethal complications,European Archives of Oto-Rhino-Laryngology,Bibliography Search,,,,,,,2025-04-14 14:25:07,
616,2012,"Sewpaul, A.; Shaban, F.; Venkatasubramaniam, A. K.; Tennant, D.; Kelly, S. B.",The case of the forgotten toothbrush,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,,
617,2013,"Ataya, A.; Alraiyes, A.H.; Alraies, M.C.",Razor blades in the stomach,QJM: An International Journal of Medicine,Bibliography Search,,,,,,,2025-04-14 14:41:07,
618,2013,"Cevik, Muazez; Gókdemir, Mehmet Tahir; Boleken, Mehmet Emin; Sogut, Ozgur; Kurkcuoglu, Can",The characteristics and outcomes of foreign body ingestion and aspiration in children due to lodged foreign body in the aerodigestive tract,Pediatric Emergency Care,Bibliography Search,,,,,,,,
619,2013,"Erbil, Bülent; Karaca, Mehmet Ali; Aslaner, Mehmet Ali; Ibrahimov, Zaur; Kunt, Mehmet Mahir; Akpinar, Erhan; Özmen, Mehmet Mahir",Emergency admissions due to swallowed foreign bodies in adults,World Journal of Gastroenterology,Bibliography Search,,,,,,,,
620,2013,"Fine, Sean; Watson, James B.; Habr, Fadlallah","Now You See It, Endo You Don't: Case of the Disappearing Knife",Gastroenterology,Bibliography Search,,,,,,,2025-04-14 14:25:36,
621,2013,"Kumar, Gupta Suresh; Amar, Verma; Ramesh, Bharti; Abbey, R. K.",Bizarre Metal Bezoar: A Case Report,Indian Journal of Surgery,Bibliography Search,,,,,,,2025-04-14 13:29:54,
622,2013,"Li, Quan-Peng; Ge, Xian-Xiu; Ji, Guo-Zhong; Fan, Zhi-Ning; Zhang, Fa-Ming; Wang, Yun; Miao, Lin",Endoscopic retrieval of 28 foreign bodies in a 100-year-old female after attempted suicide,World Journal of Gastroenterology,Bibliography Search,,,,,,,,
623,2013,"Misra, S.; Jain, V.; Ahmad, F.; Kumar, R.; Kishore, N.",Metallic sewing needle ingestion presenting as acute abdomen,Nigerian Journal of Clinical Practice,Bibliography Search,,,,,,,,
