Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
2006,"Ayantunde, A.","Ayantunde, AA; Oke, T",International Journal Of Clinical Practice,A review of gastrointestinal foreign bodies,"Gastrointestinal tract (GIT) foreign bodies represent a significant clinical problem in the Emergency Department, causing a high degree of financial burden, morbidity and mortality. A large variety of foreign bodies are accidentally ingested or inserted into the GIT in different age groups. This a retrospective review of 38 patients who presented to the Emergency Department with GIT foreign bodies between January 2001 and December 2004. Computer database and case note search of patients' personal data, nature of the foreign objects and mode of entry to the GIT were recorded. There were 30 males and eight females (M : F ratio of 3.75:1) with an age range of 10 months to 87 years (median age 25.5 years). Foreign body ingestion/insertion was accidental in 14 patients, deliberate in 11, for anal erotism in 11 and as a result of assault in two cases. The median time before presentation was 12 h, and the mean length of hospital stay was 1.7 days. Treatment was conservative in 15 patients; five patients had gastroscopic retrieval; 15 patients underwent examination under anaesthetic, retrieval and proctosigmoidoscopy and three patients underwent laparotomy for impacted foreign bodies. GIT foreign body ingestion or insertion is common; however, majority of cases can be successfully managed conservatively.",10.1111/j.1368-5031.2006.00709.x,Web of Science
2006,"Golz, A.","Golz, A; Netzer, A; Gordin, A; Westerman, ST; Joachims, HZ",American Journal Of Otolaryngology,Safe extraction of an impacted open safety pin from the esophagus: report of 9 cases,"Purpose: Foreign body ingestion is a common problem in children. An infrequent ingested item is an open safety pin (SP), which may become lodged in the esophagus and presents the endoscopist a challenge to his surgical judgment and technical skills. Materials and methods: We present 9 cases of infants with open SPs impacted in the esophagus and discuss the different options to treat these cases. Results and conclusions: The management of open SP ingestion is discussed, along with a review of the literature regarding this rare condition. (C) 2006 Elsevier Inc. All rights reserved.",10.1016/j.amjoto.2006.01.006,Web of Science
2006,"Waltzman, M.","Waltzman, ML",Current Opinion In Pediatrics,Management of esophageal coins,"Purpose of review Coins are the most commonly ingested foreign body encountered in the pediatric population. Coins that are in the esophagus and are causing symptoms (cough, stridor, respiratory distress, drooling or pain) are managed with immediate removal via various methods. Asymptomatic coins have been a perplexing problem to the clinician for decades, with some advocating for immediate removal while others are proponents of 'watchful waiting'. Recent findings This article will provide a review of the current literature on management options for symptomatic and asymptomatic esophageal coins. The article will discuss clinical decision-making strategies for the diagnosis of the unwitnessed ingestion, as well as diagnostic studies, such as plain radiographs, as well as novel modalities, such as metal detectors. Discussion of the anatomic issues related to esophageal foreign bodies will be addressed. Treatment i options for asymptomatic patients will be reviewed utilizing data from retrospective studies as well as a prospective randomized trial. Summary In the symptomatic patient with an esophageal coin, immediate removal via endoscopy is recommended. For the asymptomatic patient with an esophageal coin, current data support expectant management for a period of 12-24 h with the hope of spontaneous passage and avoidance of general anesthesia and surgical procedure.",10.1097/01.mop.0000245361.91077.b5,Web of Science
2006,"Wong, K.","Wong, KKY; Fang, CX; Tam, PKH",Journal Of Pediatric Surgery,Selective upper endoscopy for foreign body ingestion in children: an evaluation of management protocol after 282 cases,"Purpose: Foreign body ingestion is a common problem in both children and adults. This study aims toevaluate a management protocol where endoscopic examination was only selectively used after routine direct laryngoscopy to minimize patient discomfort and the need for general anesthesia in children. Method: A management protocol for foreign body ingestion based on symptoms was introduced in 1998 and records of children admitted to a university-affiliated hospital between January 1999 and October 2005 with suspected foreign body ingestion were evaluated. Symptoms, radiologic and endoscopic findings, and outcome were reviewed. Results: A total of 282 patients were admitted. The mean age of patients was 5.75 years (range, 9 months to 17 years). There were 167 boys and 115 girls. Based on our protocol, 84 (29.8%) patients required an upper endoscopy. Fish bones were most commonly involved (68.8%). Foreign bodies, which were either removed or dislodged, were found during upper endoscopy in only 25 (8.8%) patients overall. All patients had an uneventful outcome. No complications or mortalities were encountered. There were no readmissions for those who did not undergo endoscopic examination. Conclusion: It is safe to selectively perform upper endoscopy depending on symptoms when managing children with foreign body ingestion. (c) 2006 Elsevier Inc. All rights reserved.",10.1016/j.jpedsurg.2006.08.029,Web of Science
2007,"Dahshan, A.","Dahshan, AH; Donovan, GK",Journal Of Clinical Gastroenterology,Bougienage versus endoscopy for esophageal coin removal in children,"Background: Foreign body ingestion is a common pediatric problem. Coins are by far the most common ingested foreign bodies. When ingested coins become lodged in the esophagus, they may cause serious complications if they are not removed in a timely manner. Endoscopic removal is the preferred treatment in many pediatric centers as its safety and effectiveness are well established. Objectives: We performed this study to evaluate safety and effectiveness of an alternative method of managing esophageal coins, using bougienage technique. Methods: Previously healthy children presenting to the local emergency room with uncomplicated, witnessed coin ingestion of less than 24 hours duration were prospectively recruited with an intent-to-treat analysis. A single oral passage of a Hurst bougie dilator was performed by a gastroenterologist to dislodge the esophageal coin into the stomach. If bougienage was successful (x-ray showing coin in the stomach), patients were discharged and instructions were given for monitoring stools until passage of the coin through anus was confirmed. If bougienage was unsuccessful, the child developed symptoms at any time or if a coin remained intragastric for 4 weeks, endoscopic removal was planned. Children whose parents declined to participate in the bougienage treatment received the standard endoscopic removal and their hospital records were used as controls. Results: A total of 10 children were enrolled in this study, with a mean age of 3.2 years (I I mo to 10 y), 6 boys and 4 girls. All received little or no sedation. Nine children (90%) were successfully treated using bougienage, all of whom spontaneously passed the ingested coins, with a mean duration of 2.6 days (I to 7 d) without subsequent intervention. A single case failed bougienage and underwent endoscopic removal. Three children declined bougienage treatment and underwent endoscopic removal. There were no reported minor or major adverse events with any of our cases. The mean health care cost for the hospital visit for bougienage treatment was $1210, compared with $3100 for the endoscopic removal (P < 0.001). Furthermore, the mean time spent in the hospital from diagnosis to discharge was 2 hours for bougienage-treated patients compared with 8 hours for endoscopic treatment (P < 0.001). Conclusions: Bougienage of impacted esophageal coins is an effective, safe, and more economic treatment modality for selected pediatric patients with uncomplicated coin ingestion. This simple technique may provide a valuable tool to emergency room physicians or primary care doctors especially when endoscopy is not readily available.",10.1097/01.mcg.0000225622.09718.5f,Web of Science
2009,"Luk, W.","Luk, WH; Fan, WC; Chan, RYY; Chan, SWW; Tse, KH; Chan, JCS",Journal Of Laryngology And Otology,Foreign body ingestion: comparison of diagnostic accuracy of computed tomography versus endoscopy,"Purpose: To investigate and compare the sensitivity and specificity of computed tomography and of endoscopy, as diagnostic tests for foreign body ingestion. Materials and methods: Over a two-year period, Asian patients with suspected foreign body ingestion were studied. The clinical findings, computed tomography images, endoscopic results, treatment and outcomes were prospectively analysed. Results: Over the study period, 193 patients were admitted for foreign body ingestion, complaining of a persistent foreign body sensation in the neck. The sensitivity and specificity of computed tomography were 78 and 96 per cent, respectively; the positive predictive value was 75 per cent and the negative predictive value 97 per cent. The diagnostic accuracy of computed tomography was 94 per cent. Conclusion: Our study showed that computed tomography had high negative predictive value and accuracy in the diagnosis of foreign body ingestion. It was useful if endoscopy showed negative findings but the patient still had persistent symptoms of foreign body ingestion.",10.1017/s0022215108004118,Web of Science
2009,"Palta, R.","Palta, R; Sahota, A; Bemarki, A; Salama, P; Simpson, N; Laine, L",Gastrointestinal Endoscopy,Foreign-body ingestion: characteristics and outcomes in a lower socioeconomic population with predominantly intentional ingestion,"Background: Previous reports of foreign-body ingestions focused primarily on accidental ingestions. Objective: To describe the characteristics and management of foreign-body ingestions, with predominantly intentional ingestion, in a lower socioeconomic Status population. Design: A retrospective case series. Setting: An urban county hospital. Patients: Patients >= 17 years old, with foreign-body ingestions between 2000 and 2006. Main Outcome Measurements: Characteristics of ingestion cases, endoscopic extraction, need for surgery, and complications. Results: Among 262 cases, 92% were intentional, 85% involved psychiatric patients, and 84% Occurred in patients with prior ingestions. The time from ingestion to presentation was >48 hours in 168 cases (64%). T lie overall Success rate for endoscopic extraction was 90% (165/183 cases). Surgery was performed in 30 cases (11%) and was more common for objects beyond the pylorus versus objects above the pylorus (16/43 [37%] vs 10/151 [7%], respectively) and in cases with a greater delay from ingestion to presentation (25/168 [15%] if >48 hours vs 4/77 [5%] if <= 48 hours') and from presentation to intervention (15/40 [38%] if >48 hours vs 14/165 [8%] if <= 48 hours). Perforation occurred in 16 cases (6%), with 6 perforations noted after endoscopy. Limitation: A retrospective review of medical records. Conclusions: Foreign-body ingestions in an Urban county hospital occurred primarily in psychiatric patients who had repeated episodes of intentional ingestions. Endoscopic extraction Was unsuccessful in 10% of cases. Long delays from ingestion to presentation and intervention may account for relatively high rates of surgery and perforation. Strategies to prevent ingestions and delays in endoscopic management are needed in this population. (Gastrointest Endosc 2009;69:426-33.)",10.1016/j.gie.2008.05.072,Web of Science
2010,"Donnelly, L.","Donnelly, LF",Pediatric Radiology,Beverage can stay-tabs: still a source for inadvertently ingested foreign bodies in children,"In the 1970s in part to avoid inadvertent ingestion, the beverage-can industry changed can construction from pull-tabs to the stay-tabs (remain attached to can after opening) used today. Our purpose is to identify the number of inadvertent ingestions of beverage-can stay-tabs by children recognized at our institution. The medical information system of a children's hospital was searched with key terms to identify cases in which a witnessed or self-reported inadvertent ingestion of a beverage-can stay-tab resulted in a radiograph to rule out presence of a foreign body. Demographics, identification of stay-tab on radiographs, associated abnormalities, and patient management were reviewed. Nineteen cases of stay-tab ingestion were identified over 16 years. Mean age of ingesters was 8.5 years with the majority being teenagers and 15 (79%) > 5 years of age. The stay-tab could be seen radiographically only in 4 (21%) cases-all with the stay-tab identified in the stomach. The identification of 19 children who inadvertently ingested beverage-can stay-tabs at a single children's hospital suggests that such ingestions still occur. Radiologists should be aware that stay-tabs are radiographically visible in the minority (21%) of cases.",10.1007/s00247-010-1651-5,Web of Science
2010,"Ioannidis, O.","Ioannidis, O; Kakoutis, E; Sakkas, L; Konstantara, A; Chatzopoulos, S; Kotronis, A; Makrantonakis, N",Acta Gastro-Enterologica Belgica,Ingested toothpick fistula of the ileum mimicking crohn's disease,"Foreign body ingestion is an accidental or an intentional event, with most of the ingested foreign bodies passing spontaneously through the gastrointestinal tract without incidents. About 10-20% of them, especially long and sharp objects like toothpicks, will fail to pass through the entire gastrointestinal tract and may cause symptoms. Toothpick injury of the gastrointestinal tract is often associated with considerable morbidity and mortality. The complications that can be caused by toothpick ingestion are obstruction, perforation, hemorrhage, fistula formation, small bowel inflammation, sepsis and even death. Diagnosis of toothpick injury can be difficult as there are no specific physical findings or laboratory examinations which may aid the diagnosis and even imaging studies are of little help as wooden toothpicks are radiolucent. We report a rare case of incidental toothpick ingestion which caused an ileum fistula and mimicked Crohn's disease. (Acta gastroenterol belg., 2010, 73, 527-529)",,Web of Science
2011,"Caliskan, C.","Caliskan, C; Makay, O; Firat, O; Karaca, AC; Akgun, E; Korkut, MA",Surgery Today,Foreign bodies in the rectum: an analysis of 30 patients,"A foreign body in the rectum is a rare clinical entity. These foreign bodies can be classified under two major groups: the ones that are inserted from the anus and the ones that are swallowed and thereafter become stuck in the rectum. Data of patients admitted with a foreign body in the rectum between 1988 and 2008 were retrospectively analyzed. A total of 30 patients were reviewed. The most common reason for a foreign body in the rectum was insertion for erotic purposes, which was seen in 19 of the 30 patients. All these patients were male. The remaining 11 patients reported nonerotic causes. The most efficient and implemented therapeutic method was simple extraction during the first examination. The most common reason for a foreign body in the rectum is insertion for erotic purposes. The first target of therapy should be extraction of the foreign body using the simplest method possible. Meanwhile, protecting the integrity of the intestine is of the utmost importance. The care for maintaining the integrity of the rectum should include an evaluation of the patient's psychological status.",10.1007/s00595-009-4362-5,Web of Science
2011,"Lee, J.","Lee, JH; Lee, JS; Kim, MJ; Choe, YH",Pediatric Emergency Care,Initial location determines spontaneous passage of foreign bodies from the gastrointestinal tract in children,"Objective: The purpose of this study was to follow the natural course of spontaneous passage (SP) of ingested foreign bodies (FBs) in children. Methods: The medical records of 249 patients who ingested FBs were reviewed. In addition, they were studied by telephone questionnaires to follow up spontaneously passed FB. The factors associated with SP such as age, the type, size, and initial location of the FBs were analyzed. Results: Foreign bodies were spontaneously passed in 145 patients (58.2%), endoscopic removal was performed in 100 patients (40.2%), and operative removal was performed in 4 patients (1.6%). Most SP FBs were passed within 5 days. The SP rates (SPRs) according to the initial location were the following: 12.2% for the esophagus (P < 0.0001), 71.4% for the stomach, 85.7% for the small bowel, and 96.4% for the colon. There was no significant difference in the SPR according to age. When coins and disk batteries that required early endoscopic removal were excluded, the SPR was 63.4% for FBs less than 10 mm, 80.4% for FBs 10 to 20 mm, 72.8% for FBs 20 to 30 mm, and 50.0% for FBs more than 30 mm (P = 0.091). The initial location of the FB (odds ratio, 33.7; 95% confidence interval, 14.4-79.0) and the size of the FB (odds ratio, 3.5; 95% confidence interval, 1.0-11.6) were independent predictors of SP by multivariate analysis. Conclusions: Most FBs in the gastrointestinal tract are spontaneously passed without complication, and the initial location of FBs was found to be the main determining factor for SPR. Ingested FBs, in children, even sharp or relatively large FBs, can be spontaneously passed when they are located below the esophagus.",10.1097/pec.0b013e318213131a,Web of Science
2011,"Lewis, C.","Lewis, C; Hsu, HK; Hoover, E",Journal Of The National Medical Association,Aspiration of foreign bodies in adults with personality disorders: impact on diagnosis and recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological disorders.' Much has been written about psychiatric patients engaging in self-mutilation such as cutting and burning, but little is recorded about deliberate aspiration of objects in these patients, who clinically can be separated into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4) personality disorders. The immediate psychological gain for these patients is unclear, as the act is insidious with no evidence of intentional harm or immediate danger. Thus, they are considered as being parasuicidal events designed to diminish other psychological processes.' Aspirated objects that are not immediately dislodged by coughing, choking, or gagging require surgical intervention. Most of these patients usually come to the attention of a psychiatrist, but such intervention does not prevent recurrences. We discuss a schizophrenic patient who aspirated multiple coins while under psychiatric treatment for prior episodes of aspiration of coins, ingestion of objects, and insertion of others in his urethra and rectum, while also reviewing some of the diagnostic and therapeutic challenges inherent in the management of these patients:",10.1016/s0027-9684(15)30390-4,Web of Science
2011,"Lewis, C.","Lewis, Catherine; Hśu, Hwei-Kang; Hoover, Eddie",Journal Of The National Medical Association,Aspiration of foreign bodies in adults with personality disorders: impact on diagnosis and recurrence,"Most cases of foreign-body aspiration are accidental events in children, whereas the majority of adults will have neurological dysfunction, trauma, alcohol abuse, or psychological disorders. Much has been written about psychiatric patients engaging in self-mutilation such as cutting and burning, but little is recorded about deliberate aspiration of objects in these patients, who clinically can be separated into 4 groups: (1) malingering, (2) psychosis, (3) pica, and (4) personality disorders. The immediate psychological gain for these patients is unclear, as the act is insidious with no evidence of intentional harm or immediate danger. Thus, they are considered as being parasuicidal events designed to diminish other psychological processes. Aspirated objects that are not immediately dislodged by coughing, choking, or gagging require surgical intervention. Most of these patients usually come to the attention of a psychiatrist, but such intervention does not prevent recurrences. We discuss a schizophrenic patient who aspirated multiple coins while under psychiatric treatment for prior episodes of aspiration of coins, ingestion of objects, and insertion of others in his urethra and rectum, while also reviewing some of the diagnostic and therapeutic challenges inherent in the management of these patients. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",10.1016/s0027-9684(15)30390-4,PsycINFO
2011,"Poynter, B.","Poynter, BA; Hunter, JJ; Coverdale, JH; Kempinsky, CA",General Hospital Psychiatry,Hard to swallow: a systematic review of deliberate foreign body ingestion,"Objective: Deliberate foreign body ingestion (DFBI) is often impulsively driven, repetitive and refractory to intervention and frequently necessitates multiple medical interventions. As such, the frustrations among health care providers are great, and the financial toll on health care is significant. Nevertheless, the literature on DFBI is sparse, and suggestions for treatment planning and management are limited. The authors sought to investigate and uncover efficacious treatments and strategies for preventing reoccurrence in DFBI. We build on earlier work by offering both broad and diagnosis-specific management strategies. Method: A literature review was performed addressing the presentation, management and prevention of reoccurrences of DFBI. Four cases of DFBI are presented illustrating those psychiatric diagnoses (psychosis, malingering, obsessive compulsive disorder and borderline personality disorder) most frequently encountered in hospital practice. Both broad and specific treatment approaches are presented. Results: Patients engaging in DFBI are best managed through a multidisciplinary approach, following acute medical management. Successful strategies for the prevention of reoccurrences of DFBI are inconclusive. Conclusion: Understanding the function of this behavior is critical in developing treatment for patients who engage in these dangerous, potentially life-threatening, self-injurious behaviors. An amalgam of medical, pharmacological and cognitive behavioral interventions is recommended, as is additional research. (C) 2011 Elsevier Inc. All rights reserved.",10.1016/j.genhosppsych.2011.06.011,Web of Science
