Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,DOI,Duplicate,Exclude,Reason ID,Abstract2,
1984,"Weher, A.",AL Weher,"AL Weher - Otolaryngologic Clinics of North America, 1984 - Elsevier",Otolaryngologic Clinics Of North America,Radiology Of The Larynx,Diseases of the larynx cover a wide spectrum of different entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations ...,https://www.sciencedirect.com/science/article/pii/s0030666520319897,Google Scholar,10.1016/S0030-6665(20)31989-7,,FALSE,,"Diseases of the larynx cover a wide spectrum of difterent entities that are investigated by various radiologic techniques. The indications for these different radiologic examinations depend on the clinical problems to be investigated. Their judicious application requires an understanding of the value and limitations of these various radiologic modalities. It is the purpose of this report to enumerate and discuss the different radiologic methods of examining the larynx, their indications, and interpretation of the roentgen-ographic findings. Evaluation of the patient's symptoms and indirect lar-yngoscopy form the basis for selection of the radiologic studies. Table 1 lists the number of techniques that are available for assessment of the larynx.",
1986,"Wetli, R.","R Beerman, D Nunez, CV Wetli","R Beerman, D Nunez, CV Wetli - Gastrointestinal radiology, 1986 - Springer",Gastrointestinal Radiology,Radiographic Evaluation Of The Cocaine Smuggler,A retrospective analysis of the plain abdominal films of 53 “ body packer ” drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and ...,https://link.springer.com/article/10.1007/bf02035108,Google Scholar,10.1007/BF02035108,,TRUE,7,"A retrospective analysis of the plain abdominal films of 53  body packer  drug smugglers was performed to ascertain the importance of radiographic studies in the diagnosis and management of these patients. Eighty-nine percent had studies diagnostic for foreign body ingestion. Multiple, well-defined, homogeneous oval or oblong densities, especially if surrounded by a crescent of air (double-condom sign), are key findings. If these densities were found in the proximal ascending colon or upper gastrointestinal tract, the diagnosis was almost assured.

Six percent of patients exhibited complications suggested on serial radiographs, proving the necessity for follow-up studies until complete expulsion or removal of the foreign body.

Radiologic evaluation is essential in the diagnosis and management of the cocaine smuggler.",
1986,"Wagner, P.","PJ Mariani, DK Wagner","PJ Mariani, DK Wagner - The Journal of emergency medicine, 1986 - Elsevier",The Journal Of Emergency Medicine,Foley Catheter Extraction Of Blunt Esophageal Foreign Bodies,The case is reported of a successful Foley catheter extraction of two superimposed coins from the esophagus of an 8-year-old girl. The presence of the second coin was suspected only ...,https://www.sciencedirect.com/science/article/pii/0736467986900065,Google Scholar,10.1016/0736-4679(86)90006-5,,TRUE,3,"Abstract-The case is reported of a success-
ful Foley catheter extraction of two superim-
posed coins from the esophagus of an &year-
old girl. The presence of the second coin was
suspected only on review of the lateral cervical
radiograph. In a previous report, failure to ini-
tially diagnose the presence of an additional coin
resulted in an endoscopic failure to clear the
esophagus. The technical aspects of Foley ex-
traction are reviewed along with the controver-
sy surrounding the procedure. Series totaling
294 cases document a cumulative success rate
of 85% without significant complications. The
technique, when performed by airway experts,
is concluded to be a viable alternative to endo-
scopic removal. Lateral films, fluoroscopic ex-
traction, and barium studies in select cases are
recommended as safeguards against missing non-
obvious foreign bodies of the esophagus.",
1986,"Johnston, J.",JFW Johnston,"JFW Johnston - Journal of Psychoactive Drugs, 1986 - Taylor & Francis",Journal Of Psychoactive Drugs,The Narcotics We Indulge In. Part Ii,"In a previous number we treated of tobacco and the hop, the two narcotics of the most general and acknowledged use among our British population. But there are many others in ...",https://www.tandfonline.com/doi/pdf/10.1080/02791072.1986.10471393,Google Scholar,10.1080/02791072.1986.10471393,,TRUE,2,Abstract not available,
1988,"Kozarek, R.",RA Kozarek,"RA Kozarek - The Esophagus. Philadelphia: WB Saunders, 1988",The Esophagus. Philadelphia: Wb Saunders,Esophageal Foreign Bodies And Food Impaction,,None,Google Scholar,None,,TRUE,1,Abstract not available,
1988,"Strife, J.",JL Strife,"JL Strife - Radiologic Clinics of North America, 1988 - Elsevier",Radiologic Clinics Of North America,Upper Airway And Tracheal Obstruction In Infants And Children,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and ...",https://www.sciencedirect.com/science/article/pii/s0033838922009873,Google Scholar,10.1016/S0033-8389(22)00987-3,,FALSE,,"The radiologist plays a key role in the diagnosis of airway obstruction in children. Most diagnoses are made on the basis of plain films. In more complicated or complex entities, CT and MRI give excellent anatomic detail in defining the airway, associated soft tissues, and vascular relationships.",
1989,"Cristol, M.","MK Mountford, RE Cristol","MK Mountford, RE Cristol - Food, Drug, Cosmetic Law Journal, 1989 - JSTOR",Food,The Enteral Formula Market In The United States,The role of nutrition in the maintenance of optimal health has recognized for centuries. An understanding of the unique nutritiona quirements for certain medical conditions and diseases...,https://www.jstor.org/stable/26659397,Google Scholar,None,,TRUE,2,"The role of nutrition in the maintenance of optimal health has been recognized for centuries. An understanding of the unique nutritional requirements for certain medical conditions and diseases, however, has occurred primarily in the last twenty-five years. This knowledge has contributed to the development of a wide array of commercial enteral formulas. Health professionals increasingly utilize these products for nutrition support of malnourished patients.",
1989,"Garlick, D.","D Dayan, A Buchner, J Garlick","D Dayan, A Buchner, J Garlick - Journal of endodontics, 1989 - jendodon.com",Journal Of Endodontics,Touton-Like Giant Cells In Periapical Granulomas,"Two types of multinucleated giant cells were observed in periapical granulomas—th foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, ...",https://www.jendodon.com/article/s0099-2399(89)80237-7/abstract,Google Scholar,10.1016/S0099-2399(89)80237-7,,TRUE,2,"Two types of multinucleated giant cells were observed in periapical granulomasth foreign body type and the Touton type. In the Touton type, the nuclei were near the center of the cell, surrounded by foamy cytoplasm. Both types of giant cells reacted positively to lysozyme, _1-antitrypsin and _1-antichymotrypsin, indicating their histiocytic origin.",
1989,"Bolte, J.","JE Schunk, H Corneli, R Bolte","JE Schunk, H Corneli, R Bolte - American Journal of Diseases of ..., 1989 - jamanetwork.com",American Journal Of Diseases Of ...,Pediatric Coin Ingestions: A Prospective Study Of Coin Location And Symptoms,• Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of ...,https://jamanetwork.com/journals/jamapediatrics/article-abstract/514589,Google Scholar,10.1001/archpedi.1989.02150170044017,,FALSE,," Coins are the most common esophageal foreign body in children. We prospectively evaluated 52 consecutive children who had swallowed coins to determine the incidence of asymptomatic esophageal coins and the rate of spontaneous passage. All patients had a roentgenogram; coins were removed from the esophagus if the patient was symptomatic. Children with asymptomatic esophageal coins were allowed less than 24 hours to pass the coin to the stomach. Thirty children had esophageal coins; of these, 9 (30%) were asymptomatic. The presence of symptoms was significantly associated with esophageal coins, but the absence of symptoms did not reliably exclude the possibility of an esophageal coin. All children who swallow coins should undergo roentgenographic evaluation.",
1992,"Clarkston, W.",WK Clarkston,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Postgraduate Medicine,"Gastrointestinal Foreign Bodies: When To Remove Them, When To Watch And Wait","Preview Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest ...",https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,Google Scholar,10.1080/00325481.1992.11701481,,FALSE,,"Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest risk, and how can they be safely removed? What is the appropriate way to handle sharp objects? Button batteries? Packets of cocaine? Dr Clarkston addresses these and other questions in this article.",
1993,"Tomoo..., T.","T Ken, Y Sunichi, U Toshiro, T Tomoo...","T Ken, Y Sunichi, U Toshiro, T Tomoo... - Chinese Medical ..., 1993 - mednexus.org",Chinese Medical ...,Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,"Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of ...",https://mednexus.org/doi/abs/10.5555/cmj.0366-6999.106.10.p788.01,Google Scholar,10.5555/cmj.0366-6999.106.10.p788.01,,FALSE,,"Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of obstruction, bleeding and perforation of the intestine, or furthermore, they sometimes lead to death unfortunately. On the other hand, it is very difficult to diagnose and treat foreign bodies in the handicapped because of disability of complaining the symptoms. This paper reports a 31-year-old severe handicapped man suffering from foreign bodies in the esophagus and the small intestine, and was successful removed by endoscope.",
1993,"Towbin, R.","RD Kaye, RG Grifka, R Towbin","RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Radiologic Clinics Of North America,Intervention In The Thorax In Children,"The techniques and tools of interventional radiology have had a significant effect on the management of adult patients. The 1970s and 1980s have been a period of active development, ...",https://www.sciencedirect.com/science/article/pii/s0033838922026148,Google Scholar,10.1016/S0033-8389(22)02614-8,,FALSE,,"The techniques and tools of interventional ra-
diology have had a significant effect on the man-
agement of adult patients. The 1970s and 1980s
have been a period of active development,
growth, and acceptance of these techniques in
children."" The increasing number of skilled prac-
titioners involved in pediatric interventional radi-
ology have successfully applied the advances in
diagnostic and therapeutic interventional proce-
dures to the pediatric population. Diagnostic and
therapeutic procedures are now routinely per-
formed in pediatric patients in all areas of the
body."" Our goal is to present an overview of
interventional procedures in the thorax in chil-
dren. The indications for procedures, patient
preparation, sedation, monitoring, and equipment
selection and review of selected procedures are
discussed.",
1994,"Lan, R.",RS Lan,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",European Respiratory Journal,Non-Asphyxiating Tracheobronchial Foreign Bodies In Adults,,https://publications.ersnet.org/content/erj/7/3/510,Google Scholar,10.1183/09031936.94.07030510 ,,FALSE,,"BSTRACT: The presentations of 47 adult patients with a non-asphyxiating tra-
cheobronchial foreign body were reviewed. The duration of residence of the for-
eign body was 1 week or less in nine (""acute group""); 1 month or more in 29
(""chronic group""), uncertain in four (""uncertain group""); and the foreign body was
a broncholith in five patients (""broncholith group""). In the chronic and uncertain
groups, no precipitating factor was found and bone was the most common foreign
body. In the chronic group, a choking history was obtained before bronchoscopy
in only 15 patient.
Clinical manifestations and roentgenograms were nonspecific in most cases, except
in the acute group. In the chronic group, the mean duration of residence of the
foreign body was 25.8 months. The diagnosis was delayed due to absence of a
choking history and invisibility of the foreign body on chest films in 12, due to
patient's ignorance in 14, due to physician's ignorance in 1, and due to previous
unsuccessful retrieval attempts in 2 patients.
The main indication for bronchoscopy in the acute group was a choking history
or a visible foreign body on the chest film. In the chronic group, a choking histo-
ry or conditions leading to ""suspicion of an endobronchial lesion"" were the main
indications. The foreign body was removed with a fibreoptic bronchoscope in over
90% of patients. It is concluded that the most important diagnostic factor is a high
clinical index of suspicion and that flexible fibreoptic bronchoscopy provides a valu-
able therapeutic option in selected conditions.",
1995,"Mäurer..., J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer...","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer... - Abdominal ..., 1995 - Springer",Abdominal ...,Drug Smuggling By Ingested Cocaine-Filled Packages: Conventional X-Ray And Ultrasound,Purpose To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in “...,https://link.springer.com/article/10.1007/bf00203366,Google Scholar,10.1007/BF00203366,,TRUE,7,To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in body packers.,
1996,"Loughlin, M.","MA Lefton-Greif, GM Loughlin","MA Lefton-Greif, GM Loughlin - Seminars in Speech and ..., 1996 - thieme-connect.com",Seminars In Speech And ...,Specialized Studies In Pediatric Dysphagia,The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing ...,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2008-1064106,Google Scholar,10.1055/s-2008-1064106,,TRUE,2,"The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing function; to judge the consequences of the swallowing dysfunction; and to assess factors that may be contributing to swallowing dysfunction. Instrumental assessment of swallowing function may include upper gastrointestinal studies, videofluoroscopy or videofluoroscopic swallow studies, ultrasonography, radionuctide imaging, fiberoptic endoscopy of swallowing, and cervical auscultation. Procedures that assess the consequences and/or identify factors contributing to swallowing dysfunction may include pulse oximetry, chest x-rays, laryngoscopy and/or bronchoscopy, and pulmonary function tests. The use of such specialized procedures to evaluate children with dysphagia is the focus of this article.",
1996,"Darrow..., P.","PS Lemberg, DH Darrow...","PS Lemberg, DH Darrow... - Annals of Otology ..., 1996 - journals.sagepub.com",Annals Of Otology ...,Aerodigestive Tract Foreign Bodies In The Older Child And Adolescent,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances ...",https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Google Scholar,10.1177/000348949610500404,,FALSE,,"This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances surrounding these events. A review of patients treated over a 5-year period identified 367 children from whom aerodigestive tract foreign bodies were removed. Seventeen percent of these patients were 5 years of age or older. Among these children, 88% aspirated nonfood items, half of which were school supplies; 78% of the group 5 years old and under aspirated food items. Among older children with esophageal foreign bodies, 31 % had food impactions, compared with 7% in the younger group; 70% of these children had a history of some anatomic abnormality of the esophagus. These data suggest that older children and adolescents represent a distinct group of patients at risk for foreign body accidents. Pediatricians and parents of children in this age group should discourage the practice of using the oral cavity as a repository for school supplies, and should stress the need for adequate preparation and mastication of food, particularly among children with esophageal abnormalities.",
1996,"Armstrong, M.",M Armstrong,"M Armstrong - The Journal of Aesthetics and Art Criticism, 1996 - JSTOR",The Journal Of Aesthetics And Art Criticism,""" The Effects Of Blackness"": Gender, Race, And The Sublime In Aesthetic Theories Of Burke And Kant","Stereotypes, however inaccurate, are one form of representation. Like fictions, they are created to serve as substitutions, standing in for what is real. They are there not to tell it like it is ...",https://www.jstor.org/stable/431624,Google Scholar,None,,TRUE,2,Abstract not available,
1997,"Ozanne-Smith, A.","AE Altmann, J Ozanne-Smith","AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Injury Prevention,Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify ...",https://injuryprevention.bmj.com/content/3/3/176.short,Google Scholar,10.1136/ip.3.3.176,,FALSE,,"OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify possible areas for prevention. METHODS: For children under 15 years, all Victorian public hospital admissions, July 1987 to June 1995, due to asphyxiation or 'foreign body entering through other orifice' (which includes ingestions), were reviewed. Emergency department presentations due to asphyxiation and foreign body ingestion provided information on circumstances of, and the type of foreign bodies involved in the injuries. RESULTS: The childhood average annual admission rate for asphyxiation was 15.1 per 100,000. Food related asphyxiation peaked in infants under 1 year, and declined to low levels by 3 years. The main foods involved were nuts, carrot, apple, and candy. The rate of non-food related asphyxiation was relatively constant to 3 years of age and then declined by 6 years. Mechanical suffocation was less common. The annual admission rate for 'foreign body entering through other orifice' was 31.7 per 100,000. These injuries peaked in 2-3 year olds then gradually declined. About 80% of these foreign body admissions were ingestions, with coins being the major object ingested. Admission rates for these causes remained constant over the eight years. Asphyxiation resulted in a higher proportion admitted and longer hospital stays. CONCLUSIONS: Prevention of suffocation and strangulation needs to focus on a safe sleeping environment and avoidance of ropes and cords, while foreign body asphyxiation and ingestion needs a focus on education of parents and child carers regarding age, appropriate food, risk of play with coins, and other small items. Legislation for toy small parts could be extended to those used by children up to the age of 5 years, and to other products marketed for children. Design changes and warning labels also have a place in prevention.",
