id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
39,1993,"Tomoo..., T.","T Ken, Y Sunichi, U Toshiro, T Tomoo...",Chinese Medical ...,"T Ken, Y Sunichi, U Toshiro, T Tomoo... - Chinese Medical ..., 1993 - mednexus.org",Google Scholar,10.5555/cmj.0366-6999.106.10.p788.01,https://mednexus.org/doi/abs/10.5555/cmj.0366-6999.106.10.p788.01,Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,"Although Foreign Bodies Of The Gastrointestinal Tract Are Common In Children, They Are Rare In The Adult. Complications Of The Foreign Bodies Are Well Recognized To Be A Cause Of ...","Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of obstruction, bleeding and perforation of the intestine, or furthermore, they sometimes lead to death unfortunately. On the other hand, it is very difficult to diagnose and treat foreign bodies in the handicapped because of disability of complaining the symptoms. This paper reports a 31-year-old severe handicapped man suffering from foreign bodies in the esophagus and the small intestine, and was successful removed by endoscope.",False,,,,,,,,False,
40,1993,"Towbin, R.","Rd Kaye, Rg Grifka, R Towbin",Radiologic Clinics Of North America,"RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Google Scholar,10.1016/S0033-8389(22)02614-8,https://www.sciencedirect.com/science/article/pii/s0033838922026148,Intervention In The Thorax In Children,"The Techniques And Tools Of Interventional Radiology Have Had A Significant Effect On The Management Of Adult Patients. The 1970S And 1980S Have Been A Period Of Active Development, ...","The techniques and tools of interventional ra-
diology have had a significant effect on the man-
agement of adult patients. The 1970s and 1980s
have been a period of active development,
growth, and acceptance of these techniques in
children."" The increasing number of skilled prac-
titioners involved in pediatric interventional radi-
ology have successfully applied the advances in
diagnostic and therapeutic interventional proce-
dures to the pediatric population. Diagnostic and
therapeutic procedures are now routinely per-
formed in pediatric patients in all areas of the
body."" Our goal is to present an overview of
interventional procedures in the thorax in chil-
dren. The indications for procedures, patient
preparation, sedation, monitoring, and equipment
selection and review of selected procedures are
discussed.",False,,,,,,,,False,
41,1994,"Lan, R.",Rs Lan,European Respiratory Journal,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",Google Scholar,10.1183/09031936.94.07030510 ,https://publications.ersnet.org/content/erj/7/3/510,Non-Asphyxiating Tracheobronchial Foreign Bodies In Adults,,"BSTRACT: The presentations of 47 adult patients with a non-asphyxiating tra-
cheobronchial foreign body were reviewed. The duration of residence of the for-
eign body was 1 week or less in nine (""acute group""); 1 month or more in 29
(""chronic group""), uncertain in four (""uncertain group""); and the foreign body was
a broncholith in five patients (""broncholith group""). In the chronic and uncertain
groups, no precipitating factor was found and bone was the most common foreign
body. In the chronic group, a choking history was obtained before bronchoscopy
in only 15 patient.
Clinical manifestations and roentgenograms were nonspecific in most cases, except
in the acute group. In the chronic group, the mean duration of residence of the
foreign body was 25.8 months. The diagnosis was delayed due to absence of a
choking history and invisibility of the foreign body on chest films in 12, due to
patient's ignorance in 14, due to physician's ignorance in 1, and due to previous
unsuccessful retrieval attempts in 2 patients.
The main indication for bronchoscopy in the acute group was a choking history
or a visible foreign body on the chest film. In the chronic group, a choking histo-
ry or conditions leading to ""suspicion of an endobronchial lesion"" were the main
indications. The foreign body was removed with a fibreoptic bronchoscope in over
90% of patients. It is concluded that the most important diagnostic factor is a high
clinical index of suspicion and that flexible fibreoptic bronchoscopy provides a valu-
able therapeutic option in selected conditions.",False,,,,,,,,False,
46,1996,"O'Sullivan, S.","O'Sullivan, S. T.; Reardon, C. M.; Mcgreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.",Irish Journal Of Medical Science,,PubMed,10.1007/bf02943095,,Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates,"Deliberate And Recurrent Foreign Body Ingestion Is A Common Problem Among Institutionalised Patients. We Review Our Experience With 36 Cases Of Deliberate  Foreign Body Ingestion By Prisoners Or Psychiatric Patients, Thirty Of Whom Were  Institutionalised At The Time Of Ingestion. Symptoms Were Frequently Severe In  The Prison Inmate Group But, In Contrast, Psychiatric Patients Presented With  Few, If Any, Symptoms. A Majority Of Objects Pass Spontaneously Or Remain In Situ  Without Complication. Twenty-Four Patients Were Discharged Following Initial  Evaluation And Without Specific Treatment. Eight Of These Were Reviewed  Electively And Discharged Within One Week. Twelve Patients Were Admitted For  Observation, Seven Of Whom Were Discharged Within 48 Hrs. Upper Gastrointestinal  Endoscopy Was Performed In Four Patients And An Intragastric Foreign Body  Identified In Two Cases. Laparotomy Was Performed In Two Cases For Unresolving  Mechanical Intestinal Obstruction. Management Should Be Conservative When  Possible, With Surgery Indicated Only For Complications.",,False,,,,,,,,False,
50,1996,"Darrow..., P.","Ps Lemberg, Dh Darrow...",Annals Of Otology ...,"PS Lemberg, DH Darrow... - Annals of Otology ..., 1996 - journals.sagepub.com",Google Scholar,10.1177/000348949610500404,https://journals.sagepub.com/doi/abs/10.1177/000348949610500404,Aerodigestive Tract Foreign Bodies In The Older Child And Adolescent,"This Study Was Undertaken In Order To Establish The Incidence Of Aerodigestive Tract Foreign Body Accidents Among Older Children And Adolescents, And To Investigate The Circumstances ...","This study was undertaken in order to establish the incidence of aerodigestive tract foreign body accidents among older children and adolescents, and to investigate the circumstances surrounding these events. A review of patients treated over a 5-year period identified 367 children from whom aerodigestive tract foreign bodies were removed. Seventeen percent of these patients were 5 years of age or older. Among these children, 88% aspirated nonfood items, half of which were school supplies; 78% of the group 5 years old and under aspirated food items. Among older children with esophageal foreign bodies, 31 % had food impactions, compared with 7% in the younger group; 70% of these children had a history of some anatomic abnormality of the esophagus. These data suggest that older children and adolescents represent a distinct group of patients at risk for foreign body accidents. Pediatricians and parents of children in this age group should discourage the practice of using the oral cavity as a repository for school supplies, and should stress the need for adequate preparation and mastication of food, particularly among children with esophageal abnormalities.",False,,,,,,,,False,
51,1996,"Losanoff, J.","Losanoff, J. E.; Kjossev, K. T.","Archives Of Surgery (Chicago, Ill. : 1960)",,PubMed,10.1001/archsurg.1996.01430140056015,,Gastrointestinal 'Crosses'. A New Shade From An Old Palette,"Background: We Present Our Experience With An As Yet Undescribed Type Of Intentionally Ingested Metallic Foreign Body That Was Specially Designed To  Arrest In Its Passage And Cause Perforation Of The Gastrointestinal Tract. The  Two Halves Of A Standard Paper Clip Are Tied Crosswise With A Rubber Band,  Forming An Elastic ""Cross."" With Its Branches Squeezed To Lie Parallel, The Cross  Is Wrapped Into A Small Strip Of Paper And Ingested. After Being Released From  Its Wrapper, The Branches Of The Cross Spring Back To Their Original Position And  Cause Perforation Of The Bowel Wall. Design: Case Series. Setting: University  Hospital, Bulgaria. Patients: Five Male Prisoners From The Same Jail Undergoing  Laparotomy For Foreign Body Removal During 1 Week In January 1994. Interventions:  Laparotomy, Removal Of The Foreign Bodies Through Incisions Of The Bowel Wall,  Immediate Restoration Of The Gastrointestinal Tract Continuity, And Peritoneal  Lavage And Drainage. Outcome Measures: Morbidity And Mortality. Results: Two Of  The Patients Were Initially Observed But Subsequently Underwent Surgery For  Perforations Of The Gastrointestinal Tract. Three Of The Patients Underwent  Immediate Operative Treatment. There Were 20 Total Crosses Ingested; All Foreign  Objects Impacted And Perforated The Stomach (50%), First Duodenal Portion (25%),  And Fourth Duodenal Portion (20%). There Was No Morbidity Or Mortality Among The  Five Patients Treated. Conclusions: Because Ingested Crosses That Have Been  Released From Their Wrappers Never Move Distally, The Only Definitive Solution Is  To Operate Early.",,False,,,,,,,,False,
52,1997,"Coren..., B.","Bf Gilchrist, Ep Valerie, M Nguyen, C Coren...",Journal Of Pediatric ...,"BF Gilchrist, EP Valerie, M Nguyen, C Coren... - Journal of pediatric ..., 1997 - Elsevier",Google Scholar,10.1016/S0022-3468(97)90554-6,https://www.sciencedirect.com/science/article/pii/s0022346897905546,"Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children",Background/Purpose: Most Retained Esophageal Foreign Bodies (Fb) Are Identified Soon After Ingestion And Are Easily Extracted. A Minority Of Fb Ingestions Are Not Identified For Weeks ...,"Background/Purpose: Most retained esophageal foreign bodies (FB) are identified soon after ingestion and are easily extracted. A minority of FB ingestions are not identified for weeks to years and present significant problems for retrieval. The purpose of this study was to describe the diagnostic and therapeutic strategies needed to care for children who have chronic esophageal FBs.
Methods: Five children were identified as having retained esophageal FBs 2 months to 2 years after ingestion. During the same 3-year period, 100 children who had acute FBs were identified and had their foreign bodies removed endoscopically. The average age of the children was 3 years (range, 2.4 to 3.5).
Results: The average age of the five children identified in this study was 3 years. The items ingested included coins, a heart pendant, a clothespin spring, and a toy soldier. Complications from chronically retained foreign bodies were bronchoesophageal fistula, mediastinitis, esophageal diverticulum, and lobar atelectasis. One patient died from an aortoesophageal fistula. In all children, endoscopic removal was attempted. Barium esophagram was then performed, and foreign bodies were eventually removed via right thoracotomy.
Conclusions: Long-retained esophageal FBs are extremely morbid and life threatening. History most often identifies excess salivation, new onset asthma, and/or recurrent upper respiratory infections. Three diagnostic adjuncts are helpful in identifying the presence of a long retained FB: (1) Chest x-ray (PA and lateral), (2) barium swallow, and (3) esophagoscopy. Indications for thoracotomy for removal of foreign body include (1) Poor endoscopic visualization of FB because of inflammatory tissue and (2) Herald bleeding during endoscopy.",False,,,,,,,,False,
53,1997,"Gilchrist, B.","Gilchrist, B. F.; Valerie, E. P.; Nguyen, M.; Coren, C.; Klotz, D.; Ramenofsky, M. L.",Journal Of Pediatric Surgery,,PubMed,10.1016/s0022-3468(97)90554-6,,"Pearls And Perils In The Management Of Prolonged, Peculiar, Penetrating Esophageal Foreign Bodies In Children","Background/Purpose: Most Retained Esophageal Foreign Bodies (Fb) Are Identified Soon After Ingestion And Are Easily Extracted. A Minority Of Fb Ingestions Are  Not Identified For Weeks To Years And Present Significant Problems For Retrieval.  The Purpose Of This Study Was To Describe The Diagnostic And Therapeutic  Strategies Needed To Care For Children Who Have Chronic Esophageal Fbs. Methods:  Five Children Were Identified As Having Retained Esophageal Fbs 2 Months To 2  Years After Ingestion. During The Same 3-Year Period, 100 Children Who Had Acute  Fbs Were Identified And Had Their Foreign Bodies Removed Endoscopically. The  Average Age Of The Children Was 3 Years (Range, 2.4 To 3.5). Results: The Average  Age Of The Five Children Identified In This Study Was 3 Years. The Items Ingested  Included Coins, A Heart Pendant, A Clothespin Spring, And A Toy Soldier.  Complications From Chronically Retained Foreign Bodies Were Bronchoesophageal  Fistula, Mediastinitis, Esophageal Diverticulum, And Lobar Atelectasis. One  Patient Died From An Aortoesophageal Fistula. In All Children, Endoscopic Removal  Was Attempted. Barium Esophagram Was Then Performed, And Foreign Bodies Were  Eventually Removed Via Right Thoracotomy. Conclusions: Long-Retained Esophageal  Fbs Are Extremely Morbid And Life Threatening. History Most Often Identifies  Excess Salivation, New Onset Asthma, And/Or Recurrent Upper Respiratory  Infections. Three Diagnostic Adjuncts Are Helpful In Identifying The Presence Of  A Long Retained Fb: (1) Chest X-Ray (Pa And Lateral), (2) Barium Swallow, And (3)  Esophagoscopy. Indications For Thoracotomy For Removal Of Foreign Body Include  (1) Poor Endoscopic Visualization Of Fb Because Of Inflammatory Tissue And (2)  Herald Bleeding During Endoscopy.",,False,,,,,,,,False,
54,1997,"Losanoff, J.","Losanoff, J. E.; Kjossev, K. T.; Losanoff, H. E.",Journal Of Accident & Emergency Medicine,,PubMed,10.1136/emj.14.1.54,,"Oesophageal ""Cross""--A Sinister Foreign Body","A Young Jail Inmate Purposely Ingested A Foreign Body Formed Of Sewing Needles, Specially Designed To Be Arrested In The Gut And Cause Perforation. Immediate  Surgical Removal Of Such Ingested Foreign Objects Is Recommended Because The  Chances Of Distal Passage Are Nil.",,False,,,,,,,,False,
55,1997,"Ozanne-Smith, A.","Ae Altmann, J Ozanne-Smith",Injury Prevention,"AE Altmann, J Ozanne-Smith - Injury Prevention, 1997 - injuryprevention.bmj.com",Google Scholar,10.1136/ip.3.3.176,https://injuryprevention.bmj.com/content/3/3/176.short,Non-Fatal Asphyxiation And Foreign Body Ingestion In Children 0-14 Years.,"Objectives: To Examine The Frequency And Nature Of Non-Fatal Asphyxiation And Foreign Body Ingestion Injuries Among Children In The State Of Victoria, Australia, And To Identify ...","OBJECTIVES: To examine the frequency and nature of non-fatal asphyxiation and foreign body ingestion injuries among children in the state of Victoria, Australia, and to identify possible areas for prevention. METHODS: For children under 15 years, all Victorian public hospital admissions, July 1987 to June 1995, due to asphyxiation or 'foreign body entering through other orifice' (which includes ingestions), were reviewed. Emergency department presentations due to asphyxiation and foreign body ingestion provided information on circumstances of, and the type of foreign bodies involved in the injuries. RESULTS: The childhood average annual admission rate for asphyxiation was 15.1 per 100,000. Food related asphyxiation peaked in infants under 1 year, and declined to low levels by 3 years. The main foods involved were nuts, carrot, apple, and candy. The rate of non-food related asphyxiation was relatively constant to 3 years of age and then declined by 6 years. Mechanical suffocation was less common. The annual admission rate for 'foreign body entering through other orifice' was 31.7 per 100,000. These injuries peaked in 2-3 year olds then gradually declined. About 80% of these foreign body admissions were ingestions, with coins being the major object ingested. Admission rates for these causes remained constant over the eight years. Asphyxiation resulted in a higher proportion admitted and longer hospital stays. CONCLUSIONS: Prevention of suffocation and strangulation needs to focus on a safe sleeping environment and avoidance of ropes and cords, while foreign body asphyxiation and ingestion needs a focus on education of parents and child carers regarding age, appropriate food, risk of play with coins, and other small items. Legislation for toy small parts could be extended to those used by children up to the age of 5 years, and to other products marketed for children. Design changes and warning labels also have a place in prevention.",False,,True,3.0,False,,Unclear,"Likely to be accidental , but might include some intentional foreign objects",False,
57,1998,"Snyder..., S.","Se Morrow, Sw Bickler, Ap Kennedy, Cl Snyder...",Journal Of Pediatric ...,"SE Morrow, SW Bickler, AP Kennedy, CL Snyder... - Journal of pediatric ..., 1998 - Elsevier",Google Scholar,10.1016/S0022-3468(98)90444-4,https://www.sciencedirect.com/science/article/pii/s0022346898904444,Balloon Extraction Of Esophageal Foreign Bodies In Children,"Background: Whereas Esophageal Foreign Bodies Are Commonly Removed With Rigid Esophagoscopy Under General Anesthesia, Selected Foreign Bodies Also Can Be Removed Using A ...","Background: Whereas esophageal foreign bodies are commonly removed with rigid esophagoscopy under general anesthesia, selected foreign bodies also can be removed using a Foley catheter balloon under fluoroscopic control without anesthesia. The authors prefer to initially attempt removal of smooth, radiopaque esophageal foreign bodies using the balloon technique and then proceed to rigid esophagoscopy if unsuccessful.
Methods: The authors reviewed their 7-year experience with this approach in 276 children with esophageal foreign bodies.
Results: One hundred seventy-three children underwent attempted balloon extraction, and 146 of these underwent successful removal with this method. Fifteen remained lodged in the esophagus and were subsequently removed by esophagoscopy, and 12 passed into the stomach and were observed. The only complication was one episode of epistaxis that resolved. Success of the balloon method was not related to patient age, foreign body duration, location, or presenting symptoms. The use of more than 5 minutes of fluoroscopy time was associated with a low likelihood of successful extraction.
Conclusion: The balloon extraction technique is a safe and effective alternative to rigid esophagoscopy for the removal of slected esophageal foreign bodies in children.",False,,,,,,,,False,
